,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,4d200e,2025-04-24 19:30:54,LMML,2025-04-24 22:03:15,EPWA,WZZ5782 ,2015.0,22.0,1614,26,0,1
1,48af0c,2025-04-24 17:48:00,,2025-04-24 21:21:30,EPWA,LOT6198 ,,,6011,263,0,2
2,471f64,2025-04-24 19:12:04,EGGW,2025-04-24 21:08:21,EPWA,WZZ65ZL ,1405.0,53.0,1511,19,0,1
3,4d245f,2025-04-24 16:55:20,LEMG,2025-04-24 21:01:36,EPWA,WZZ17VY ,3900.0,425.0,1940,49,0,1
4,471f41,2025-04-24 16:03:01,LPMA,2025-04-24 20:49:19,EPWA,WZZ26MQ ,416.0,58.0,1492,26,0,1
5,471f70,2025-04-24 20:02:33,,2025-04-24 20:47:15,EPWA,WZZ9100 ,,,1515,19,0,1
6,4d24b4,2025-04-24 19:06:00,LIRP,2025-04-24 20:45:24,EPWA,WZZ297T ,5680.0,988.0,1089,3,0,1
7,471f66,2025-04-24 17:37:03,LETO,2025-04-24 20:40:50,EPWA,WZZ506  ,13535.0,967.0,6400,278,1,2
8,44081f,2025-04-24 19:40:39,LOWW,2025-04-24 20:40:37,EPWA,AUA6AW  ,283.0,0.0,5151,209,0,1
9,3c6748,2025-04-24 19:20:06,EDDF,2025-04-24 20:40:19,EPWA,DLH5UX  ,3582.0,19.0,4315,163,2,1
10,471fa0,2025-04-24 18:51:51,LSZM,2025-04-24 20:34:37,EPWA,WZZ55LZ ,964.0,195.0,6004,263,1,2
11,471f73,2025-04-24 18:04:22,LEBL,2025-04-24 20:34:06,EPWA,WZZ6366 ,1640.0,49.0,6237,263,0,2
12,48da42,2025-04-24 19:25:10,,2025-04-24 20:29:43,EPWA,PLF631  ,,,3034,163,0,1
13,4d24ad,2025-04-24 17:41:17,LEPA,2025-04-24 20:29:34,EPWA,WZZ90GH ,9615.0,929.0,7629,346,1,2
14,48ad0b,2025-04-24 19:29:42,,2025-04-24 20:29:10,EPWA,LOT9KM  ,,,3254,110,0,1
15,48ad0f,2025-04-24 19:38:34,EPWR,2025-04-24 20:12:41,EPWA,LOT3860 ,761.0,8.0,986,3,1,1
16,484fdf,2025-04-24 18:39:35,EHAM,2025-04-24 20:10:08,EPWA,KLM73D  ,4724.0,57.0,1666,26,0,1
17,48ada0,2025-04-24 18:33:30,EDDF,2025-04-24 20:05:48,EPWA,LOT3CG  ,1289.0,33.0,2583,80,1,1
18,48ac80,2025-04-24 18:19:20,EHAM,2025-04-24 20:04:17,EPWA,LOT2MN  ,4820.0,57.0,1590,26,0,1
19,44cdca,2025-04-24 18:16:08,EBBR,2025-04-24 20:02:22,EPWA,BEL9AN  ,1354.0,50.0,2094,57,2,1
20,3c6598,2025-04-24 18:44:31,EDDM,2025-04-24 20:00:50,EPWA,DLH3CN  ,2129.0,217.0,1530,26,0,1
21,48af0d,2025-04-24 16:57:09,,2025-04-24 19:58:42,EPWA,LOT67V  ,,,1336,11,0,1
22,48ad87,2025-04-24 19:20:35,EPKK,2025-04-24 19:57:11,EPWA,LOT4PY  ,295.0,10.0,1416,19,0,1
23,48ad19,2025-04-24 17:52:39,LSGG,2025-04-24 19:55:14,EPWA,LOT416  ,1053.0,88.0,1087,3,1,1
24,48af0e,2025-04-24 17:47:50,EGLL,2025-04-24 19:52:49,EPWA,LOT2EJ  ,1291.0,32.0,2064,49,2,1
25,49d09e,2025-04-24 07:44:28,EPWA,2025-04-24 19:51:04,EPWA,TVP7320 ,1551.0,57.0,2057,49,1,1
26,48af11,2025-04-24 18:00:32,LSZH,2025-04-24 19:47:50,EPWA,LOT3EM  ,1238.0,42.0,1226,11,1,1
27,48ad0c,2025-04-24 18:08:04,ELLX,2025-04-24 19:45:37,EPWA,LOT2YM  ,79.0,42.0,1085,3,0,1
28,48ad02,2025-04-24 18:51:30,LHBP,2025-04-24 19:43:27,EPWA,LOT532  ,815.0,16.0,1453,19,0,1
29,39bda7,2025-04-24 17:48:34,LFPG,2025-04-24 19:41:19,EPWA,AFR21LR ,1649.0,78.0,1709,34,3,1
30,48ada9,2025-04-24 18:25:06,EDDM,2025-04-24 19:39:25,EPWA,LOT6HT  ,1463.0,34.0,1963,49,0,1
31,48ad0d,2025-04-24 17:54:18,EBMB,2025-04-24 19:37:38,EPWA,LOT4HE  ,536.0,37.0,1085,3,2,1
32,4892c9,2025-04-24 07:24:22,EPWA,2025-04-24 19:35:11,EPWA,ENT13HN ,1808.0,64.0,1659,26,1,1
33,48cb15,2025-04-24 15:32:14,,2025-04-24 19:32:57,EPWA,TVP7305 ,,,1659,26,0,1
34,48ae86,2025-04-24 18:06:22,EDDL,2025-04-24 19:30:59,EPWA,LOT6PA  ,287.0,37.0,1162,3,0,1
35,48af01,2025-04-24 17:33:20,LIRF,2025-04-24 19:29:06,EPWA,LOT304  ,93.0,178.0,1677,34,0,1
36,48ac82,2025-04-24 17:55:31,ENGM,2025-04-24 19:27:19,EPWA,LOT484  ,5711.0,843.0,1645,34,0,1
37,48ada8,2025-04-24 17:50:05,LIMC,2025-04-24 19:25:08,EPWA,LOT2FE  ,417.0,40.0,1812,42,2,1
38,48ad10,2025-04-24 17:42:32,,2025-04-24 19:04:20,EPWA,LOT566  ,,,1094,3,0,1
39,4d2289,2025-04-24 17:20:48,LIRP,2025-04-24 18:58:29,EPWA,RYR93SQ ,2468.0,523.0,1188,3,0,1
40,48af19,2025-04-24 15:20:31,LPAR,2025-04-24 18:54:08,EPWA,LOT5JL  ,3122.0,1116.0,1819,42,1,1
41,407464,2025-04-24 16:51:14,EGLL,2025-04-24 18:49:49,EPWA,BAW8LV  ,686.0,28.0,1647,34,3,1
42,48adaf,2025-04-24 17:56:37,LKPR,2025-04-24 18:48:02,EPWA,LOT5EN  ,1671.0,14.0,1153,3,2,1
43,48ada5,2025-04-24 17:45:02,EKCH,2025-04-24 18:45:51,EPWA,LOT6KC  ,4656.0,337.0,1675,34,0,1
44,48adac,2025-04-24 17:38:44,LOWW,2025-04-24 18:34:25,EPWA,LOT226  ,102.0,7.0,1222,11,0,1
45,461e1b,2025-04-24 16:57:05,EFHK,2025-04-24 18:21:24,EPWA,FIN1147 ,811.0,39.0,1165,11,1,1
46,48ad08,2025-04-24 17:26:06,EDDB,2025-04-24 18:13:14,EPWA,LOT3KT  ,2804.0,5.0,1124,3,0,1
47,489182,2025-04-24 15:07:38,LIRP,2025-04-24 17:55:11,EPWA,SPEMC   ,8980.0,1171.0,1208,42,0,1
48,48af07,2025-04-24 15:05:41,,2025-04-24 17:49:46,EPWA,LOT6500 ,,,1747,34,0,1
49,8965c4,2025-04-24 11:42:38,OMDB,2025-04-24 17:47:23,EPWA,FDB1839 ,22.0,156.0,1082,3,0,1
50,4d2022,2025-04-24 15:53:10,,2025-04-24 17:40:40,EPWA,WMT919  ,,,1096,3,0,1
51,48ad03,2025-04-24 16:23:03,LDZA,2025-04-24 17:37:23,EPWA,LOT6ER  ,6424.0,1073.0,1112,3,0,1
52,48ad0e,2025-04-24 15:55:44,LBSF,2025-04-24 17:35:25,EPWA,LOT6PD  ,2506.0,253.0,1110,3,0,1
53,48ae81,2025-04-24 14:45:55,,2025-04-24 17:32:58,EPWA,LOT7406 ,,,1215,11,0,1
54,48adae,2025-04-24 16:34:01,EYVI,2025-04-24 17:31:07,EPWA,LOT776  ,1168.0,7.0,1178,11,0,1
55,48ae83,2025-04-24 14:08:30,LEMD,2025-04-24 17:28:59,EPWA,LOT4YJ  ,10527.0,572.0,1173,3,1,1
56,48af0f,2025-04-24 14:19:23,LCLK,2025-04-24 17:26:53,EPWA,LOT172  ,8882.0,881.0,1283,11,0,1
57,a27743,2025-04-24 16:46:41,EPKT,2025-04-24 17:23:12,EPWA,N258X   ,566.0,329.0,1441,26,0,1
58,48978a,2025-04-24 16:32:55,EPPO,2025-04-24 17:21:29,EPWA,LOT3948 ,1203.0,2.0,1117,11,2,1
59,48ada6,2025-04-24 16:18:30,LKPR,2025-04-24 17:19:40,EPWA,LOT5YB  ,1438.0,14.0,1112,11,2,1
60,48ac81,2025-04-24 15:49:51,EETN,2025-04-24 17:17:43,EPWA,LOT7PC  ,1297.0,32.0,1476,26,0,1
61,3cc24b,2025-04-24 14:33:16,LEGE,2025-04-24 17:16:04,EPWA,AWH54K  ,3128.0,672.0,1071,11,0,1
62,489789,2025-04-24 16:35:03,EPKT,2025-04-24 17:13:50,EPWA,LOT3886 ,3059.0,367.0,1131,11,0,1
63,48ada7,2025-04-24 15:39:30,LROP,2025-04-24 17:11:29,EPWA,LOT646  ,5523.0,651.0,1233,11,1,1
64,4852f5,2025-04-24 15:30:30,EHAM,2025-04-24 17:08:56,EPWA,KLM95T  ,1887.0,49.0,1142,11,0,1
65,48ad85,2025-04-24 16:26:30,EPWR,2025-04-24 17:07:19,EPWA,LOT5KW  ,505.0,1.0,1105,3,1,1
66,4aca6f,2025-04-24 16:01:43,EKCH,2025-04-24 17:05:13,EPWA,SAS2751 ,4880.0,330.0,1135,3,0,1
67,489787,2025-04-24 15:27:35,,2025-04-24 17:03:27,EPWA,LOT580  ,,,1139,3,0,1
68,48da43,2025-04-24 15:56:44,EPTM,2025-04-24 17:01:33,EPWA,PLF633  ,12495.0,321.0,1210,42,0,1
69,440821,2025-04-24 16:03:47,LOWW,2025-04-24 17:00:54,EPWA,AUA6PS  ,338.0,7.0,1143,11,0,1
70,4cae84,2025-04-24 13:48:32,,2025-04-24 16:58:37,EPWA,ENT4956 ,,,1654,34,0,1
71,48ad0f,2025-04-24 15:43:11,LYBE,2025-04-24 16:56:41,EPWA,LOT7MG  ,309.0,50.0,679,3,1,1
72,4b19fd,2025-04-24 15:19:03,LSZH,2025-04-24 16:53:17,EPWA,SWR2QK  ,1739.0,35.0,1139,3,1,1
73,48ada2,2025-04-24 15:09:40,EBMB,2025-04-24 16:51:28,EPWA,LOT238  ,522.0,37.0,1382,26,2,1
74,48ada1,2025-04-24 15:34:30,,2025-04-24 16:49:59,EPWA,LOT516  ,,,1371,26,0,1
75,48d981,2025-04-24 16:05:17,,2025-04-24 16:47:32,EPWA,PLF101  ,,,1500,26,0,1
