,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad84,2025-04-15 20:05:03,ESSA,2025-04-15 21:26:33,EPWA,LOT9056 ,1489.0,34.0,2158,57,0,1
1,48af08,2025-04-15 17:37:32,,2025-04-15 21:14:05,EPWA,LOT6118 ,,,2527,72,0,1
2,4d241a,2025-04-15 17:46:30,LEMG,2025-04-15 21:05:08,EPWA,WZZ17VY ,5167.0,867.0,2305,72,0,1
3,471f36,2025-04-15 18:50:16,EGGW,2025-04-15 20:50:08,EPWA,WZZ65ZL ,1293.0,266.0,2211,72,0,1
4,471f74,2025-04-15 19:14:37,LIME,2025-04-15 20:45:25,EPWA,WZZ9100 ,1846.0,287.0,2263,64,1,1
5,4d24b4,2025-04-15 19:00:49,LSZM,2025-04-15 20:38:08,EPWA,WZZ55LZ ,3594.0,256.0,2115,64,2,1
6,4d200e,2025-04-15 16:01:03,,2025-04-15 20:35:40,EPWA,WZZ26MQ ,,,2153,64,0,1
7,471fa0,2025-04-15 18:11:08,LEBL,2025-04-15 20:33:21,EPWA,WZZ6366 ,1380.0,87.0,2510,80,0,1
8,48af10,2025-04-15 18:30:00,EGLL,2025-04-15 20:31:13,EPWA,LOT2EJ  ,888.0,218.0,2127,57,3,1
9,471f6b,2025-04-15 17:36:45,LEMD,2025-04-15 20:29:21,EPWA,WZZ506  ,7339.0,335.0,2341,64,1,1
10,471db4,2025-04-15 19:31:19,,2025-04-15 20:27:22,EPWA,WZZ462  ,,,2141,57,0,1
11,440829,2025-04-15 19:35:36,LOWW,2025-04-15 20:25:44,EPWA,AUA6AW  ,2291.0,53.0,2120,64,0,1
12,471f64,2025-04-15 18:44:54,LIRP,2025-04-15 20:22:36,EPWA,WZZ297T ,9428.0,1354.0,2448,72,0,1
13,471f70,2025-04-15 17:51:47,LEPA,2025-04-15 20:20:53,EPWA,WZZ90GH ,2437.0,220.0,2470,72,1,1
14,4d252b,2025-04-15 17:56:55,LMML,2025-04-15 20:19:10,EPWA,WZZ5782 ,2278.0,22.0,2386,72,0,1
15,39bda7,2025-04-15 18:28:24,LFPG,2025-04-15 20:17:10,EPWA,AFR21LR ,1437.0,238.0,2232,64,3,1
16,3c66eb,2025-04-15 18:59:00,EDDF,2025-04-15 20:15:26,EPWA,DLH5UX  ,3941.0,163.0,2070,57,2,1
17,48ad19,2025-04-15 19:37:41,EPWR,2025-04-15 20:12:59,EPWA,LOT3860 ,1029.0,59.0,1299,19,1,1
18,48ad0e,2025-04-15 19:27:15,EPGD,2025-04-15 20:00:30,EPWA,LOT7VL  ,4208.0,811.0,2253,57,0,1
19,484165,2025-04-15 18:28:22,EHAM,2025-04-15 19:57:31,EPWA,KLM73D  ,1957.0,125.0,2063,49,0,1
20,48ad09,2025-04-15 19:13:52,EPSC,2025-04-15 19:55:02,EPWA,LOT9KM  ,13176.0,1896.0,2063,57,0,1
21,48af01,2025-04-15 18:06:00,LFPG,2025-04-15 19:52:57,EPWA,LOT336  ,2112.0,208.0,1734,34,2,1
22,3c6597,2025-04-15 18:39:53,EDDM,2025-04-15 19:49:40,EPWA,DLH3CN  ,1485.0,133.0,2005,49,0,1
23,44ce6a,2025-04-15 18:07:32,EBMB,2025-04-15 19:40:45,EPWA,BEL9AN  ,438.0,130.0,2046,57,2,1
24,48ada3,2025-04-15 17:55:30,LSGG,2025-04-15 19:36:43,EPWA,LOT416  ,955.0,194.0,2355,80,1,1
25,48ac80,2025-04-15 18:02:21,LSZH,2025-04-15 19:34:46,EPWA,LOT3EM  ,1603.0,86.0,1756,42,1,1
26,48ad0c,2025-04-15 18:08:01,EDDF,2025-04-15 19:31:28,EPWA,LOT3CG  ,1180.0,110.0,2464,80,1,1
27,48ad0f,2025-04-15 17:49:47,LIMC,2025-04-15 19:29:42,EPWA,LOT2FE  ,1550.0,17.0,1392,19,2,1
28,48ada9,2025-04-15 17:52:34,EHAM,2025-04-15 19:25:46,EPWA,LOT2MN  ,2114.0,140.0,2341,72,0,1
29,738062,2025-04-15 15:51:30,LLBG,2025-04-15 19:23:47,EPWA,ELY5105 ,1830.0,73.0,1689,34,1,1
30,48ad03,2025-04-15 18:26:41,LHBP,2025-04-15 19:21:44,EPWA,LOT532  ,900.0,9.0,1685,26,0,1
31,48af06,2025-04-15 17:45:22,EBMB,2025-04-15 19:19:32,EPWA,LOT4HE  ,444.0,130.0,2234,57,2,1
32,48ada8,2025-04-15 17:50:04,EDDL,2025-04-15 19:16:00,EPWA,LOT6PA  ,307.0,107.0,2379,72,0,1
33,48ae80,2025-04-15 17:14:05,LIRF,2025-04-15 19:06:34,EPWA,LOT304  ,650.0,186.0,596,11,0,1
34,400980,2025-04-15 17:03:11,EGLL,2025-04-15 19:05:53,EPWA,BAW8LV  ,966.0,264.0,2174,64,3,1
35,4891b3,2025-04-15 09:35:35,EPWA,2025-04-15 19:01:38,EPWA,ENT4553 ,1325.0,64.0,2237,57,1,1
36,48d982,2025-04-15 17:48:57,LDZA,2025-04-15 18:57:49,EPWA,PLF101  ,12204.0,1408.0,2304,64,2,1
37,48ad0b,2025-04-15 17:49:22,EDDH,2025-04-15 18:55:58,EPWA,LOT2CF  ,884.0,128.0,2132,57,0,1
38,48ad02,2025-04-15 17:39:53,EDDM,2025-04-15 18:49:12,EPWA,LOT6HT  ,2052.0,156.0,1882,42,0,1
39,49d2ee,2025-04-15 14:02:31,LPMA,2025-04-15 18:40:42,EPWA,TVP7307 ,4414.0,429.0,2293,64,0,1
40,48ad86,2025-04-15 17:50:00,LKPR,2025-04-15 18:38:58,EPWA,LOT5EN  ,403.0,69.0,1875,42,1,1
41,4892c8,2025-04-15 14:50:41,,2025-04-15 18:36:20,EPWA,ENT75AH ,,,2274,64,0,1
42,48ada0,2025-04-15 17:39:19,LOWW,2025-04-15 18:34:20,EPWA,LOT226  ,1021.0,60.0,2730,87,0,1
43,48ac81,2025-04-15 17:32:31,EKCH,2025-04-15 18:32:29,EPWA,LOT6KC  ,1554.0,368.0,1766,42,0,1
44,48af09,2025-04-15 15:56:17,,2025-04-15 18:27:42,EPWA,LOT6284 ,,,2305,64,0,1
45,440d91,2025-04-15 17:26:46,EVRA,2025-04-15 18:22:29,EPWA,TAY2IX  ,1959.0,95.0,1839,42,1,1
46,4bcdf0,2025-04-15 15:58:35,LTBK,2025-04-15 18:11:41,EPWA,SXS6R   ,12843.0,1887.0,1501,19,0,1
47,48978a,2025-04-15 17:14:05,EDDB,2025-04-15 18:00:44,EPWA,LOT3KT  ,2910.0,89.0,2223,64,0,1
48,48ae86,2025-04-15 14:26:05,LPPT,2025-04-15 17:55:06,EPWA,LOT5JL  ,1284.0,14.0,1731,26,1,1
49,48ad0d,2025-04-15 16:21:30,LBSF,2025-04-15 17:46:57,EPWA,LOT6PD  ,1869.0,246.0,1529,26,0,1
50,8965c2,2025-04-15 11:57:37,OMDB,2025-04-15 17:39:23,EPWA,FDB1839 ,105.0,133.0,1474,19,0,1
51,48ae85,2025-04-15 14:22:00,,2025-04-15 17:36:26,EPWA,LOT7LT  ,,,1497,19,0,1
52,48adb9,2025-04-15 16:14:19,LROP,2025-04-15 17:34:06,EPWA,LOT646  ,5021.0,491.0,1701,34,1,1
53,48adae,2025-04-15 16:50:31,EPKK,2025-04-15 17:20:40,EPWA,LOT4PY  ,903.0,33.0,1558,26,0,1
54,4d24b5,2025-04-15 15:35:14,,2025-04-15 17:18:39,EPWA,WMT919  ,,,1532,26,0,1
55,48ad10,2025-04-15 15:47:10,,2025-04-15 17:16:29,EPWA,LOT600  ,,,1766,34,0,1
56,48ad08,2025-04-15 16:06:22,LDZA,2025-04-15 17:14:11,EPWA,LOT6ER  ,4800.0,1462.0,1487,26,1,1
57,48ae81,2025-04-15 16:22:00,EYVI,2025-04-15 17:11:49,EPWA,LOT776  ,1302.0,29.0,1743,34,0,1
58,48b047,2025-04-15 15:00:07,LFMN,2025-04-15 17:10:10,EPWA,JDI43H  ,159.0,110.0,2135,64,0,1
59,48adac,2025-04-15 16:09:18,LKPR,2025-04-15 17:06:25,EPWA,LOT5YB  ,361.0,69.0,2153,64,1,1
60,3c658e,2025-04-15 15:40:00,EDDF,2025-04-15 17:04:10,EPWA,DLH3VJ  ,1298.0,125.0,1627,26,1,1
61,4aca72,2025-04-15 15:56:41,EKCH,2025-04-15 17:02:26,EPWA,SAS2751 ,920.0,261.0,1580,34,0,1
62,48ad82,2025-04-15 16:22:00,EPWR,2025-04-15 17:00:37,EPWA,LOT5KW  ,1360.0,59.0,2153,57,1,1
63,48af19,2025-04-15 14:00:30,LEMD,2025-04-15 16:58:20,EPWA,LOT4YJ  ,8574.0,404.0,2072,57,1,1
64,489789,2025-04-15 16:19:45,EPKT,2025-04-15 16:56:32,EPWA,LOT3886 ,1481.0,382.0,2445,72,0,1
65,48ada7,2025-04-15 15:29:03,EETN,2025-04-15 16:54:29,EPWA,LOT7PC  ,1259.0,47.0,1506,26,0,1
66,489786,2025-04-15 16:13:48,EPGD,2025-04-15 16:52:57,EPWA,LOT7YF  ,4993.0,894.0,500,3,0,1
67,44081d,2025-04-15 15:50:17,LOWW,2025-04-15 16:50:46,EPWA,AUA6PS  ,985.0,60.0,1422,26,0,1
68,4b1803,2025-04-15 14:45:15,LSZH,2025-04-15 16:48:56,EPWA,SWR2QK  ,1354.0,94.0,809,3,1,1
69,489788,2025-04-15 16:12:35,EPPO,2025-04-15 16:46:57,EPWA,LOT3948 ,1254.0,58.0,1764,34,2,1
70,48ada6,2025-04-15 15:26:32,,2025-04-15 16:44:58,EPWA,LOT516  ,,,1657,34,0,1
71,484c24,2025-04-15 15:10:55,EHAM,2025-04-15 16:42:29,EPWA,KLM95T  ,1319.0,193.0,1879,42,0,1
72,48ad0e,2025-04-15 15:26:35,LYBE,2025-04-15 16:40:19,EPWA,LOT7MG  ,752.0,35.0,1934,49,1,1
73,48ad19,2025-04-15 15:24:34,,2025-04-15 16:38:29,EPWA,LOT6HV  ,,,1991,49,0,1
