,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ada4,2025-04-14 21:33:48,EPWA,2025-04-14 22:01:51,EPKK,LOT3911 ,1076,42,352.0,4.0,1,1
1,48ac80,2025-04-14 21:14:02,EPWA,2025-04-14 22:30:34,EETN,LOT7YE  ,1143,11,540.0,13.0,1,1
2,48ad0b,2025-04-14 21:11:55,EPWA,2025-04-14 21:39:46,EPRZ,LOT3803 ,1005,42,3289.0,106.0,1,1
3,48ad09,2025-04-14 21:04:16,EPWA,2025-04-14 21:29:32,EPKT,LOT87M  ,830,64,6514.0,283.0,1,1
4,48ad02,2025-04-14 20:56:49,EPWA,2025-04-14 21:33:35,EPWR,LOT2KH  ,1284,87,631.0,21.0,1,2
5,48ada2,2025-04-14 20:50:36,EPWA,2025-04-14 21:34:19,EYVI,LOT773  ,1238,3,187.0,37.0,1,2
6,489786,2025-04-14 20:44:40,EPWA,2025-04-14 21:15:18,EPPO,LOT9WK  ,1003,42,6410.0,302.0,1,3
7,3c5429,2025-04-14 20:02:25,EPWA,2025-04-14 21:12:05,EDDP,BCS5547 ,737,103,7953.0,406.0,1,5
8,7816be,2025-04-14 19:55:27,EPWA,2025-04-14 21:11:55,,CSC9830 ,598,110,,,1,0
9,440d91,2025-04-14 19:47:23,EPWA,2025-04-14 21:51:50,LFPG,TAY2IX  ,1019,26,3176.0,147.0,1,8
10,48ada1,2025-04-14 19:28:52,EPWA,2025-04-14 20:47:56,EDDH,LOT397  ,837,95,6776.0,296.0,1,4
11,a51770,2025-04-14 19:25:00,EPWA,2025-04-14 21:06:03,EDDK,UPS273  ,1003,64,3060.0,136.0,1,2
12,48ada9,2025-04-14 19:11:38,EPWA,2025-04-14 21:15:24,LTFM,LOT3MT  ,1413,11,6719.0,251.0,1,2
13,48af12,2025-04-14 19:09:33,EPWA,2025-04-14 21:21:01,EGLL,LOT285  ,1316,80,2755.0,172.0,1,8
14,461e21,2025-04-14 19:06:24,EPWA,2025-04-14 20:37:41,EFHK,FIN3RB  ,1032,34,955.0,21.0,1,2
15,48af19,2025-04-14 18:58:17,EPWA,2025-04-14 20:16:51,ESGG,LOT49H  ,1121,19,5090.0,211.0,1,1
16,4d252b,2025-04-14 18:56:49,EPWA,2025-04-14 22:59:40,LPCS,WZZ32LJ ,1180,26,15966.0,1424.0,1,3
