,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad10,2025-04-11 21:35:05,EPWA,2025-04-11 22:16:06,LZKZ,LOT517  ,1374,87,3275.0,97.0,1,1
1,48ada7,2025-04-11 21:33:17,EPWA,2025-04-11 22:04:54,EPRJ,LOT3803 ,1084,87,1004.0,73.0,1,1
2,48ac81,2025-04-11 21:23:35,EPWA,2025-04-11 21:50:35,EPKK,LOT3911 ,980,49,561.0,20.0,1,0
3,48adb9,2025-04-11 21:21:30,EPWA,2025-04-11 22:38:07,LROP,LOT1KY  ,1553,87,1651.0,125.0,1,2
4,48ad00,2025-04-11 21:16:34,EPWA,2025-04-11 21:51:15,EPWR,LOT2KH  ,1106,72,412.0,39.0,1,2
5,48ada8,2025-04-11 21:15:00,EPWA,2025-04-11 22:17:28,EVRA,LOT3HM  ,1243,103,6270.0,263.0,1,2
6,489787,2025-04-11 21:09:17,EPWA,2025-04-11 21:40:43,EPPO,LOT9WK  ,794,64,107.0,25.0,1,3
7,48ad80,2025-04-11 21:03:56,EPWA,2025-04-11 21:28:32,EPKT,LOT87M  ,451,26,6504.0,260.0,1,1
8,48ac82,2025-04-11 20:57:04,EPWA,2025-04-11 22:06:14,EYVI,LOT773  ,804,72,10649.0,556.0,1,2
9,3c542e,2025-04-11 19:52:05,EPWA,2025-04-11 20:48:58,EDCT,BCS5547 ,521,42,9594.0,528.0,1,5
10,4d2162,2025-04-11 19:27:09,EPWA,2025-04-11 20:44:21,LRCV,MLM712  ,692,49,13897.0,731.0,1,0
11,4ca622,2025-04-11 19:18:13,EPWA,2025-04-11 22:05:15,EGND,RYR106B ,809,42,13279.0,2004.0,1,0
12,a3376c,2025-04-11 19:15:06,EPWA,2025-04-11 20:48:30,EDDK,UPS273  ,593,110,5727.0,159.0,1,2
13,489788,2025-04-11 19:11:05,EPWA,2025-04-11 20:35:05,EDDF,LOT3MA  ,373,49,2460.0,33.0,1,5
14,48ada0,2025-04-11 19:09:09,EPWA,2025-04-11 20:18:06,EKCH,LOT4WM  ,987,148,2661.0,93.0,1,0
15,48af0e,2025-04-11 19:06:30,EPWA,2025-04-11 20:27:50,ESGG,LOT49H  ,695,11,6876.0,325.0,1,2
16,48adae,2025-04-11 19:02:43,EPWA,2025-04-11 20:39:28,ESSA,LOT6AD  ,1165,19,7326.0,247.0,1,0
17,4cadb7,2025-04-11 19:00:54,EPWA,2025-04-11 22:11:49,LEAL,RYR49UA ,1054,95,3365.0,93.0,1,1
18,48ad87,2025-04-11 18:59:09,EPWA,2025-04-11 19:30:29,EPPO,LOT3AV  ,1151,80,189.0,25.0,1,3
19,48ada9,2025-04-11 18:53:45,EPWA,2025-04-11 20:03:46,EDDM,LOT355  ,486,49,8690.0,263.0,1,3
20,48ad09,2025-04-11 18:52:01,EPWA,2025-04-11 19:52:35,LKPR,LOT529  ,725,49,343.0,52.0,1,8
21,48ada4,2025-04-11 18:50:54,EPWA,2025-04-11 19:22:58,EPWR,LOT3859 ,1265,110,176.0,24.0,1,2
22,48ad83,2025-04-11 18:49:32,EPWA,2025-04-11 20:03:12,LROP,LOT639  ,1341,125,1872.0,148.0,1,2
23,48ad86,2025-04-11 18:47:43,EPWA,2025-04-11 19:59:52,EDDH,LOT397  ,707,11,2578.0,67.0,1,3
24,48adac,2025-04-11 18:45:50,EPWA,2025-04-11 19:33:42,EDDB,LOT7AN  ,504,80,952.0,28.0,1,2
25,48af08,2025-04-11 18:43:35,EPWA,2025-04-11 20:54:43,EGLL,LOT285  ,602,42,4490.0,104.0,1,5
26,48ad0c,2025-04-11 18:41:31,EPWA,2025-04-11 20:15:06,EHAM,LOT6MB  ,983,57,5338.0,49.0,1,0
27,48ada6,2025-04-11 18:38:39,EPWA,2025-04-11 20:36:54,LFPB,LOT2NC  ,954,11,5651.0,352.0,1,7
28,48ada2,2025-04-11 18:34:47,EPWA,2025-04-11 20:12:40,EBBR,LOT1KE  ,533,11,1566.0,56.0,1,3
29,471f64,2025-04-11 18:30:15,EPWA,2025-04-11 20:34:06,LICZ,WMT55AC ,492,11,16543.0,1195.0,1,1
30,489786,2025-04-11 18:25:46,EPWA,2025-04-11 18:59:24,EPZG,LOT3LX  ,692,64,9675.0,443.0,1,0
31,48ad0d,2025-04-11 18:24:39,EPWA,2025-04-11 18:54:48,EPPR,LOT3825 ,1154,118,8207.0,961.0,1,1
32,4b19f3,2025-04-11 18:16:44,EPWA,2025-04-11 19:45:25,LSZH,SWR9BV  ,484,26,775.0,42.0,1,7
33,48ad0e,2025-04-11 18:15:34,EPWA,2025-04-11 18:43:11,EPKK,LOT3921 ,1096,42,98.0,12.0,1,1
34,48af07,2025-04-11 18:13:30,EPWA,2025-04-11 19:37:49,EDDL,LOT5NG  ,1075,64,693.0,60.0,1,4
35,46a5e1,2025-04-11 17:51:30,EPWA,2025-04-11 19:45:36,LGAV,SEH4MP  ,692,95,12889.0,622.0,1,2
36,4aca75,2025-04-11 17:48:40,EPWA,2025-04-11 18:55:06,EKCH,SAS2752 ,1116,103,2291.0,78.0,1,0
37,44082b,2025-04-11 17:45:22,EPWA,2025-04-11 18:36:41,LOWW,AUA6P   ,709,64,1144.0,7.0,1,2
38,489789,2025-04-11 17:44:20,EPWA,2025-04-11 18:22:40,EPSC,LOT3935 ,1383,95,29090.0,1477.0,1,0
39,484bd1,2025-04-11 17:42:13,EPWA,2025-04-11 19:17:10,EHAM,KLM1318 ,754,19,12849.0,308.0,1,0
40,3c6446,2025-04-11 17:40:20,EPWA,2025-04-11 18:59:51,EDFG,DLH6MV  ,1073,148,6788.0,1593.0,1,3
41,39bda0,2025-04-11 17:27:43,EPWA,2025-04-11 19:23:33,LFPT,AFR53SM ,856,110,7792.0,1775.0,1,7
42,4691c7,2025-04-11 17:25:36,EPWA,2025-04-11 19:22:47,,AEE873  ,1212,133,,,1,0
43,471f70,2025-04-11 17:23:00,EPWA,2025-04-11 19:02:28,LIPL,WZZ3308 ,1052,103,26439.0,1971.0,1,0
44,461e1d,2025-04-11 17:14:05,EPWA,2025-04-11 18:46:54,EFHK,FIN8ZR  ,1444,118,1867.0,36.0,1,2
45,48d982,2025-04-11 17:09:06,EPWA,2025-04-11 17:39:12,EPKK,PLF101  ,1267,156,10.0,12.0,1,1
46,405a46,2025-04-11 17:06:25,EPWA,2025-04-11 19:08:56,EGLL,BAW851W ,790,103,841.0,32.0,1,6
47,48ad02,2025-04-11 16:45:02,EPWA,2025-04-11 17:38:55,LHBP,LOT5CH  ,740,26,1592.0,16.0,1,7
