,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,471f6a,2025-04-04 20:23:33,EGGW,2025-04-04 22:20:19,EPWA,WZZ65ZL ,1319.0,45.0,1584,26,0,1
1,471efd,2025-04-04 18:19:23,LEZL,2025-04-04 21:52:20,EPWA,WZZ993E ,720.0,34.0,1735,42,1,1
2,471f6d,2025-04-04 19:45:01,LFMN,2025-04-04 21:43:23,EPWA,WZZ16AT ,1123.0,3.0,1712,34,0,1
3,471f6b,2025-04-04 19:57:48,LIME,2025-04-04 21:31:37,EPWA,WZZ9100 ,2574.0,356.0,1840,49,1,1
4,471f65,2025-04-04 19:30:00,LIPE,2025-04-04 21:05:20,EPWA,WZZ5474 ,1038.0,92.0,1607,26,0,1
5,471fa0,2025-04-04 18:53:20,LIRF,2025-04-04 20:55:10,EPWA,WZZ80EX ,301.0,148.0,1693,42,0,1
6,4d24b4,2025-04-04 08:52:06,EPWA,2025-04-04 20:49:30,EPWA,WZZ495  ,733.0,56.0,1734,42,1,1
7,4d252b,2025-04-04 17:44:45,LEMD,2025-04-04 20:45:46,EPWA,WZZ506  ,2563.0,244.0,1682,42,1,1
8,4d2020,2025-04-04 17:55:44,LMML,2025-04-04 20:35:47,EPWA,WZZ5782 ,1740.0,22.0,1325,19,0,1
9,440824,2025-04-04 19:34:00,LOWW,2025-04-04 20:32:34,EPWA,AUA6AW  ,108.0,22.0,1549,26,0,1
10,4d200e,2025-04-04 17:01:35,LEMG,2025-04-04 20:30:53,EPWA,WZZ17VY ,3839.0,433.0,1542,34,0,1
11,471f31,2025-04-04 17:05:39,LPPR,2025-04-04 20:24:59,EPWA,WZZ90KR ,1483.0,242.0,1604,42,1,1
12,48af08,2025-04-04 18:28:31,LFPG,2025-04-04 20:22:16,EPWA,LOT336  ,1269.0,101.0,1631,34,2,1
13,489229,2025-04-04 14:39:30,OMDW,2025-04-04 20:20:22,EPWA,ENT4582 ,14577.0,1123.0,1851,49,0,1
14,489787,2025-04-04 19:37:00,EPZG,2025-04-04 20:18:46,EPWA,LOT3986 ,6595.0,885.0,1654,34,0,1
15,48ad09,2025-04-04 19:38:26,EPWR,2025-04-04 20:16:52,EPWA,LOT3860 ,689.0,16.0,1798,42,1,1
16,484163,2025-04-04 18:39:01,EHAM,2025-04-04 20:14:49,EPWA,KLM73D  ,1764.0,42.0,1936,49,0,1
17,3c658c,2025-04-04 18:52:31,EDDF,2025-04-04 20:13:21,EPWA,DLH5UX  ,1182.0,19.0,1485,26,1,1
18,48ada0,2025-04-04 19:32:30,EPKK,2025-04-04 20:11:18,EPWA,LOT3922 ,508.0,63.0,2234,72,0,1
19,48ae81,2025-04-04 18:26:38,EBBR,2025-04-04 20:09:19,EPWA,LOT4HE  ,1363.0,25.0,1190,11,2,1
20,39e686,2025-04-04 18:07:44,LFPG,2025-04-04 20:07:21,EPWA,AFR21LR ,1582.0,109.0,1579,34,2,1
21,48ae80,2025-04-04 18:17:30,LSZH,2025-04-04 20:05:30,EPWA,LOT3EM  ,1196.0,12.0,1689,34,1,1
22,48ada4,2025-04-04 17:56:35,LFMN,2025-04-04 20:04:06,EPWA,LOT3PW  ,1431.0,11.0,1052,3,0,1
23,48ada3,2025-04-04 18:11:40,LIMC,2025-04-04 20:02:21,EPWA,LOT2FE  ,428.0,13.0,1026,3,2,1
24,48adb9,2025-04-04 18:46:30,EDDM,2025-04-04 20:00:31,EPWA,LOT6HT  ,1306.0,3.0,1437,19,0,1
25,48ada9,2025-04-04 18:07:42,LSGG,2025-04-04 19:58:45,EPWA,LOT416  ,3918.0,484.0,1052,3,1,1
26,48ad02,2025-04-04 19:27:07,EPBY,2025-04-04 19:57:20,EPWA,LOT9002 ,2015.0,469.0,1518,26,1,1
27,3c644d,2025-04-04 18:41:41,EDDM,2025-04-04 19:55:09,EPWA,DLH3CN  ,1490.0,11.0,1591,34,0,1
28,48ad82,2025-04-04 19:14:53,,2025-04-04 19:53:27,EPWA,LOT9KM  ,,,1409,19,0,1
29,48978a,2025-04-04 18:38:30,EKBI,2025-04-04 19:51:40,EPWA,LOT4LK  ,1948.0,69.0,1113,3,0,1
30,48af01,2025-04-04 18:14:45,EHAM,2025-04-04 19:46:32,EPWA,LOT2MN  ,4656.0,42.0,1684,34,0,1
31,48ae85,2025-04-04 15:50:00,,2025-04-04 19:41:59,EPWA,LOT6510 ,,,1405,19,0,1
32,48ad0f,2025-04-04 18:10:35,ELLX,2025-04-04 19:39:13,EPWA,LOT2YM  ,2234.0,20.0,1094,11,0,1
33,48af10,2025-04-04 18:11:39,ENGM,2025-04-04 19:37:07,EPWA,LOT484  ,1318.0,85.0,1220,3,0,1
34,44ce72,2025-04-04 17:59:20,EBBR,2025-04-04 19:34:53,EPWA,BEL9AN  ,1295.0,25.0,1514,26,2,1
35,48ac81,2025-04-04 18:15:10,EDDF,2025-04-04 19:32:53,EPWA,LOT3CG  ,1267.0,11.0,1586,34,1,1
36,48cb15,2025-04-04 15:32:42,,2025-04-04 19:29:51,EPWA,TVP7317 ,,,1767,42,0,1
37,48ad84,2025-04-04 17:28:07,LFLL,2025-04-04 19:27:36,EPWA,LOT348  ,6973.0,740.0,1048,3,2,1
38,4892c4,2025-04-04 13:31:07,,2025-04-04 19:25:19,EPWA,ENT5602 ,,,1509,26,0,1
39,48af09,2025-04-04 17:24:09,EGLL,2025-04-04 19:23:23,EPWA,LOT2EJ  ,818.0,10.0,1652,26,3,1
40,48ad0c,2025-04-04 18:24:39,LHBP,2025-04-04 19:21:47,EPWA,LOT532  ,802.0,28.0,1055,3,0,1
41,48af06,2025-04-04 17:17:15,LIRF,2025-04-04 19:19:50,EPWA,LOT304  ,396.0,186.0,1618,26,0,1
42,48af0d,2025-04-04 17:53:04,EDDL,2025-04-04 19:17:19,EPWA,LOT6PA  ,496.0,29.0,1201,3,0,1
43,4892c9,2025-04-04 13:39:01,OMDW,2025-04-04 19:15:15,EPWA,ENT7010 ,13749.0,818.0,1604,26,0,1
44,48ad19,2025-04-04 17:52:24,EDDS,2025-04-04 19:13:38,EPWA,LOT7PK  ,1494.0,15.0,1128,3,0,1
45,48ae86,2025-04-04 17:54:05,ESSA,2025-04-04 19:10:59,EPWA,LOT458  ,2870.0,49.0,1217,3,0,1
