,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad85,2025-04-20 21:24:18,EPWA,2025-04-20 22:20:53,EVRA,LOT3HM  ,1026,57,2244.0,110.0,1,2
1,48ad10,2025-04-20 21:18:40,EPWA,2025-04-20 22:00:07,LZKZ,LOT517  ,1047,95,3393.0,128.0,1,1
2,48ad09,2025-04-20 21:15:52,EPWA,2025-04-20 21:50:20,LKMT,LOT5VN  ,984,156,8145.0,375.0,1,2
3,48ac80,2025-04-20 21:14:16,EPWA,2025-04-20 21:44:28,EPKK,LOT3911 ,1085,95,1138.0,33.0,1,0
4,48ae85,2025-04-20 21:12:23,EPWA,2025-04-20 22:32:51,LROP,LOT1KY  ,957,80,5740.0,155.0,1,2
5,48ad0d,2025-04-20 21:10:45,EPWA,2025-04-20 22:50:19,LBSF,LOT635  ,970,103,1726.0,55.0,1,1
6,489788,2025-04-20 20:56:30,EPWA,2025-04-20 21:21:37,EPKT,LOT87M  ,436,141,7694.0,374.0,1,1
7,48ad0e,2025-04-20 20:43:48,EPWA,2025-04-20 21:28:29,EPWR,LOT2KH  ,1052,72,15.0,44.0,1,2
8,48ac82,2025-04-20 20:42:20,EPWA,2025-04-20 21:25:01,EYVI,LOT773  ,1010,57,468.0,15.0,1,2
9,48ad03,2025-04-20 20:34:46,EPWA,2025-04-20 21:06:00,EPPO,LOT9WK  ,938,87,484.0,43.0,1,3
10,48af09,2025-04-20 19:49:30,EPWA,2025-04-20 22:59:52,UGTB,LOT723  ,1002,72,2743.0,23.0,1,3
11,4d22c1,2025-04-20 19:12:03,EPWA,2025-04-20 20:08:59,LOWW,RYR1GB  ,884,57,213.0,38.0,1,2
12,48ae80,2025-04-20 19:09:30,EPWA,2025-04-20 20:16:48,EKCH,LOT4WM  ,1299,118,2747.0,139.0,1,0
13,48af0c,2025-04-20 19:05:20,EPWA,2025-04-20 21:12:55,EGLL,LOT285  ,1050,72,2925.0,119.0,1,8
14,48ad00,2025-04-20 19:01:52,EPWA,2025-04-20 20:28:08,EDDF,LOT3MA  ,1430,34,1412.0,49.0,1,5
15,48af19,2025-04-20 18:57:11,EPWA,2025-04-20 20:14:31,ESGG,LOT49H  ,989,72,5688.0,264.0,1,1
16,489787,2025-04-20 18:50:05,EPWA,2025-04-20 20:08:57,EDDM,LOT355  ,991,80,5436.0,156.0,1,3
17,48ad02,2025-04-20 18:47:53,EPWA,2025-04-20 19:41:31,EDDB,LOT7AN  ,586,103,431.0,66.0,1,2
18,489786,2025-04-20 18:41:43,EPWA,2025-04-20 19:14:06,EPPO,LOT3AV  ,947,103,102.0,43.0,1,3
19,48ad0f,2025-04-20 18:40:06,EPWA,2025-04-20 19:52:46,EDDH,LOT397  ,1044,72,1476.0,82.0,1,3
20,471fa0,2025-04-20 18:38:50,EPWA,2025-04-20 22:28:15,BIKF,WZZ40WJ ,966,72,3887.0,62.0,1,0
21,48ada2,2025-04-20 18:37:00,EPWA,2025-04-20 20:18:30,EBBR,LOT1KE  ,1155,72,2037.0,35.0,1,3
22,48ad81,2025-04-20 18:35:12,EPWA,2025-04-20 19:29:20,LKPR,LOT529  ,1007,64,38.0,31.0,1,8
23,48adaf,2025-04-20 18:31:25,EPWA,2025-04-20 20:41:27,LFFE,LOT2NC  ,1309,34,7426.0,972.0,1,10
24,4d24b1,2025-04-20 18:29:52,EPWA,2025-04-20 20:49:56,LICZ,WMT55AC ,1089,95,13510.0,1233.0,1,1
25,48ada1,2025-04-20 18:23:17,EPWA,2025-04-20 20:03:34,EDDL,LOT5NG  ,1103,103,8451.0,435.0,1,3
26,48adb9,2025-04-20 18:20:24,EPWA,2025-04-20 20:05:41,EHAM,LOT6MB  ,1105,103,2844.0,64.0,1,1
27,48ada4,2025-04-20 18:19:00,EPWA,2025-04-20 20:20:39,LTFM,LOT3MT  ,973,141,5912.0,304.0,1,2
28,48ad08,2025-04-20 18:06:30,EPWA,2025-04-20 18:37:17,EPKK,LOT3921 ,1171,57,633.0,33.0,1,1
29,4cae63,2025-04-20 18:00:06,EPWA,2025-04-20 20:51:04,LCPH,RYR8M   ,1222,72,5543.0,254.0,1,0
30,45ac54,2025-04-20 17:58:24,EPWA,2025-04-20 19:02:00,EKCH,SAS2752 ,817,95,2224.0,116.0,1,0
31,040141,2025-04-20 17:55:02,EPWA,2025-04-20 18:46:46,LOWW,ETH731  ,663,80,1197.0,45.0,1,2
32,489789,2025-04-20 17:53:18,EPWA,2025-04-20 18:35:56,EPZG,LOT3LX  ,1071,95,10450.0,558.0,1,0
33,4b0295,2025-04-20 17:49:12,EPWA,2025-04-20 19:32:07,LSZH,SWR9BV  ,1039,80,901.0,10.0,1,7
34,48ad10,2025-04-20 17:42:02,EPWA,2025-04-20 18:22:32,,LOT3935 ,1210,72,,,1,0
35,3c6595,2025-04-20 17:39:50,EPWA,2025-04-20 19:02:52,EDDF,DLH6MV  ,1016,87,2455.0,87.0,1,5
36,486495,2025-04-20 17:34:14,EPWA,2025-04-20 19:15:14,EHAM,KLM1318 ,1188,72,2954.0,71.0,1,1
37,3991e3,2025-04-20 17:26:31,EPWA,2025-04-20 19:26:18,LFPB,AFR53SM ,1037,80,2346.0,520.0,1,9
38,4ca76a,2025-04-20 17:07:30,EPWA,2025-04-20 18:45:43,EBCI,RYR8LC  ,1416,80,3301.0,155.0,1,5
39,4baa53,2025-04-20 16:55:25,EPWA,2025-04-20 18:53:07,LTFM,THY9NV  ,719,133,6436.0,327.0,1,2
40,4692da,2025-04-20 16:49:46,EPWA,2025-04-20 18:54:01,,AEE873  ,1019,80,,,1,0
41,48ada0,2025-04-20 16:37:41,EPWA,2025-04-20 17:34:59,LHBP,LOT5CH  ,1052,95,3643.0,62.0,1,7
42,471f05,2025-04-20 16:30:30,EPWA,2025-04-20 18:13:45,LIME,WZZ3308 ,1055,95,3819.0,112.0,1,1
43,406250,2025-04-20 16:16:43,EPWA,2025-04-20 18:25:47,EGLL,BAW851W ,982,80,2245.0,89.0,1,8
44,471efd,2025-04-20 16:13:03,EPWA,2025-04-20 18:00:21,EDTG,WZZ3415 ,1245,57,12320.0,2150.0,1,3
45,4892c6,2025-04-20 16:10:00,EPWA,2025-04-20 18:51:50,,ENT73ZW ,1208,72,,,1,0
46,44ce6f,2025-04-20 16:06:00,EPWA,2025-04-20 17:40:58,EBMB,BEL9PY  ,1390,72,423.0,38.0,1,3
47,471f64,2025-04-20 15:57:34,EPWA,2025-04-20 17:39:17,LIPE,WZZ58SL ,723,141,3579.0,153.0,1,0
48,489788,2025-04-20 15:51:31,EPWA,2025-04-20 16:48:28,LKPR,LOT2MD  ,1028,163,226.0,39.0,1,8
49,39e68d,2025-04-20 15:49:35,EPWA,2025-04-20 17:50:17,LFPG,AFR24WH ,1204,125,5404.0,208.0,1,8
50,471f32,2025-04-20 15:48:10,EPWA,2025-04-20 17:46:49,LIRF,WZZ25DG ,1092,80,6656.0,95.0,1,4
51,3dd37b,2025-04-20 15:48:06,EPWA,2025-04-20 16:03:59,EPWA,DHAIL   ,9789,484,14702.0,80.0,1,2
52,48ae82,2025-04-20 15:43:31,EPWA,2025-04-20 16:56:28,EKBI,LOT4AT  ,1141,87,2825.0,122.0,1,1
53,48ad87,2025-04-20 15:42:06,EPWA,2025-04-20 16:34:37,LOWW,LOT225  ,878,141,1139.0,53.0,1,2
54,471db6,2025-04-20 15:40:55,EPWA,2025-04-20 17:56:50,EGGW,WZZ98YM ,1226,72,4759.0,266.0,1,5
55,48ad0b,2025-04-20 15:39:06,EPWA,2025-04-20 16:55:06,EDDH,LOT3JK  ,899,141,988.0,67.0,1,3
56,48ada7,2025-04-20 15:37:22,EPWA,2025-04-20 17:18:43,EDLE,LOT407  ,1041,95,3097.0,747.0,1,3
57,48ac80,2025-04-20 15:35:49,EPWA,2025-04-20 17:18:29,ELLX,LOT2WP  ,959,103,15304.0,1460.0,1,2
58,48ad85,2025-04-20 15:31:50,EPWA,2025-04-20 18:24:50,EPWA,LOT6KC  ,893,95,1689.0,57.0,1,1
59,471838,2025-04-20 15:29:45,EPWA,2025-04-20 17:13:28,EHRD,VTB973  ,392,118,118.0,42.0,1,1
60,48ad09,2025-04-20 15:25:41,EPWA,2025-04-20 16:59:56,EDDS,LOT373  ,1003,72,5875.0,235.0,1,7
61,48ad03,2025-04-20 15:23:30,EPWA,2025-04-20 16:45:29,EDDM,LOT3AN  ,1355,118,6803.0,255.0,1,3
62,48ada9,2025-04-20 15:22:00,EPWA,2025-04-20 17:34:36,LFMN,LOT34P  ,1395,179,465.0,11.0,1,1
63,484acc,2025-04-20 15:20:31,EPWA,2025-04-20 17:00:14,EHAM,KLM1316 ,1357,72,2191.0,64.0,1,1
64,48ad86,2025-04-20 15:18:50,EPWA,2025-04-20 16:42:18,EDDF,LOT3EA  ,769,110,840.0,33.0,1,5
65,48af01,2025-04-20 15:17:24,EPWA,2025-04-20 17:01:59,LSPF,LOT7VA  ,1128,72,16429.0,1304.0,1,3
66,48af10,2025-04-20 15:16:03,EPWA,2025-04-20 16:48:42,ENGM,LOT6PU  ,957,64,1089.0,13.0,1,1
67,489786,2025-04-20 15:14:18,EPWA,2025-04-20 15:40:25,EPKT,LOT3885 ,302,141,8095.0,397.0,1,1
68,48af09,2025-04-20 15:10:05,EPWA,2025-04-20 16:04:25,EDDB,LOT389  ,1149,72,2271.0,119.0,1,2
69,48ac82,2025-04-20 15:08:19,EPWA,2025-04-20 16:48:19,EHAM,LOT5PX  ,1478,72,2380.0,79.0,1,1
70,48ae80,2025-04-20 15:06:31,EPWA,2025-04-20 15:51:20,EYVI,LOT5EF  ,597,110,578.0,23.0,1,2
71,48adac,2025-04-20 15:03:36,EPWA,2025-04-20 16:24:16,ESSA,LOT4CE  ,1360,87,2198.0,87.0,1,0
72,3c6597,2025-04-20 14:59:09,EPWA,2025-04-20 16:19:26,EDDM,DLH3YA  ,1096,87,5108.0,171.0,1,3
73,48ad19,2025-04-20 14:50:30,EPWA,2025-04-20 15:24:42,EPGD,LOT81L  ,1262,186,9171.0,559.0,1,2
74,48adae,2025-04-20 14:49:07,EPWA,2025-04-20 16:52:57,LSGG,LOT5CV  ,1120,110,12030.0,598.0,1,4
75,48ae83,2025-04-20 14:47:30,EPWA,2025-04-20 16:27:18,,LOT3ML  ,1285,110,,,1,0
76,48ad0d,2025-04-20 14:46:00,EPWA,2025-04-20 16:34:44,LIMC,LOT3LF  ,1104,141,315.0,2.0,1,4
77,489787,2025-04-20 14:44:32,EPWA,2025-04-20 15:17:20,EPPO,LOT3947 ,318,141,427.0,58.0,1,3
78,48ae85,2025-04-20 14:43:06,EPWA,2025-04-20 16:43:57,LFPG,LOT335  ,1001,64,2480.0,162.0,1,8
79,48ad00,2025-04-20 14:41:16,EPWA,2025-04-20 15:20:29,EPWR,LOT8NE  ,1257,87,412.0,59.0,1,2
80,452179,2025-04-20 14:36:26,EPWA,2025-04-20 17:54:16,,SEU7347 ,1075,57,,,1,0
81,48ada3,2025-04-20 14:33:49,EPWA,2025-04-20 15:47:41,,LOT565  ,995,125,,,1,0
82,48ada8,2025-04-20 14:30:45,EPWA,2025-04-20 16:45:11,LFLL,LOT4MB  ,826,148,975.0,46.0,1,5
83,48ad0e,2025-04-20 14:28:48,EPWA,2025-04-20 15:59:10,LIPZ,LOT311  ,949,141,1967.0,35.0,1,4
84,5084d1,2025-04-20 14:24:36,EPWA,2025-04-20 17:40:56,,UTN2247 ,1236,49,,,1,0
85,4d24b4,2025-04-20 14:19:34,EPWA,2025-04-20 16:59:12,LMML,WZZ9193 ,1241,80,1130.0,7.0,1,0
86,48af19,2025-04-20 14:17:54,EPWA,2025-04-20 15:16:11,LKPR,LOT521  ,1120,110,38.0,31.0,1,8
87,47947c,2025-04-20 14:16:07,EPWA,2025-04-20 15:49:14,ENGM,NOZ2KU  ,1098,87,2473.0,51.0,1,1
88,4d245f,2025-04-20 14:14:39,EPWA,2025-04-20 17:01:27,,WZZ644A ,1246,72,,,1,0
89,471f70,2025-04-20 14:10:47,EPWA,2025-04-20 17:25:29,LEMD,WZZ3372 ,1045,87,8260.0,335.0,1,3
90,48ae07,2025-04-20 14:08:39,EPWA,2025-04-20 21:00:41,VIDP,LOT71   ,1271,64,5520.0,174.0,1,1
91,471f41,2025-04-20 14:06:16,EPWA,2025-04-20 16:48:56,LEBL,WZZ671  ,1057,72,2445.0,49.0,1,1
92,48af07,2025-04-20 13:55:55,EPWA,2025-04-20 16:07:55,EGLM,LOT279  ,1146,87,6293.0,1461.0,1,10
93,48ada6,2025-04-20 13:49:12,EPWA,2025-04-20 15:45:55,LIRF,LOT5KT  ,941,118,6243.0,72.0,1,4
94,48ad08,2025-04-20 13:47:22,EPWA,2025-04-20 14:44:46,LHBP,LOT6AL  ,1316,72,1291.0,16.0,1,7
95,48ad82,2025-04-20 13:42:53,EPWA,2025-04-20 14:48:49,LDZI,LOT2MA  ,947,171,16882.0,990.0,1,3
96,48ad10,2025-04-20 13:38:05,EPWA,2025-04-20 14:33:43,EVRA,LOT7RM  ,1252,72,2439.0,110.0,1,2
97,48af05,2025-04-20 13:32:41,EPWA,2025-04-20 16:19:07,,LOT6229 ,465,64,,,1,0
98,89611f,2025-04-20 13:30:24,EPWA,2025-04-20 18:35:24,OMDB,UAE180  ,1220,64,7755.0,240.0,1,2
99,48af0d,2025-04-20 13:26:30,EPWA,2025-04-20 13:58:25,EPKK,LOT3919 ,902,72,903.0,48.0,1,0
100,489789,2025-04-20 13:24:33,EPWA,2025-04-20 13:56:29,EPRJ,LOT2LK  ,893,95,613.0,73.0,1,1
101,4b17e3,2025-04-20 13:21:03,EPWA,2025-04-20 15:11:49,LSZH,SWR7PZ  ,971,156,2013.0,10.0,1,7
102,48adb9,2025-04-20 13:18:38,EPWA,2025-04-20 14:32:34,EETN,LOT7MN  ,1218,57,143.0,28.0,1,1
103,4a2181,2025-04-20 13:16:54,EPWA,2025-04-20 16:29:01,LLBG,LOT5FM  ,1367,57,6043.0,271.0,1,5
104,48ae25,2025-04-20 13:12:30,EPWA,2025-04-20 21:42:38,KEWR,LOT1MU  ,1339,42,1464.0,89.0,1,5
105,4cacb0,2025-04-20 13:10:15,EPWA,2025-04-20 14:30:21,EKCH,SAS2762 ,1103,64,19848.0,962.0,1,1
106,48ad0f,2025-04-20 13:06:23,EPWA,2025-04-20 14:38:07,LBSF,LOT3JB  ,1037,87,3108.0,55.0,1,1
107,440823,2025-04-20 13:03:50,EPWA,2025-04-20 13:58:36,LOWW,AUA624  ,885,87,1204.0,45.0,1,2
108,48adaf,2025-04-20 13:01:30,EPWA,2025-04-20 14:12:17,,LOT5EP  ,1391,87,,,1,0
109,48978a,2025-04-20 12:58:23,EPWA,2025-04-20 13:44:07,EPSC,LOT3937 ,1224,64,29559.0,1553.0,1,0
110,48ad02,2025-04-20 12:52:50,EPWA,2025-04-20 14:04:26,LJLJ,LOT6TA  ,794,110,23603.0,1120.0,1,0
111,48ada1,2025-04-20 12:49:11,EPWA,2025-04-20 14:10:29,LROP,LOT6HU  ,927,133,6120.0,178.0,1,2
112,489226,2025-04-20 12:42:16,EPWA,2025-04-20 16:05:29,,ENT7937 ,1430,72,,,1,0
113,48ad83,2025-04-20 12:33:47,EPWA,2025-04-20 13:13:55,EYVI,LOT7HE  ,1158,57,114.0,15.0,1,2
114,3c658b,2025-04-20 12:28:09,EPWA,2025-04-20 13:54:44,EDDF,DLH2MF  ,933,110,11155.0,582.0,1,5
115,48af06,2025-04-20 12:25:52,EPWA,2025-04-20 14:31:25,,LOT2VN  ,1376,95,,,1,0
116,4bb4f0,2025-04-20 12:05:39,EPWA,2025-04-20 14:22:19,,MGH872  ,984,72,,,1,0
117,48ad0b,2025-04-20 12:00:09,EPWA,2025-04-20 12:21:25,EPLB,LOT3965 ,955,141,15568.0,797.0,1,1
118,489787,2025-04-20 11:49:25,EPWA,2025-04-20 12:19:28,EPBY,LOT3993 ,852,133,6913.0,370.0,1,1
119,48ac80,2025-04-20 11:47:23,EPWA,2025-04-20 12:17:07,EPKK,LOT2NU  ,1232,95,1839.0,86.0,1,1
120,471db4,2025-04-20 11:45:46,EPWA,2025-04-20 15:21:47,LEMG,WZZ147M ,1085,103,17280.0,669.0,1,0
121,3c644d,2025-04-20 11:42:04,EPWA,2025-04-20 12:59:58,EDDM,DLH3PM  ,817,103,4309.0,148.0,1,4
122,49514e,2025-04-20 11:39:43,EPWA,2025-04-20 15:33:07,LPCS,TAP120R ,719,118,20748.0,1661.0,1,0
123,49d2ee,2025-04-20 11:38:11,EPWA,2025-04-20 13:29:16,LIMN,HAT452P ,703,72,7197.0,575.0,1,3
124,489786,2025-04-20 11:35:44,EPWA,2025-04-20 12:08:18,EPRJ,LOT1MH  ,1121,95,596.0,65.0,1,1
125,48ad0e,2025-04-20 11:34:10,EPWA,2025-04-20 11:53:24,,LOT3837 ,1327,34,,,1,0
126,48ad00,2025-04-20 11:32:39,EPWA,2025-04-20 11:58:29,EPKT,LOT3KL  ,756,148,7344.0,359.0,1,1
127,48ad0d,2025-04-20 11:30:16,EPWA,2025-04-20 12:02:25,EPPO,LOT4YA  ,1071,87,520.0,50.0,1,3
128,48ad19,2025-04-20 11:28:50,EPWA,2025-04-20 12:05:54,EPWR,LOT3843 ,1124,103,493.0,52.0,1,2
129,896383,2025-04-20 11:27:33,EPWA,2025-04-20 16:45:50,OMSJ,ABY859  ,1264,57,2368.0,57.0,1,1
130,471f05,2025-04-20 11:25:00,EPWA,2025-04-20 15:24:13,EPWA,WZZ104  ,1432,133,1754.0,64.0,1,1
131,4bb84d,2025-04-20 11:09:53,EPWA,2025-04-20 13:03:44,,PGT6BY  ,1183,103,,,1,0
132,48ada2,2025-04-20 11:02:47,EPWA,2025-04-20 13:10:55,LTFM,LOT135  ,903,95,6979.0,365.0,1,2
133,461e1e,2025-04-20 10:55:47,EPWA,2025-04-20 12:21:05,EFHK,FIN8BX  ,1197,57,14613.0,737.0,1,2
134,471efd,2025-04-20 10:54:26,EPWA,2025-04-20 12:33:45,EHEH,WZZ9702 ,1096,87,794.0,46.0,1,3
135,484f80,2025-04-20 10:52:39,EPWA,2025-04-20 12:31:28,EHAM,KLM1314 ,1507,72,2161.0,41.0,1,1
136,471fa0,2025-04-20 10:51:09,EPWA,2025-04-20 13:12:10,EGGW,WZZ59PS ,1346,80,9601.0,517.0,1,6
137,39856b,2025-04-20 10:47:00,EPWA,2025-04-20 12:46:27,LFPG,AFR51QW ,1009,87,2572.0,170.0,1,8
138,471f32,2025-04-20 10:19:01,EPWA,2025-04-20 12:03:43,EBCI,WZZ1919 ,1247,57,3041.0,155.0,1,5
139,4891b9,2025-04-20 10:12:11,EPWA,2025-04-20 11:08:58,LHBP,ISR111P ,1354,186,532.0,260.0,1,7
140,4d200e,2025-04-20 10:09:35,EPWA,2025-04-20 15:04:04,LPMA,WZZ69NP ,1171,103,234.0,96.0,1,0
141,48ada5,2025-04-20 09:55:17,EPWA,2025-04-20 10:39:40,EYVI,LOT7ME  ,868,87,477.0,0.0,1,2
142,48ad03,2025-04-20 09:52:30,EPWA,2025-04-20 11:08:06,,LOT5CU  ,1336,125,,,1,0
143,489788,2025-04-20 09:50:06,EPWA,2025-04-20 11:04:12,LYBE,LOT5TA  ,1094,80,956.0,4.0,1,3
144,4892c5,2025-04-20 09:48:04,EPWA,2025-04-20 13:04:52,,ENT4877 ,1782,87,,,1,0
145,407462,2025-04-20 09:45:35,EPWA,2025-04-20 11:54:57,EGLL,BAW84NT ,1181,95,2364.0,96.0,1,8
146,4cada3,2025-04-20 09:44:24,EPWA,2025-04-20 12:57:58,LEAL,RYR49UA ,1143,49,1928.0,32.0,1,1
147,4d24eb,2025-04-20 09:29:55,EPWA,2025-04-20 13:04:56,LEMG,RYR38HV ,1124,42,5922.0,212.0,1,0
148,4892c7,2025-04-20 09:28:07,EPWA,2025-04-20 11:42:18,,ENT571  ,1424,72,,,1,0
