,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad02,2025-04-08 21:19:01,EPWA,2025-04-08 21:51:10,EPRJ,LOT3803 ,942,72,1107.0,27.0,1,1
1,48ac81,2025-04-08 21:17:47,EPWA,2025-04-08 21:47:37,EPKK,LOT3911 ,799,34,109.0,73.0,1,1
2,48ad87,2025-04-08 21:11:03,EPWA,2025-04-08 22:37:47,EETN,LOT7YE  ,968,56,763.0,24.0,1,1
3,48ad0f,2025-04-08 21:09:33,EPWA,2025-04-08 22:37:12,LBSF,LOT635  ,490,41,3504.0,17.0,1,1
4,48ad19,2025-04-08 21:07:10,EPWA,2025-04-08 22:25:55,LROP,LOT1KY  ,585,72,6963.0,163.0,1,2
5,48ad80,2025-04-08 21:02:23,EPWA,2025-04-08 21:37:07,EPGD,LOT3827 ,895,72,3842.0,49.0,1,2
6,48ad03,2025-04-08 20:52:33,EPWA,2025-04-08 21:16:55,EPKT,LOT87M  ,799,41,4729.0,123.0,1,1
7,489786,2025-04-08 20:51:18,EPWA,2025-04-08 21:36:30,EYVI,LOT773  ,946,49,79.0,45.0,1,2
8,48ad82,2025-04-08 20:50:02,EPWA,2025-04-08 21:34:01,EPWR,LOT2KH  ,873,49,140.0,92.0,1,2
9,48ad0e,2025-04-08 20:44:47,EPWA,2025-04-08 21:16:59,EPPO,LOT9WK  ,768,41,292.0,93.0,1,3
10,3c5429,2025-04-08 20:00:05,EPWA,2025-04-08 20:56:23,EDDP,BCS5547 ,694,49,1327.0,103.0,1,6
11,4891b9,2025-04-08 19:51:31,EPWA,2025-04-08 21:16:28,ESSA,ENT587P ,735,11,2415.0,64.0,1,0
12,a3d91f,2025-04-08 19:12:38,EPWA,2025-04-08 20:31:01,EDDK,UPS273  ,270,34,1430.0,84.0,1,2
