,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,471f41,2025-04-22 18:52:37,LEMD,2025-04-22 21:56:50,EPWA,WZZ506  ,7117.0,206.0,1448,18,1,1
1,471f63,2025-04-22 20:15:42,LIME,2025-04-22 21:46:31,EPWA,WZZ9100 ,1922.0,241.0,1673,18,1,1
2,48af0d,2025-04-22 17:40:23,,2025-04-22 21:07:26,EPWA,LOT6118 ,,,1682,11,0,1
3,4d24ad,2025-04-22 19:31:34,LSZM,2025-04-22 21:06:03,EPWA,WZZ55LZ ,966.0,179.0,1657,11,1,1
4,471fa0,2025-04-22 18:51:48,EGGW,2025-04-22 21:03:29,EPWA,WZZ65ZL ,944.0,45.0,1677,3,0,1
5,48d982,2025-04-22 20:31:08,EPRZ,2025-04-22 21:01:30,EPWA,PLF120  ,933.0,22.0,1647,11,1,1
6,48b2d1,2025-04-22 20:28:36,EPRZ,2025-04-22 20:54:28,EPWA,LPR41   ,743.0,45.0,1632,3,1,1
7,471f32,2025-04-22 18:06:26,LEPA,2025-04-22 20:45:21,EPWA,WZZ90GH ,12618.0,1119.0,1844,3,1,1
8,4d200e,2025-04-22 15:53:39,,2025-04-22 20:41:34,EPWA,WZZ26MQ ,,,1544,11,0,1
9,4d245f,2025-04-22 18:09:15,LEBL,2025-04-22 20:38:49,EPWA,WZZ6366 ,1386.0,3.0,1556,11,0,1
10,471f70,2025-04-22 18:06:12,LMML,2025-04-22 20:32:51,EPWA,WZZ5782 ,1950.0,38.0,1747,11,0,1
11,471f36,2025-04-22 19:13:50,,2025-04-22 20:31:03,EPWA,WZZ462  ,,,1602,3,0,1
12,471f64,2025-04-22 18:45:00,LIRP,2025-04-22 20:27:49,EPWA,WZZ297T ,3938.0,584.0,1665,11,0,1
13,44082c,2025-04-22 19:29:05,LOWW,2025-04-22 20:25:32,EPWA,AUA6AW  ,157.0,30.0,1665,11,0,1
14,471efd,2025-04-22 17:00:20,LEMG,2025-04-22 20:23:09,EPWA,WZZ17VY ,6897.0,700.0,1782,3,0,1
15,48ad02,2025-04-22 19:35:21,EPWR,2025-04-22 20:11:48,EPWA,LOT3860 ,742.0,39.0,879,41,1,1
16,3c6743,2025-04-22 18:55:08,EDDF,2025-04-22 20:09:20,EPWA,DLH5UX  ,3511.0,42.0,2034,11,2,1
17,4892c9,2025-04-22 16:12:08,,2025-04-22 20:06:43,EPWA,ENT79HK ,,,1965,3,0,1
18,48af12,2025-04-22 18:10:20,LFPG,2025-04-22 20:04:29,EPWA,LOT336  ,2282.0,2.0,1607,11,2,1
19,48ad0d,2025-04-22 19:17:01,,2025-04-22 20:02:47,EPWA,LOT9KM  ,,,1623,11,0,1
20,39bdb0,2025-04-22 18:07:00,LFPG,2025-04-22 20:00:51,EPWA,AFR21LR ,2026.0,48.0,1807,3,2,1
21,484f18,2025-04-22 18:25:32,EHAM,2025-04-22 19:58:11,EPWA,KLM73D  ,2105.0,10.0,3452,80,0,1
22,3c6597,2025-04-22 18:44:32,EDDM,2025-04-22 19:56:52,EPWA,DLH3CN  ,1367.0,3.0,1724,3,0,1
