,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,3f7b3c,2025-04-10 20:56:09,EDDS,2025-04-10 22:13:59,EPWA,GAF637  ,124.0,106.0,1213,11,0,1
1,48af07,2025-04-10 17:50:07,,2025-04-10 21:42:15,EPWA,LOT6198 ,,,1817,26,0,1
2,471f6b,2025-04-10 18:54:32,LEBL,2025-04-10 21:36:12,EPWA,WZZ6366 ,1512.0,18.0,1782,19,0,1
3,471f70,2025-04-10 19:20:21,EGGW,2025-04-10 21:18:29,EPWA,WZZ65ZL ,1574.0,15.0,1616,3,0,1
4,471db4,2025-04-10 18:06:07,LEMD,2025-04-10 21:14:53,EPWA,WZZ506  ,2447.0,153.0,2373,57,1,1
5,4d245f,2025-04-10 18:18:42,LMML,2025-04-10 21:11:44,EPWA,WZZ5782 ,1783.0,38.0,1529,11,0,1
6,4d241a,2025-04-10 19:15:05,LSZM,2025-04-10 20:57:03,EPWA,WZZ55LZ ,1083.0,79.0,1623,11,1,1
7,4d2020,2025-04-10 15:53:10,LPMA,2025-04-10 20:49:36,EPWA,WZZ26MQ ,878.0,86.0,1467,3,0,1
8,44081e,2025-04-10 19:44:50,LOWW,2025-04-10 20:47:27,EPWA,AUA6AW  ,249.0,68.0,1684,11,0,1
9,471f6a,2025-04-10 19:01:33,LIME,2025-04-10 20:45:16,EPWA,WZZ9100 ,2197.0,249.0,1499,3,1,1
10,4d200e,2025-04-10 18:52:38,LIRP,2025-04-10 20:43:35,EPWA,WZZ297T ,5158.0,790.0,1689,19,0,1
11,48af12,2025-04-10 18:46:00,LFPG,2025-04-10 20:35:56,EPWA,LOT336  ,4125.0,63.0,2238,42,2,1
12,484558,2025-04-10 18:52:43,EHAM,2025-04-10 20:23:49,EPWA,KLM73D  ,1796.0,110.0,1624,11,0,1
13,4d252b,2025-04-10 17:32:44,LEPA,2025-04-10 20:22:58,EPWA,WZZ90GH ,14940.0,1668.0,3780,133,0,1
14,48ae81,2025-04-10 18:44:05,EHAM,2025-04-10 20:18:45,EPWA,LOT2MN  ,1774.0,110.0,2652,64,0,1
15,3c6742,2025-04-10 18:49:17,EDDF,2025-04-10 20:17:19,EPWA,DLH5UX  ,1340.0,103.0,2134,42,1,1
16,48ada9,2025-04-10 19:37:17,EPWR,2025-04-10 20:15:36,EPWA,LOT3860 ,763.0,46.0,1981,34,1,1
17,489788,2025-04-10 19:38:50,EPGD,2025-04-10 20:13:40,EPWA,LOT7VL  ,3610.0,986.0,2132,42,0,1
18,471f31,2025-04-10 16:45:03,LEMG,2025-04-10 20:12:10,EPWA,WZZ17VY ,3768.0,418.0,1329,3,0,1
19,48ad82,2025-04-10 19:26:36,,2025-04-10 20:10:16,EPWA,LOT9KM  ,,,881,26,0,1
20,3c6598,2025-04-10 18:45:23,EDDM,2025-04-10 20:08:07,EPWA,DLH3CN  ,1405.0,41.0,1535,3,0,1
21,48ad02,2025-04-10 18:13:55,LSGG,2025-04-10 20:06:07,EPWA,LOT416  ,2100.0,248.0,1507,3,1,1
22,48af08,2025-04-10 18:31:05,EDDL,2025-04-10 20:04:29,EPWA,LOT6PA  ,328.0,105.0,1304,18,0,1
23,48af10,2025-04-10 18:39:44,EDDM,2025-04-10 20:02:27,EPWA,LOT6HT  ,1568.0,49.0,1197,18,0,1
