,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48adac,2025-04-18 21:24:54,EPWA,2025-04-18 22:53:20,LROP,LOT1KY  ,1290,49,1777.0,110.0,1,2
1,48ad87,2025-04-18 21:23:16,EPWA,2025-04-18 22:08:57,LZKZ,LOT517  ,1151,80,3383.0,105.0,1,1
2,489789,2025-04-18 21:21:12,EPWA,2025-04-18 21:52:12,EPRZ,LOT3803 ,898,57,2961.0,106.0,1,1
3,48ae80,2025-04-18 21:19:51,EPWA,2025-04-18 22:28:57,,LOT7CJ  ,1210,42,,,1,0
4,489786,2025-04-18 21:18:12,EPWA,2025-04-18 21:52:02,EPPO,LOT9WK  ,256,80,282.0,43.0,1,3
5,48ada6,2025-04-18 21:16:50,EPWA,2025-04-18 22:09:40,EVRA,LOT3HM  ,1039,57,3017.0,103.0,1,2
6,48ac82,2025-04-18 21:14:44,EPWA,2025-04-18 22:30:35,EETN,LOT7YE  ,1147,34,395.0,36.0,1,1
7,48adaf,2025-04-18 21:11:20,EPWA,2025-04-18 21:42:31,EPKK,LOT3911 ,1005,110,283.0,10.0,1,1
8,48ad00,2025-04-18 21:09:53,EPWA,2025-04-18 22:54:04,LBSF,LOT635  ,1024,87,3548.0,78.0,1,1
9,48ad08,2025-04-18 21:08:30,EPWA,2025-04-18 21:36:30,EPKT,LOT87M  ,1230,95,6745.0,313.0,1,1
10,48ac81,2025-04-18 21:07:01,EPWA,2025-04-18 21:50:41,EYVI,LOT773  ,1334,42,327.0,0.0,1,2
11,48ad0e,2025-04-18 21:05:26,EPWA,2025-04-18 21:38:28,EPWR,LOT2KH  ,1046,64,145.0,21.0,1,2
12,440202,2025-04-18 20:20:54,EPWA,2025-04-18 22:15:24,LFPG,TAY2IX  ,1281,64,4342.0,124.0,1,8
13,3c542e,2025-04-18 20:12:07,EPWA,2025-04-18 21:05:10,EDDP,BCS5547 ,949,87,1680.0,3.0,1,6
14,48b2d1,2025-04-18 20:10:04,EPWA,2025-04-18 21:04:00,EPGD,LPR41   ,807,103,6994.0,1253.0,1,2
15,4ca73f,2025-04-18 19:36:00,EPWA,2025-04-18 21:52:26,EGCC,RYR106B ,1155,57,588.0,35.0,1,1
16,4d2383,2025-04-18 19:29:03,EPWA,2025-04-18 22:39:35,LEAL,RYR49UA ,268,42,3199.0,131.0,1,1
17,a3e08d,2025-04-18 19:15:54,EPWA,2025-04-18 20:42:34,EDDK,UPS273  ,1129,179,3461.0,75.0,1,2
18,4d200e,2025-04-18 19:12:00,EPWA,2025-04-18 22:59:33,LPCS,WZZ32LJ ,1510,87,12501.0,922.0,1,3
19,48af11,2025-04-18 19:07:10,EPWA,2025-04-18 20:18:19,ESSA,LOT6AD  ,1170,103,490.0,11.0,1,0
20,48ad82,2025-04-18 18:58:07,EPWA,2025-04-18 19:32:22,EPPO,LOT3AV  ,1039,133,77.0,43.0,1,3
21,48ad0f,2025-04-18 18:56:12,EPWA,2025-04-18 20:22:53,EDDF,LOT3MA  ,991,95,11673.0,536.0,1,5
22,48ad19,2025-04-18 18:48:52,EPWA,2025-04-18 19:59:17,EDDM,LOT355  ,906,118,4357.0,80.0,1,3
23,48ad0d,2025-04-18 18:45:06,EPWA,2025-04-18 19:58:19,EDHI,LOT397  ,959,87,5238.0,450.0,1,4
24,48af10,2025-04-18 18:43:00,EPWA,2025-04-18 20:46:33,EGLL,LOT285  ,937,64,2925.0,119.0,1,8
25,48ada9,2025-04-18 18:39:01,EPWA,2025-04-18 20:39:30,LFPB,LOT2NC  ,1038,57,5245.0,398.0,1,8
26,48ad0c,2025-04-18 18:34:30,EPWA,2025-04-18 19:21:42,EDDB,LOT7AN  ,1036,103,460.0,28.0,1,3
27,48ada1,2025-04-18 18:32:14,EPWA,2025-04-18 20:25:26,EBBR,LOT1KE  ,892,72,3758.0,172.0,1,3
28,48ad09,2025-04-18 18:28:19,EPWA,2025-04-18 19:26:06,LKPR,LOT529  ,688,95,8746.0,389.0,1,7
29,48ada7,2025-04-18 18:24:39,EPWA,2025-04-18 20:01:55,EHAM,LOT6MB  ,757,72,3046.0,18.0,1,0
30,489786,2025-04-18 18:22:41,EPWA,2025-04-18 19:00:24,,LOT3935 ,1075,49,,,1,0
31,48ada3,2025-04-18 18:20:17,EPWA,2025-04-18 20:47:01,LTFM,LOT3MT  ,1076,42,9190.0,510.0,1,2
32,489788,2025-04-18 18:17:07,EPWA,2025-04-18 18:51:20,EPZG,LOT3LX  ,858,72,8800.0,459.0,1,0
33,489789,2025-04-18 18:13:36,EPWA,2025-04-18 18:48:20,EPWR,LOT3859 ,1130,141,108.0,29.0,1,2
34,48ad0b,2025-04-18 18:11:01,EPWA,2025-04-18 18:54:47,EPKK,LOT3921 ,1054,110,947.0,17.0,1,0
35,48ada0,2025-04-18 18:06:48,EPWA,2025-04-18 19:32:43,EDDL,LOT5NG  ,936,110,1920.0,39.0,1,4
36,4b19fe,2025-04-18 17:54:44,EPWA,2025-04-18 19:30:11,LSMD,SWR9BV  ,1254,95,7265.0,21.0,1,7
37,39e690,2025-04-18 17:50:39,EPWA,2025-04-18 19:54:42,LFPG,AFR53SM ,148,57,4257.0,276.0,1,8
38,484c51,2025-04-18 17:48:17,EPWA,2025-04-18 19:23:29,EHAM,KLM1318 ,637,64,2412.0,4.0,1,1
39,46a5e2,2025-04-18 17:46:48,EPWA,2025-04-18 19:56:27,LGKN,SEH4MP  ,968,87,13025.0,653.0,1,2
40,4d2022,2025-04-18 17:43:36,EPWA,2025-04-18 20:02:40,LICC,WMT55AC ,964,57,26835.0,1504.0,1,0
41,44082d,2025-04-18 17:34:06,EPWA,2025-04-18 18:42:19,LOWW,AUA6P   ,1188,118,9006.0,327.0,1,2
42,3c6666,2025-04-18 17:29:31,EPWA,2025-04-18 18:49:39,EDDF,DLH6MV  ,785,103,1934.0,18.0,1,5
43,461e14,2025-04-18 17:04:06,EPWA,2025-04-18 18:26:50,EFHK,FIN8ZR  ,1194,72,966.0,29.0,1,2
44,4baa59,2025-04-18 16:52:00,EPWA,2025-04-18 19:21:41,LTFM,THY9NV  ,1248,49,7785.0,403.0,1,2
45,48ada8,2025-04-18 16:46:17,EPWA,2025-04-18 17:49:07,LHBP,LOT5CH  ,808,57,954.0,13.0,1,7
46,4692cc,2025-04-18 16:40:01,EPWA,2025-04-18 19:00:53,LGKN,AEE873  ,1360,80,13155.0,439.0,1,2
47,405ee0,2025-04-18 16:25:46,EPWA,2025-04-18 18:55:28,EGLL,BAW851W ,1034,148,3857.0,172.0,1,8
48,471f64,2025-04-18 16:15:46,EPWA,2025-04-18 17:51:54,LIME,WZZ3308 ,1604,64,4650.0,157.0,1,1
49,495151,2025-04-18 16:11:30,EPWA,2025-04-18 20:08:46,LPAR,TAP120R ,1252,80,5347.0,613.0,1,5
50,471db6,2025-04-18 16:08:12,EPWA,2025-04-18 17:43:57,LIPE,WZZ58SL ,1316,57,2424.0,92.0,1,0
51,44ce66,2025-04-18 16:03:42,EPWA,2025-04-18 17:49:15,EBGB,BEL9PY  ,1066,64,9234.0,336.0,1,2
52,48ada6,2025-04-18 15:53:36,EPWA,2025-04-18 16:51:46,LKPR,LOT2MD  ,918,141,14.0,0.0,1,8
53,48ad08,2025-04-18 15:50:38,EPWA,2025-04-18 17:31:24,ELLX,LOT2WP  ,1061,42,100.0,2.0,1,2
54,484160,2025-04-18 15:49:25,EPWA,2025-04-18 17:20:06,EHAM,KLM1316 ,1259,42,2371.0,18.0,1,1
55,471f70,2025-04-18 15:48:02,EPWA,2025-04-18 17:38:51,LIRF,WZZ25DG ,650,87,6591.0,56.0,1,4
56,48ac81,2025-04-18 15:43:03,EPWA,2025-04-18 16:55:13,EKBI,LOT4AT  ,1236,49,2399.0,61.0,1,1
57,48ad0e,2025-04-18 15:41:10,EPWA,2025-04-18 16:50:18,EDHI,LOT3JK  ,1268,42,2796.0,594.0,1,4
58,471f6b,2025-04-18 15:39:30,EPWA,2025-04-18 17:50:19,EGGW,WZZ98YM ,1213,110,6646.0,342.0,1,5
59,48ad10,2025-04-18 15:38:00,EPWA,2025-04-18 16:38:09,LOWW,LOT225  ,1316,80,998.0,7.0,1,2
60,48ac80,2025-04-18 15:36:35,EPWA,2025-04-18 17:04:48,ENGM,LOT6PU  ,1038,64,1061.0,28.0,1,1
61,48ad02,2025-04-18 15:35:17,EPWA,2025-04-18 16:55:54,EDDS,LOT373  ,1224,80,37.0,15.0,1,6
62,489787,2025-04-18 15:32:20,EPWA,2025-04-18 16:50:11,EDDF,LOT3EA  ,933,133,1523.0,18.0,1,5
63,48af07,2025-04-18 15:31:00,EPWA,2025-04-18 17:03:55,LSZH,LOT7VA  ,1024,141,784.0,810.0,1,7
64,39e68c,2025-04-18 15:25:04,EPWA,2025-04-18 17:31:29,LFPB,AFR24WH ,1215,64,5243.0,390.0,1,7
65,48ad00,2025-04-18 15:21:54,EPWA,2025-04-18 16:31:57,EDDM,LOT3AN  ,1002,72,4642.0,95.0,1,3
66,01025a,2025-04-18 15:19:37,EPWA,2025-04-18 19:04:22,,NMA5304 ,1143,57,,,1,0
67,48adaf,2025-04-18 15:15:56,EPWA,2025-04-18 16:50:25,EDDL,LOT407  ,625,118,7572.0,336.0,1,4
68,48ada5,2025-04-18 15:14:46,EPWA,2025-04-18 16:19:50,EKCH,LOT461  ,1147,64,9625.0,330.0,1,1
69,48ad84,2025-04-18 15:13:35,EPWA,2025-04-18 16:03:46,EDDB,LOT389  ,1196,49,2316.0,58.0,1,3
70,3c4dcc,2025-04-18 15:10:14,EPWA,2025-04-18 16:28:28,EDDM,DLH3YA  ,1220,57,3488.0,42.0,1,3
71,48ada4,2025-04-18 15:05:10,EPWA,2025-04-18 16:51:55,LSGG,LOT5CV  ,1024,42,2366.0,34.0,1,3
72,48b2d1,2025-04-18 15:03:15,EPWA,2025-04-18 15:33:18,EPKT,LPR41   ,1006,141,26288.0,1205.0,1,0
