,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad02,2025-04-09 21:31:50,EPWA,2025-04-09 22:08:33,EPGD,LOT3827 ,795,11,4054.0,94.0,1,2
1,48ac81,2025-04-09 21:28:49,EPWA,2025-04-09 22:53:37,EETN,LOT7YE  ,637,26,655.0,21.0,1,1
2,48ad84,2025-04-09 21:27:02,EPWA,2025-04-09 22:43:37,LROP,LOT1KY  ,761,3,1777.0,71.0,1,2
3,48ad0f,2025-04-09 21:26:01,EPWA,2025-04-09 22:09:28,EYVI,LOT773  ,892,26,102.0,31.0,1,2
4,48ad10,2025-04-09 21:24:01,EPWA,2025-04-09 22:04:00,LZKZ,LOT517  ,696,3,4630.0,158.0,1,1
5,48ad80,2025-04-09 21:20:30,EPWA,2025-04-09 21:51:19,EPKK,LOT3911 ,745,3,16.0,20.0,1,1
6,48ad0d,2025-04-09 21:19:03,EPWA,2025-04-09 21:50:15,EPRJ,LOT3803 ,702,26,550.0,35.0,1,1
7,48ac82,2025-04-09 21:17:41,EPWA,2025-04-09 22:17:50,EVRA,LOT3HM  ,506,26,3944.0,141.0,1,3
8,489788,2025-04-09 21:16:06,EPWA,2025-04-09 21:42:50,EPKT,LOT87M  ,585,3,6121.0,252.0,1,1
9,48ad03,2025-04-09 21:11:38,EPWA,2025-04-09 22:38:33,LBSF,LOT635  ,834,49,10332.0,398.0,1,1
10,48ad0b,2025-04-09 21:08:00,EPWA,2025-04-09 21:43:47,EPPO,LOT9WK  ,930,3,319.0,32.0,1,3
11,48ad87,2025-04-09 21:00:43,EPWA,2025-04-09 21:36:32,EPWR,LOT2KH  ,683,49,226.0,31.0,1,2
12,3c542e,2025-04-09 19:57:33,EPWA,2025-04-09 20:56:08,EDDP,BCS5547 ,540,19,1198.0,80.0,1,6
13,440caf,2025-04-09 19:46:17,EPWA,2025-04-09 21:36:23,LFPG,TAY2IX  ,1365,95,3034.0,50.0,1,8
14,a3500f,2025-04-09 19:10:55,EPWA,2025-04-09 20:33:48,EDDK,UPS273  ,387,118,2216.0,76.0,1,2
15,48af12,2025-04-09 19:08:34,EPWA,2025-04-09 21:09:39,EGLL,LOT285  ,1148,133,2077.0,124.0,1,7
16,48ae86,2025-04-09 19:06:31,EPWA,2025-04-09 19:40:05,EPPO,LOT3AV  ,1461,64,484.0,48.0,1,3
17,48ada9,2025-04-09 19:02:20,EPWA,2025-04-09 20:23:42,ESGG,LOT49H  ,475,11,3091.0,5.0,1,1
18,48ad86,2025-04-09 19:01:03,EPWA,2025-04-09 20:10:51,EDDM,LOT355  ,747,3,2249.0,41.0,1,4
19,48adb9,2025-04-09 18:58:09,EPWA,2025-04-09 20:13:56,EKCH,LOT4WM  ,475,3,8342.0,147.0,1,1
20,48ada8,2025-04-09 18:57:00,EPWA,2025-04-09 20:35:21,EBBR,LOT1KE  ,1308,110,890.0,139.0,1,3
21,48ada1,2025-04-09 18:52:40,EPWA,2025-04-09 20:29:13,ESSA,LOT6AD  ,806,19,2424.0,64.0,1,0
22,489787,2025-04-09 18:49:19,EPWA,2025-04-09 19:39:45,EDDB,LOT7AN  ,1000,42,897.0,9.0,1,2
23,48ad00,2025-04-09 18:44:09,EPWA,2025-04-09 19:57:29,EDDH,LOT397  ,934,72,1570.0,46.0,1,3
24,48ada7,2025-04-09 18:41:21,EPWA,2025-04-09 20:00:06,LROP,LOT639  ,1189,64,2159.0,79.0,1,2
25,48ad82,2025-04-09 18:39:36,EPWA,2025-04-09 20:15:08,EHAM,LOT6MB  ,942,3,2745.0,80.0,1,1
26,48ad19,2025-04-09 18:38:32,EPWA,2025-04-09 20:28:25,LFPG,LOT2NC  ,711,42,3285.0,35.0,1,8
