,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad09,2025-04-28 21:30:45,EPWA,2025-04-28 22:00:34,EPRZ,LOT3803 ,937,95,2712.0,0.0,1,1
1,48ad02,2025-04-28 21:07:33,EPWA,2025-04-28 22:29:01,EETN,LOT7YE  ,735,95,686.0,59.0,1,1
2,48ad83,2025-04-28 21:06:05,EPWA,2025-04-28 22:25:47,LROP,LOT1KY  ,942,95,1901.0,19.0,1,2
3,48adac,2025-04-28 21:03:07,EPWA,2025-04-28 21:32:36,EPKK,LOT3911 ,945,95,359.0,103.0,1,0
4,48ada5,2025-04-28 20:54:30,EPWA,2025-04-28 21:30:35,EPWR,LOT2KH  ,770,95,8912.0,303.0,1,2
5,48978a,2025-04-28 20:34:36,EPWA,2025-04-28 21:07:51,EPPO,LOT9WK  ,690,56,357.0,101.0,1,3
6,3c5429,2025-04-28 20:09:01,EPWA,2025-04-28 21:01:29,EDDP,BCS5547 ,1149,3,1238.0,111.0,1,6
7,440caf,2025-04-28 19:53:45,EPWA,2025-04-28 21:53:04,LFPG,TAY2IX  ,904,79,3244.0,66.0,1,8
8,a51770,2025-04-28 19:27:02,EPWA,2025-04-28 20:48:31,EDDK,UPS273  ,619,87,1399.0,122.0,1,2
9,461e21,2025-04-28 19:04:47,EPWA,2025-04-28 20:35:38,EFHK,FIN3RB  ,1337,56,647.0,67.0,1,2
10,48af07,2025-04-28 19:00:41,EPWA,2025-04-28 20:22:02,ESGG,LOT49H  ,1191,72,7143.0,264.0,1,2
11,48ad0e,2025-04-28 18:58:49,EPWA,2025-04-28 20:11:14,EDDM,LOT355  ,942,102,2244.0,49.0,1,4
12,48ada9,2025-04-28 18:57:19,EPWA,2025-04-28 19:29:59,,LOT6AD  ,938,95,,,1,0
13,48ad86,2025-04-28 18:56:01,EPWA,2025-04-28 20:17:15,LROP,LOT639  ,949,95,1830.0,27.0,1,2
14,48ad00,2025-04-28 18:54:15,EPWA,2025-04-28 19:26:28,EPPO,LOT3AV  ,918,102,179.0,101.0,1,3
15,48ad19,2025-04-28 18:51:42,EPWA,2025-04-28 20:01:11,EDDH,LOT397  ,873,72,2253.0,23.0,1,3
16,489787,2025-04-28 18:49:20,EPWA,2025-04-28 19:38:20,EDDB,LOT7AN  ,878,64,723.0,55.0,1,2
17,4d24ad,2025-04-28 18:48:00,EPWA,2025-04-28 20:47:05,LIRN,WMT7GZ  ,792,56,18617.0,1038.0,1,0
