,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,4d22c8,2025-04-27 21:35:31,EPWA,2025-04-27 22:26:06,LOWW,RYR1GB  ,1270,87,1205.0,99.0,1,2
1,48ad86,2025-04-27 21:30:40,EPWA,2025-04-27 21:59:33,EPRZ,LOT3803 ,1250,64,3243.0,7.0,1,1
2,48ae86,2025-04-27 21:26:32,EPWA,2025-04-27 22:47:09,LROP,LOT1KY  ,1106,110,1422.0,49.0,1,2
3,48ad08,2025-04-27 21:19:25,EPWA,2025-04-27 22:00:23,LZKZ,LOT517  ,991,79,3276.0,16.0,1,1
4,48ac82,2025-04-27 21:18:01,EPWA,2025-04-27 22:14:19,EVRA,LOT3HM  ,1165,117,2544.0,71.0,1,2
5,48af19,2025-04-27 21:12:51,EPWA,2025-04-27 21:56:28,EYVI,LOT773  ,984,102,996.0,136.0,1,2
6,489788,2025-04-27 21:06:23,EPWA,2025-04-27 21:30:23,EPKT,LOT87M  ,900,64,7491.0,207.0,1,1
7,489789,2025-04-27 21:05:16,EPWA,2025-04-27 21:37:30,EPPO,LOT9WK  ,791,56,243.0,139.0,1,3
8,48ada2,2025-04-27 21:01:22,EPWA,2025-04-27 22:36:46,LBSF,LOT635  ,1112,34,1751.0,58.0,1,1
9,48ad00,2025-04-27 20:57:56,EPWA,2025-04-27 21:36:04,EPWR,LOT2KH  ,439,64,585.0,130.0,1,2
10,48ae85,2025-04-27 19:51:04,EPWA,2025-04-27 22:59:52,UG27,LOT723  ,494,133,2040.0,385.0,1,3
11,461e1b,2025-04-27 19:13:35,EPWA,2025-04-27 20:43:19,EFHK,FIN3RB  ,1073,133,942.0,85.0,1,2
12,4892c0,2025-04-27 19:07:00,EPWA,2025-04-27 19:59:08,LHBP,ENT22DW ,1003,102,808.0,128.0,1,7
13,48af07,2025-04-27 19:05:40,EPWA,2025-04-27 21:05:20,EGLL,LOT285  ,1177,79,2645.0,63.0,1,5
14,48ad0b,2025-04-27 19:02:44,EPWA,2025-04-27 20:31:29,EDFZ,LOT3MA  ,1099,102,6610.0,1097.0,1,3
15,48ad03,2025-04-27 19:01:19,EPWA,2025-04-27 20:28:14,EDDM,LOT355  ,1316,110,7334.0,224.0,1,3
16,48adac,2025-04-27 18:53:00,EPWA,2025-04-27 20:21:35,ESSA,LOT6AD  ,642,140,6812.0,110.0,1,0
17,489787,2025-04-27 18:52:00,EPWA,2025-04-27 19:23:26,EPPO,LOT3AV  ,1203,110,158.0,139.0,1,3
18,48ad02,2025-04-27 18:49:15,EPWA,2025-04-27 19:52:52,EDAZ,LOT7AN  ,938,140,14817.0,1948.0,1,2
19,471f41,2025-04-27 18:42:46,EPWA,2025-04-27 22:40:40,BIKF,WZZ40WJ ,768,110,719.0,62.0,1,0
20,48ad0d,2025-04-27 18:41:04,EPWA,2025-04-27 19:53:55,EDDH,LOT397  ,673,140,2757.0,99.0,1,3
21,48ad0e,2025-04-27 18:38:25,EPWA,2025-04-27 19:29:08,LKPR,LOT529  ,758,140,109.0,121.0,1,8
22,48af11,2025-04-27 18:36:34,EPWA,2025-04-27 20:10:14,EDLN,LOT5NG  ,878,102,7641.0,579.0,1,3
