,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad0c,2025-04-24 21:32:38,EPWA,2025-04-24 22:03:47,EPKK,LOT3911 ,747,3,104.0,2.0,1,1
1,48ad19,2025-04-24 21:21:15,EPWA,2025-04-24 21:52:12,EPRJ,LOT3803 ,732,11,1072.0,88.0,1,1
2,489788,2025-04-24 21:13:31,EPWA,2025-04-24 21:42:30,EPKT,LOT87M  ,923,3,5690.0,245.0,1,1
3,48adac,2025-04-24 21:10:40,EPWA,2025-04-24 22:37:32,LROP,LOT1KY  ,797,26,1198.0,102.0,1,2
4,48ad0d,2025-04-24 21:03:20,EPWA,2025-04-24 22:38:31,LBSF,LOT635  ,1175,19,3611.0,109.0,1,1
5,48ad08,2025-04-24 20:55:00,EPWA,2025-04-24 21:32:31,EPWR,LOT2KH  ,933,3,39.0,8.0,1,2
6,48adaf,2025-04-24 20:54:09,EPWA,2025-04-24 21:32:59,EYVI,LOT773  ,874,19,255.0,14.0,1,2
7,48ad10,2025-04-24 20:46:01,EPWA,2025-04-24 21:24:57,EPPO,LOT9WK  ,526,3,97.0,25.0,1,3
8,3c542e,2025-04-24 20:00:03,EPWA,2025-04-24 20:54:38,EDDP,BCS5547 ,1142,72,1201.0,19.0,1,6
9,48af0f,2025-04-24 19:52:30,EPWA,2025-04-24 21:06:41,EETN,LOT789  ,1431,80,930.0,39.0,1,1
10,48ae83,2025-04-24 19:49:19,EPWA,2025-04-24 22:59:52,UG27,LOT723  ,950,34,19644.0,1109.0,1,2
11,4d2289,2025-04-24 19:47:00,EPWA,2025-04-24 21:30:08,LIRP,RYR7643 ,1311,49,14760.0,722.0,1,0
12,48a5f0,2025-04-24 19:36:26,EPWA,2025-04-24 22:53:22,EBOS,SAR165  ,14,11,2261.0,41.0,1,3
13,461e1b,2025-04-24 19:17:33,EPWA,2025-04-24 20:38:57,EFHK,FIN3RB  ,654,3,1904.0,39.0,1,2
14,48ad85,2025-04-24 19:05:43,EPWA,2025-04-24 20:24:47,EDDM,LOT355  ,671,34,3650.0,87.0,1,3
15,489787,2025-04-24 19:02:31,EPWA,2025-04-24 19:29:05,EPKT,LOT3887 ,1078,133,7249.0,321.0,1,1
16,48af08,2025-04-24 19:01:19,EPWA,2025-04-24 21:08:05,EGLL,LOT285  ,873,26,3045.0,43.0,1,8
17,48978a,2025-04-24 18:57:08,EPWA,2025-04-24 20:21:09,EDDF,LOT3MA  ,692,19,8240.0,353.0,1,4
18,48adae,2025-04-24 18:51:00,EPWA,2025-04-24 20:48:22,LFPG,LOT2NC  ,779,3,3088.0,48.0,1,8
19,48adb9,2025-04-24 18:49:16,EPWA,2025-04-24 20:07:31,EDDH,LOT397  ,1071,26,1597.0,54.0,1,3
20,48ad03,2025-04-24 18:47:10,EPWA,2025-04-24 19:20:54,EPPO,LOT3AV  ,1320,57,511.0,25.0,1,3
21,48ad0e,2025-04-24 18:43:49,EPWA,2025-04-24 19:39:28,EDDB,LOT7AN  ,811,11,3337.0,5.0,1,4
22,471f32,2025-04-24 18:41:40,EPWA,2025-04-24 22:32:51,BIKF,WZZ40WJ ,1061,57,3118.0,54.0,1,0
23,040141,2025-04-24 18:39:09,EPWA,2025-04-24 19:39:46,LOWW,ETH731  ,580,11,802.0,7.0,1,2
24,48ada1,2025-04-24 18:36:33,EPWA,2025-04-24 19:32:02,LKPR,LOT529  ,949,3,252.0,29.0,1,8
25,48ada7,2025-04-24 18:35:11,EPWA,2025-04-24 20:15:31,EHAM,LOT6MB  ,938,3,3103.0,42.0,1,0
26,48ada2,2025-04-24 18:32:34,EPWA,2025-04-24 20:11:33,EBMB,LOT1KE  ,982,26,570.0,52.0,1,3
27,48ae80,2025-04-24 18:31:00,EPWA,2025-04-24 19:58:36,EDDL,LOT5NG  ,1520,103,1748.0,6.0,1,4
28,48ad0f,2025-04-24 18:22:52,EPWA,2025-04-24 18:56:28,EPWR,LOT3859 ,963,26,520.0,8.0,1,2
29,48ad82,2025-04-24 18:20:02,EPWA,2025-04-24 18:48:59,EPKK,LOT3921 ,1089,26,1049.0,17.0,1,1
30,48ad83,2025-04-24 18:18:32,EPWA,2025-04-24 20:31:26,LTFM,LOT3MT  ,977,26,6538.0,396.0,1,2
31,489786,2025-04-24 18:11:09,EPWA,2025-04-24 18:26:34,,LOT3825 ,1663,64,,,1,0
32,489789,2025-04-24 18:08:42,EPWA,2025-04-24 18:44:16,EPZG,LOT3LX  ,1097,34,8976.0,413.0,1,0
33,48ad0b,2025-04-24 18:04:11,EPWA,2025-04-24 18:43:49,,LOT3935 ,1454,49,,,1,0
34,4852f5,2025-04-24 18:00:52,EPWA,2025-04-24 19:43:39,EHAM,KLM1318 ,1106,19,2600.0,26.0,1,0
35,440821,2025-04-24 17:58:00,EPWA,2025-04-24 18:55:09,LOWW,AUA6P   ,1064,34,987.0,0.0,1,2
36,4aca6f,2025-04-24 17:56:36,EPWA,2025-04-24 18:14:24,,SAS2752 ,1099,26,,,1,0
37,4b19fd,2025-04-24 17:54:11,EPWA,2025-04-24 19:33:54,LSZT,SWR9BV  ,973,26,10508.0,1283.0,1,7
38,3cc24b,2025-04-24 17:51:31,EPWA,2025-04-24 19:05:45,EDDV,AWH54H  ,1201,103,2946.0,12.0,1,2
39,3c6746,2025-04-24 17:32:04,EPWA,2025-04-24 18:53:58,EDDF,DLH6MV  ,673,19,4088.0,125.0,1,5
40,4d22ae,2025-04-24 17:15:16,EPWA,2025-04-24 19:58:14,LEPA,RYR73XC ,725,42,14143.0,586.0,1,1
41,46b826,2025-04-24 17:12:31,EPWA,2025-04-24 19:25:48,LGKN,AEE873  ,571,19,12980.0,592.0,1,2
42,4baa6c,2025-04-24 17:10:33,EPWA,2025-04-24 19:18:34,LTFM,THY9NV  ,975,49,8068.0,480.0,1,2
43,48ad87,2025-04-24 17:06:24,EPWA,2025-04-24 17:42:59,EPKK,LOT3923 ,528,26,496.0,10.0,1,0
44,48ad02,2025-04-24 16:42:11,EPWA,2025-04-24 17:39:18,LHBP,LOT5CH  ,955,26,537.0,24.0,1,7
45,40087a,2025-04-24 16:34:16,EPWA,2025-04-24 18:52:17,EGLL,BAW851W ,859,64,2676.0,10.0,1,8
46,44ce6c,2025-04-24 16:19:21,EPWA,2025-04-24 17:58:52,EBMB,BEL9PY  ,906,57,20361.0,907.0,1,5
47,471fa0,2025-04-24 16:15:48,EPWA,2025-04-24 17:57:50,LSZM,WZZ3415 ,904,57,1021.0,41.0,1,4
48,48adaf,2025-04-24 16:09:53,EPWA,2025-04-24 17:05:09,LKPR,LOT2MD  ,946,34,10.0,21.0,1,8
49,4d24b4,2025-04-24 16:02:30,EPWA,2025-04-24 17:58:21,LIRP,WZZ24UW ,677,19,4451.0,203.0,1,2
50,48ada9,2025-04-24 15:59:36,EPWA,2025-04-24 17:25:52,EDDM,LOT3AN  ,1302,72,5747.0,133.0,1,3
51,471f64,2025-04-24 15:52:01,EPWA,2025-04-24 18:04:09,EGGW,WZZ98YM ,996,64,1481.0,46.0,1,5
52,4d200e,2025-04-24 15:50:08,EPWA,2025-04-24 18:30:42,LMML,WZZ9193 ,678,19,2577.0,38.0,1,0
53,4d203c,2025-04-24 15:49:02,EPWA,2025-04-24 17:57:18,EGGW,FJO68N  ,309,57,13322.0,609.0,1,6
54,489788,2025-04-24 15:47:00,EPWA,2025-04-24 18:54:27,,LOT4LK  ,1027,64,,,1,0
55,48adac,2025-04-24 15:45:18,EPWA,2025-04-24 16:42:58,LOWW,LOT225  ,811,26,1034.0,7.0,1,2
56,48da42,2025-04-24 15:41:33,EPWA,2025-04-24 16:44:49,,PLF631  ,2115,118,,,1,0
57,48ada0,2025-04-24 15:40:54,EPWA,2025-04-24 17:05:51,EDDF,LOT3EA  ,1690,125,2256.0,125.0,1,4
58,48ae86,2025-04-24 15:39:14,EPWA,2025-04-24 17:08:27,EDDL,LOT407  ,1220,26,281.0,52.0,1,4
59,48ada5,2025-04-24 15:39:06,EPWA,2025-04-24 16:41:29,EKCH,LOT461  ,7028,804,2119.0,10.0,1,0
60,48af11,2025-04-24 15:36:30,EPWA,2025-04-24 17:10:29,LSZH,LOT7VA  ,1374,87,4004.0,71.0,1,6
61,48ad0c,2025-04-24 15:32:30,EPWA,2025-04-24 17:07:59,ELLX,LOT2WP  ,1608,163,3299.0,20.0,1,2
62,484442,2025-04-24 15:31:02,EPWA,2025-04-24 17:08:21,EHAM,KLM1316 ,1090,26,2354.0,34.0,1,1
63,3c644e,2025-04-24 15:29:41,EPWA,2025-04-24 16:43:19,EDDM,DLH3YA  ,1245,80,4563.0,156.0,1,3
64,39e694,2025-04-24 15:28:21,EPWA,2025-04-24 17:25:28,LFPG,AFR24WH ,630,42,4806.0,147.0,1,8
65,48ad08,2025-04-24 15:24:03,EPWA,2025-04-24 16:20:16,EDDB,LOT389  ,938,11,6200.0,43.0,1,4
66,5084a6,2025-04-24 15:22:09,EPWA,2025-04-24 17:48:32,,MGH872  ,1068,42,,,1,0
67,48ad0d,2025-04-24 15:18:56,EPWA,2025-04-24 16:59:29,,LOT3ML  ,1101,49,,,1,0
68,48ac82,2025-04-24 15:16:17,EPWA,2025-04-24 16:50:59,ENKJ,LOT6PU  ,1075,49,12044.0,692.0,1,1
69,489789,2025-04-24 15:14:00,EPWA,2025-04-24 15:46:14,EPKT,LOT3885 ,610,11,5613.0,252.0,1,1
70,48ac80,2025-04-24 15:10:22,EPWA,2025-04-24 16:49:25,EHAM,LOT5PX  ,597,42,9976.0,399.0,1,1
71,48978a,2025-04-24 15:08:47,EPWA,2025-04-24 15:39:38,EPPO,LOT3947 ,983,49,523.0,10.0,1,3
72,48ada4,2025-04-24 15:06:31,EPWA,2025-04-24 16:38:07,ESSA,LOT4CE  ,1023,19,14152.0,644.0,1,2
73,48ad01,2025-04-24 15:04:04,EPWA,2025-04-24 15:28:16,,LOT81L  ,792,19,,,1,0
