,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ae85,2025-04-13 21:52:09,EPWA,2025-04-13 22:59:52,EETN,LOT7YE  ,1002,42,9511.0,455.0,1,0
1,48ada5,2025-04-13 21:32:52,EPWA,2025-04-13 22:15:59,EYVI,LOT773  ,1483,110,100.0,14.0,1,2
2,48ada8,2025-04-13 21:31:17,EPWA,2025-04-13 22:04:48,EPRJ,LOT3803 ,1442,125,957.0,73.0,1,1
3,48ac80,2025-04-13 21:29:37,EPWA,2025-04-13 22:22:59,EVRA,LOT3HM  ,1355,49,3609.0,217.0,1,2
4,49d4cf,2025-04-13 21:27:44,EPWA,2025-04-13 22:01:52,LKMT,QAV30E  ,295,87,8453.0,382.0,1,2
5,489789,2025-04-13 21:23:00,EPWA,2025-04-13 21:58:09,LKMT,LOT5VN  ,1243,80,8126.0,359.0,1,2
6,48ada4,2025-04-13 21:21:35,EPWA,2025-04-13 21:57:39,EPWR,LOT2KH  ,1101,72,227.0,29.0,1,2
7,48ad86,2025-04-13 21:18:30,EPWA,2025-04-13 21:56:09,LZBD,LOT517  ,1260,171,13200.0,568.0,1,2
8,48ad19,2025-04-13 21:16:42,EPWA,2025-04-13 21:41:40,EPKT,LOT87M  ,947,87,7254.0,329.0,1,1
9,48ac82,2025-04-13 21:13:30,EPWA,2025-04-13 21:49:40,EPKK,LOT3911 ,1202,57,1100.0,10.0,1,0
10,48adaf,2025-04-13 21:11:55,EPWA,2025-04-13 22:32:09,LROP,LOT1KY  ,1146,34,1998.0,49.0,1,2
11,48ad0e,2025-04-13 21:10:02,EPWA,2025-04-13 22:37:35,LBSF,LOT635  ,1281,80,1547.0,12.0,1,1
12,48ad10,2025-04-13 20:45:52,EPWA,2025-04-13 21:18:40,EPPO,LOT9WK  ,828,148,350.0,43.0,1,3
13,48af10,2025-04-13 20:33:10,EPWA,2025-04-13 21:46:22,ESGG,LOT49H  ,823,57,5098.0,302.0,1,1
14,48af08,2025-04-13 19:47:38,EPWA,2025-04-13 22:59:52,UG27,LOT723  ,1190,87,3787.0,126.0,1,3
15,4d22b2,2025-04-13 19:09:30,EPWA,2025-04-13 20:00:45,LOWW,RYR1GB  ,1462,133,1227.0,38.0,1,2
16,48ad09,2025-04-13 19:04:07,EPWA,2025-04-13 19:38:21,EPWR,LOT3859 ,1101,64,411.0,29.0,1,2
17,461e21,2025-04-13 19:01:11,EPWA,2025-04-13 20:20:57,EFHK,FIN3RB  ,1061,57,753.0,14.0,1,2
18,489786,2025-04-13 18:55:36,EPWA,2025-04-13 20:17:00,EDDF,LOT3MA  ,958,118,2032.0,87.0,1,5
19,48ad08,2025-04-13 18:54:23,EPWA,2025-04-13 19:45:25,LKPR,LOT529  ,1128,118,380.0,16.0,1,8
20,48ad03,2025-04-13 18:50:20,EPWA,2025-04-13 20:03:27,EDDM,LOT355  ,856,110,3481.0,57.0,1,3
21,489788,2025-04-13 18:49:10,EPWA,2025-04-13 19:56:02,EKCH,LOT4WM  ,1101,95,2371.0,162.0,1,0
22,48ad0f,2025-04-13 18:47:47,EPWA,2025-04-13 19:59:43,EDDH,LOT397  ,863,64,1600.0,98.0,1,3
23,48adac,2025-04-13 18:46:03,EPWA,2025-04-13 20:06:22,ESSA,LOT6AD  ,1179,133,201.0,72.0,1,0
24,48978a,2025-04-13 18:44:43,EPWA,2025-04-13 19:17:36,EPPO,LOT3AV  ,959,163,175.0,43.0,1,3
