,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad0e,2025-04-30 21:26:10,EPWA,2025-04-30 22:00:11,EPRJ,LOT3803 ,873,34,1172.0,35.0,1,1
1,48ad01,2025-04-30 21:23:30,EPWA,2025-04-30 22:04:57,LZKZ,LOT517  ,770,49,3365.0,44.0,1,1
2,48ac80,2025-04-30 21:12:22,EPWA,2025-04-30 21:53:07,EPWR,LOT2KH  ,960,49,4877.0,151.0,1,2
3,48adae,2025-04-30 21:11:11,EPWA,2025-04-30 22:30:28,LROP,LOT1KY  ,1139,34,1776.0,56.0,1,2
4,48ad0c,2025-04-30 21:07:00,EPWA,2025-04-30 22:35:51,LBSF,LOT635  ,752,49,3527.0,17.0,1,1
5,48ad00,2025-04-30 21:03:50,EPWA,2025-04-30 21:30:06,EPKT,LOT87M  ,757,41,3921.0,77.0,1,1
6,489786,2025-04-30 21:00:34,EPWA,2025-04-30 21:35:01,EPPO,LOT9WK  ,856,26,639.0,71.0,1,3
7,3c542e,2025-04-30 20:04:17,EPWA,2025-04-30 20:58:30,EDDP,BCS5547 ,825,26,1378.0,73.0,1,6
8,440201,2025-04-30 19:47:24,EPWA,2025-04-30 21:51:57,LFPG,TAY2IX  ,1636,42,3132.0,28.0,1,8
9,a32ffe,2025-04-30 19:16:30,EPWA,2025-04-30 20:45:21,EDDK,UPS273  ,697,34,3991.0,45.0,1,2
10,48ad10,2025-04-30 19:07:04,EPWA,2025-04-30 20:35:53,ESSA,LOT6AD  ,938,49,88.0,64.0,1,0
11,4d200e,2025-04-30 19:05:15,EPWA,2025-04-30 22:59:52,BIKF,WZZ40WJ ,839,18,21094.0,976.0,1,0
12,48ad0b,2025-04-30 19:01:32,EPWA,2025-04-30 20:39:44,EDFZ,LOT3MA  ,639,34,5416.0,1089.0,1,4
13,4d2448,2025-04-30 18:59:06,EPWA,2025-04-30 21:12:51,LICZ,WMT55AC ,654,41,17052.0,1370.0,1,1
14,489789,2025-04-30 18:56:03,EPWA,2025-04-30 20:09:30,EDDM,LOT355  ,724,49,2047.0,41.0,1,4
15,48978a,2025-04-30 18:55:18,EPWA,2025-04-30 20:08:26,EKCH,LOT4WM  ,1290,26,9867.0,223.0,1,1
16,48af0e,2025-04-30 18:53:47,EPWA,2025-04-30 21:03:58,EGLL,LOT285  ,697,18,2948.0,12.0,1,8
17,48ad81,2025-04-30 18:43:24,EPWA,2025-04-30 20:01:23,EDDH,LOT397  ,668,49,1582.0,31.0,1,3
18,48ada7,2025-04-30 18:42:31,EPWA,2025-04-30 19:45:28,LKTC,LOT529  ,715,11,6252.0,525.0,1,7
19,489787,2025-04-30 18:38:30,EPWA,2025-04-30 19:32:04,EDDB,LOT7AN  ,785,49,720.0,32.0,1,2
20,48ad08,2025-04-30 18:36:42,EPWA,2025-04-30 20:18:53,EHAM,LOT6MB  ,1124,11,3082.0,42.0,1,0
21,48ad82,2025-04-30 18:34:11,EPWA,2025-04-30 20:21:52,EBMB,LOT1KE  ,973,26,6561.0,191.0,1,3
22,48adaf,2025-04-30 18:32:21,EPWA,2025-04-30 19:54:02,LROP,LOT639  ,935,49,2150.0,26.0,1,2
23,48ada0,2025-04-30 18:31:30,EPWA,2025-04-30 20:41:13,LFPB,LOT2NC  ,1576,72,5689.0,177.0,1,8
