,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,471f6d,2025-04-13 20:11:32,,2025-04-13 22:41:59,EPWA,WZZ38KV ,,,2336,80,0,1
1,48ad09,2025-04-13 21:20:00,EPWR,2025-04-13 21:53:33,EPWA,LOT3860 ,678.0,36.0,2418,95,1,1
2,48ae83,2025-04-13 18:58:09,,2025-04-13 21:19:45,EPWA,LOT6230 ,,,2515,95,0,1
3,471db4,2025-04-13 19:24:07,LIRF,2025-04-13 21:08:24,EPWA,WZZ80EX ,175.0,102.0,2139,80,0,1
4,471f64,2025-04-13 19:40:09,LIME,2025-04-13 21:05:59,EPWA,WZZ9100 ,1945.0,256.0,1991,64,1,1
5,4d252b,2025-04-13 18:57:30,EGGW,2025-04-13 20:49:35,EPWA,WZZ65ZL ,906.0,136.0,2320,87,0,1
6,471fa0,2025-04-13 16:14:30,LPMA,2025-04-13 20:47:21,EPWA,WZZ26MQ ,668.0,43.0,2480,95,0,1
7,4d241a,2025-04-13 18:14:08,LEBL,2025-04-13 20:38:57,EPWA,WZZ6366 ,1372.0,34.0,2285,87,0,1
8,3c6637,2025-04-13 19:20:56,EDDF,2025-04-13 20:36:59,EPWA,DLH5UX  ,3854.0,71.0,2197,80,2,1
9,48ae85,2025-04-13 18:42:30,LFPG,2025-04-13 20:35:23,EPWA,LOT336  ,2100.0,124.0,1485,34,2,1
10,48af07,2025-04-13 17:08:25,LCLK,2025-04-13 20:33:26,EPWA,LOT172  ,13348.0,942.0,2163,80,0,1
11,471f36,2025-04-13 18:01:52,LMML,2025-04-13 20:31:48,EPWA,WZZ5782 ,1638.0,45.0,2461,95,0,1
12,4d200e,2025-04-13 18:59:18,LSZM,2025-04-13 20:30:09,EPWA,WZZ55LZ ,1197.0,35.0,2617,103,1,1
13,471f6b,2025-04-13 17:45:18,LEMD,2025-04-13 20:28:14,EPWA,WZZ506  ,7576.0,305.0,3176,125,1,1
14,49d4cf,2025-04-13 17:04:41,LCLK,2025-04-13 20:26:58,EPWA,QAV30E  ,6128.0,866.0,1738,57,0,1
15,4d2020,2025-04-13 17:16:21,LEMG,2025-04-13 20:24:45,EPWA,WZZ17VY ,6897.0,753.0,2298,87,0,1
16,440823,2025-04-13 19:27:47,LOWW,2025-04-13 20:22:38,EPWA,AUA6AW  ,184.0,30.0,2315,87,0,1
17,471f70,2025-04-13 18:54:50,LIPE,2025-04-13 20:20:16,EPWA,WZZ5474 ,1827.0,206.0,2075,64,0,1
18,489787,2025-04-13 18:51:30,EKBI,2025-04-13 20:06:17,EPWA,LOT4LK  ,537.0,214.0,2640,103,0,1
19,4892c8,2025-04-13 16:26:07,,2025-04-13 20:04:20,EPWA,ENT79MJ ,,,2417,87,0,1
20,484162,2025-04-13 18:36:17,EHAM,2025-04-13 20:02:31,EPWA,KLM73D  ,1922.0,79.0,2084,72,0,1
21,489789,2025-04-13 19:21:31,,2025-04-13 20:00:54,EPWA,LOT9KM  ,,,1541,42,0,1
22,48ad0d,2025-04-13 19:44:41,,2025-04-13 19:59:02,EPWA,LOT7VL  ,,,2088,64,0,1
23,48af0d,2025-04-13 18:27:00,EBMB,2025-04-13 19:56:52,EPWA,LOT4HE  ,513.0,53.0,2748,103,2,1
24,39e68e,2025-04-13 18:03:31,LFPG,2025-04-13 19:53:14,EPWA,AFR21LR ,1481.0,177.0,2248,80,3,1
25,3c644e,2025-04-13 18:39:22,EDDM,2025-04-13 19:51:09,EPWA,DLH3CN  ,1787.0,72.0,2686,103,0,1
