,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,471f31,2025-04-09 17:41:00,LEZL,2025-04-09 21:14:35,EPWA,WZZ993E ,2084.0,293.0,1754,42,1,1
1,471f64,2025-04-09 18:59:25,EGGW,2025-04-09 21:10:14,EPWA,WZZ65ZL ,2076.0,106.0,1689,26,0,1
2,4d24d6,2025-04-09 19:05:21,LIRF,2025-04-09 21:07:01,EPWA,WZZ80EX ,1394.0,293.0,1654,34,0,1
3,48ad0e,2025-04-09 20:27:30,EPGD,2025-04-09 21:04:17,EPWA,LOT7VL  ,1830.0,445.0,1425,19,0,1
4,4d245f,2025-04-09 08:53:06,EPWA,2025-04-09 20:59:12,EPWA,WZZ495  ,707.0,49.0,1558,34,1,1
5,4d252b,2025-04-09 18:10:31,,2025-04-09 20:54:27,EPWA,WZZ51AH ,,,1506,34,0,1
6,471f70,2025-04-09 17:41:01,LEMD,2025-04-09 20:48:04,EPWA,WZZ506  ,8283.0,335.0,1590,26,1,1
7,471f6a,2025-04-09 19:02:13,LIME,2025-04-09 20:44:38,EPWA,WZZ9100 ,2212.0,302.0,1735,34,1,1
8,4d2020,2025-04-09 17:54:50,LMML,2025-04-09 20:42:37,EPWA,WZZ5782 ,775.0,76.0,1734,49,0,1
9,471daf,2025-04-09 18:59:00,LIPE,2025-04-09 20:39:48,EPWA,WZZ5474 ,1815.0,175.0,1546,34,0,1
10,440823,2025-04-09 19:30:54,LOWW,2025-04-09 20:33:08,EPWA,AUA6AW  ,144.0,60.0,1460,34,0,1
11,48ad10,2025-04-09 19:40:01,,2025-04-09 20:28:17,EPWA,LOT9KM  ,,,1128,11,0,1
12,48af0c,2025-04-09 19:10:38,EDDM,2025-04-09 20:25:40,EPWA,LOT6HT  ,1295.0,64.0,1602,26,0,1
13,489786,2025-04-09 18:20:55,LFMN,2025-04-09 20:23:45,EPWA,LOT3PW  ,1434.0,49.0,1544,26,0,1
14,3c6749,2025-04-09 18:53:46,EDDF,2025-04-09 20:21:13,EPWA,DLH5UX  ,1729.0,80.0,2579,87,1,1
15,48ad0d,2025-04-09 19:40:08,EPWR,2025-04-09 20:19:37,EPWA,LOT3860 ,662.0,39.0,858,3,1,1
16,471f6b,2025-04-09 18:12:49,LFMN,2025-04-09 20:17:25,EPWA,WZZ16AT ,1053.0,41.0,1705,34,0,1
17,48ae80,2025-04-09 18:10:17,LFPG,2025-04-09 20:15:08,EPWA,LOT336  ,1464.0,40.0,2169,64,2,1
18,484161,2025-04-09 18:33:13,EHAM,2025-04-09 20:13:26,EPWA,KLM73D  ,1776.0,126.0,2450,80,0,1
19,471db4,2025-04-09 16:32:01,LEMG,2025-04-09 20:11:37,EPWA,WZZ17VY ,3823.0,441.0,1693,42,0,1
20,48ad02,2025-04-09 18:26:41,ELLX,2025-04-09 20:09:41,EPWA,LOT2YM  ,1890.0,17.0,1023,3,0,1
21,3c6597,2025-04-09 18:49:43,EDDM,2025-04-09 20:05:48,EPWA,DLH3CN  ,1332.0,41.0,1572,34,0,1
22,48af05,2025-04-09 18:19:39,EBBR,2025-04-09 20:03:54,EPWA,LOT4HE  ,1309.0,109.0,1061,3,2,1
