,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,471f66,2025-04-27 18:15:09,LEMD,2025-04-27 21:24:53,EPWA,WZZ506  ,7343.0,191.0,2291,87,1,1
1,48cb15,2025-04-27 18:52:00,LTFE,2025-04-27 21:21:25,EPWA,TVP7267 ,10396.0,1327.0,2134,95,1,1
2,48ada7,2025-04-27 19:34:01,LIMC,2025-04-27 21:16:28,EPWA,LOT2FE  ,1282.0,104.0,1758,110,2,1
3,4d245f,2025-04-27 17:31:30,LPPT,2025-04-27 21:11:17,EPWA,WZZ8744 ,4909.0,495.0,2239,79,2,1
4,4d201e,2025-04-27 19:08:20,LIRF,2025-04-27 21:06:44,EPWA,WZZ80EX ,218.0,34.0,2458,72,0,1
5,4d2425,2025-04-27 16:21:17,LPMA,2025-04-27 21:03:45,EPWA,WZZ26MQ ,926.0,43.0,2410,72,0,1
6,471f70,2025-04-27 18:03:21,LEVC,2025-04-27 20:59:48,EPWA,WZZ38KV ,209.0,42.0,2279,87,0,1
7,4d200e,2025-04-27 19:17:49,LIDC,2025-04-27 20:56:17,EPWA,WZZ9100 ,7009.0,510.0,2432,72,0,1
8,48af0c,2025-04-27 18:15:42,,2025-04-27 20:54:09,EPWA,LOT6230 ,,,2365,79,0,1
9,471f74,2025-04-27 18:55:23,EGGW,2025-04-27 20:51:11,EPWA,WZZ65ZL ,1152.0,23.0,2177,87,0,1
10,471fa0,2025-04-27 18:11:35,LEBL,2025-04-27 20:42:52,EPWA,WZZ6366 ,1712.0,42.0,863,140,0,1
11,4d22c8,2025-04-27 19:44:48,LOWW,2025-04-27 20:40:59,EPWA,RYR64UQ ,521.0,91.0,2382,64,0,1
12,4891b4,2025-04-27 18:14:12,LTFE,2025-04-27 20:36:40,EPWA,ENT4076 ,10828.0,1182.0,1135,133,1,1
13,471f32,2025-04-27 18:53:38,LSZM,2025-04-27 20:34:33,EPWA,WZZ55LZ ,2243.0,79.0,1595,110,1,1
14,4d24b4,2025-04-27 17:58:40,LMML,2025-04-27 20:32:38,EPWA,WZZ5782 ,1576.0,38.0,1700,102,0,1
15,440820,2025-04-27 19:31:04,LOWW,2025-04-27 20:30:49,EPWA,AUA6AW  ,137.0,99.0,1537,110,0,1
16,48ad87,2025-04-27 18:22:08,LFMN,2025-04-27 20:23:27,EPWA,LOT3PW  ,1474.0,49.0,1509,117,0,1
17,48ae82,2025-04-27 18:27:23,LFPG,2025-04-27 20:21:37,EPWA,LOT336  ,2005.0,25.0,1551,117,2,1
18,471f64,2025-04-27 16:51:13,LEMG,2025-04-27 20:20:00,EPWA,WZZ17VY ,4091.0,448.0,1232,148,0,1
19,3c6742,2025-04-27 18:57:07,EDDF,2025-04-27 20:18:49,EPWA,DLH5UX  ,1213.0,57.0,3429,11,1,1
20,48adb9,2025-04-27 18:45:30,LIPZ,2025-04-27 20:18:13,EPWA,LOT312  ,1018.0,20.0,4180,26,1,1
21,471efd,2025-04-27 18:39:23,LIPE,2025-04-27 20:15:49,EPWA,WZZ5474 ,1832.0,160.0,1638,117,0,1
22,39bdac,2025-04-27 18:20:30,LFPG,2025-04-27 20:12:43,EPWA,AFR21LR ,4133.0,124.0,2519,56,2,1
23,49d09e,2025-04-27 17:47:52,LTFE,2025-04-27 20:11:20,EPWA,TVP7203 ,9736.0,1266.0,1586,117,1,1
24,484163,2025-04-27 18:34:21,EHAM,2025-04-27 20:04:17,EPWA,KLM73D  ,1773.0,103.0,1577,117,0,1
25,48978a,2025-04-27 19:25:01,EPWR,2025-04-27 19:58:53,EPWA,LOT3860 ,6876.0,913.0,1437,117,0,1
26,48ad85,2025-04-27 19:15:16,EPSC,2025-04-27 19:57:16,EPWA,LOT9KM  ,13683.0,1583.0,1674,110,0,1
27,48af09,2025-04-27 18:18:51,EHAM,2025-04-27 19:54:18,EPWA,LOT2MN  ,4681.0,103.0,1089,148,0,1
28,3c644b,2025-04-27 18:40:42,EDDM,2025-04-27 19:52:14,EPWA,DLH3CN  ,1283.0,41.0,1535,117,0,1
29,40097e,2025-04-27 17:47:13,EGLL,2025-04-27 19:50:04,EPWA,BAW8LV  ,927.0,10.0,1590,110,2,1
30,48ac82,2025-04-27 18:18:47,ELLX,2025-04-27 19:48:34,EPWA,LOT2YM  ,1605.0,42.0,1082,133,0,1
31,48ada9,2025-04-27 17:56:02,LSGG,2025-04-27 19:46:38,EPWA,LOT416  ,3707.0,408.0,1613,117,1,1
32,48af0e,2025-04-27 18:13:30,LSZH,2025-04-27 19:45:04,EPWA,LOT3EM  ,709.0,81.0,1190,133,1,1
33,48ad82,2025-04-27 17:38:04,LFLL,2025-04-27 19:42:14,EPWA,LOT348  ,1206.0,74.0,1604,110,1,1
34,48ae86,2025-04-27 17:37:34,LIRF,2025-04-27 19:40:35,EPWA,LOT304  ,1423.0,201.0,2235,72,0,1
35,48af10,2025-04-27 18:41:01,LHBP,2025-04-27 19:34:10,EPWA,LOT532  ,1362.0,112.0,1590,110,0,1
36,4892c5,2025-04-27 13:41:14,OMRK,2025-04-27 19:31:42,EPWA,ENT7194 ,2816.0,212.0,1635,117,1,1
37,48af01,2025-04-27 17:28:48,EGLL,2025-04-27 19:30:02,EPWA,LOT2EJ  ,847.0,32.0,1572,117,2,1
38,48ada4,2025-04-27 17:47:01,EBMB,2025-04-27 19:27:44,EPWA,LOT4HE  ,501.0,83.0,1544,117,2,1
39,48ae83,2025-04-27 17:00:03,,2025-04-27 19:24:37,EPWA,LOT6584 ,,,1233,125,0,1
40,44ce6e,2025-04-27 17:44:39,EBBR,2025-04-27 19:23:17,EPWA,BEL9AN  ,2967.0,309.0,5939,118,2,1
41,48ada1,2025-04-27 18:08:30,EDDM,2025-04-27 19:20:52,EPWA,LOT6HT  ,1199.0,18.0,1213,133,0,1
42,48ada8,2025-04-27 17:51:04,EDDL,2025-04-27 19:19:39,EPWA,LOT6PA  ,394.0,98.0,5713,110,0,1
43,489224,2025-04-27 16:45:53,,2025-04-27 19:19:29,EPWA,ENT7210 ,,,2450,64,0,1
44,48af19,2025-04-27 17:06:04,LGAV,2025-04-27 19:16:33,EPWA,LOT7MD  ,9529.0,1056.0,1794,110,0,1
45,48ad10,2025-04-27 17:56:33,EDDF,2025-04-27 19:13:54,EPWA,LOT3CG  ,1521.0,88.0,3331,18,1,1
46,489789,2025-04-27 17:51:39,EDDS,2025-04-27 19:09:29,EPWA,LOT7PK  ,1600.0,76.0,1268,133,0,1
47,48d294,2025-04-27 18:48:32,,2025-04-27 19:06:42,EPWA,SPWWW   ,,,21397,56,0,3
48,48ada6,2025-04-27 17:36:17,,2025-04-27 18:54:50,EPWA,LOT566  ,,,1630,117,0,1
49,48ae80,2025-04-27 17:52:20,LOWW,2025-04-27 18:50:40,EPWA,LOT226  ,900.0,91.0,1597,110,0,1
50,48af0f,2025-04-27 17:45:22,EKCH,2025-04-27 18:48:16,EPWA,LOT6KC  ,4106.0,162.0,1684,110,0,1
51,489788,2025-04-27 17:53:05,LKPR,2025-04-27 18:43:44,EPWA,LOT5EN  ,473.0,121.0,689,148,1,1
52,02a1a3,2025-04-27 16:07:45,,2025-04-27 18:40:10,EPWA,LBT7482 ,,,1025,140,0,1
53,488206,2025-04-27 17:45:50,LOWW,2025-04-27 18:38:05,EPWA,SPARG   ,1701.0,30.0,3988,19,0,1
