,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ada2,2025-04-02 21:16:04,EPWA,2025-04-02 22:41:02,EETN,LOT7YE  ,609,72,520.0,108.0,1,1
1,48adb9,2025-04-02 21:09:46,EPWA,2025-04-02 21:38:50,EPKT,LOT87M  ,963,79,4597.0,85.0,1,1
2,48ad0f,2025-04-02 21:02:43,EPWA,2025-04-02 22:24:15,LROP,LOT1KY  ,794,72,1601.0,79.0,1,2
3,489789,2025-04-02 20:58:30,EPWA,2025-04-02 21:29:08,EPPO,LOT9WK  ,818,64,277.0,116.0,1,3
4,48ad0e,2025-04-02 18:51:08,EPWA,2025-04-02 21:28:23,EDFZ,LOT3MA  ,785,79,6704.0,861.0,1,4
5,48ada7,2025-04-02 18:49:30,EPWA,2025-04-02 20:05:21,ESGG,LOT49H  ,1309,34,7087.0,142.0,1,1
6,48ad0d,2025-04-02 18:45:30,EPWA,2025-04-02 20:58:36,EDDM,LOT355  ,695,41,3339.0,42.0,1,4
7,489787,2025-04-02 18:44:04,EPWA,2025-04-02 19:18:10,EPPO,LOT3AV  ,480,41,6734.0,2260.0,1,3
8,48ada4,2025-04-02 18:37:16,EPWA,2025-04-02 21:02:51,LTFM,LOT3MT  ,945,64,6243.0,320.0,1,2
9,471f31,2025-04-02 18:35:31,EPWA,2025-04-02 22:18:48,BIKF,WZZ40WJ ,643,72,820.0,82.0,1,0
10,48ad83,2025-04-02 18:34:20,EPWA,2025-04-02 19:46:47,EDDB,LOT7AN  ,910,56,5134.0,20.0,1,4
11,4d2128,2025-04-02 18:32:42,EPWA,2025-04-02 20:20:30,LOWW,VCJ78M  ,738,79,6869.0,304.0,1,1
12,48ada1,2025-04-02 18:29:41,EPWA,2025-04-02 19:32:44,LKSN,LOT529  ,928,87,2905.0,798.0,1,8
13,48ad0c,2025-04-02 18:23:48,EPWA,2025-04-02 21:31:28,,LOT6MB  ,1057,49,,,1,0
14,48ad00,2025-04-02 18:21:35,EPWA,2025-04-02 20:59:14,EDRN,LOT2NC  ,970,72,8254.0,861.0,1,4
15,48ad80,2025-04-02 18:20:21,EPWA,2025-04-02 20:59:15,,LOT5NG  ,478,64,,,1,0
