,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,471f32,2025-04-30 09:54:53,EPWA,2025-04-30 21:54:18,EPWA,WZZ495  ,1079.0,56.0,1551,26,1,1
1,471f41,2025-04-30 18:27:48,,2025-04-30 21:09:42,EPWA,WZZ51AH ,,,1647,18,0,1
2,4d201e,2025-04-30 19:06:48,LIRF,2025-04-30 21:06:06,EPWA,WZZ80EX ,226.0,41.0,1533,26,0,1
3,4d2425,2025-04-30 17:54:17,LEMD,2025-04-30 21:02:23,EPWA,WZZ506  ,2687.0,213.0,1679,18,1,1
4,471f74,2025-04-30 18:57:40,EGGW,2025-04-30 20:51:44,EPWA,WZZ65ZL ,1158.0,7.0,1787,18,0,1
5,471f70,2025-04-30 19:14:49,LIME,2025-04-30 20:48:09,EPWA,WZZ9100 ,2384.0,302.0,1623,26,1,1
6,4d24b4,2025-04-30 18:02:36,LMML,2025-04-30 20:39:52,EPWA,WZZ5782 ,1949.0,53.0,1805,3,0,1
7,440828,2025-04-30 19:38:15,LOWW,2025-04-30 20:37:22,EPWA,AUA6AW  ,201.0,60.0,1747,11,0,1
8,471fa0,2025-04-30 17:02:39,LEMG,2025-04-30 20:33:22,EPWA,WZZ17VY ,3586.0,448.0,4261,118,0,1
9,4d245f,2025-04-30 16:59:32,LEZL,2025-04-30 20:31:48,EPWA,WZZ993E ,970.0,3.0,1626,18,1,1
10,48af0c,2025-04-30 17:54:54,LTAI,2025-04-30 20:29:49,EPWA,LOT6566 ,13293.0,1134.0,1860,11,0,1
11,471f64,2025-04-30 18:49:30,LSZM,2025-04-30 20:28:12,EPWA,WZZ55LZ ,3391.0,56.0,1682,26,2,1
12,48af06,2025-04-30 18:35:12,LFPG,2025-04-30 20:26:02,EPWA,LOT336  ,3961.0,86.0,1306,41,2,1
13,471efd,2025-04-30 18:46:45,LIPE,2025-04-30 20:24:45,EPWA,WZZ5474 ,1478.0,122.0,8663,346,0,2
14,3c6752,2025-04-30 19:03:07,EDDF,2025-04-30 20:24:38,EPWA,DLH5UX  ,1062.0,72.0,5242,171,1,1
15,48ada9,2025-04-30 19:43:17,EPGD,2025-04-30 20:24:23,EPWA,LOT7VL  ,2397.0,597.0,4887,148,0,1
16,48af0b,2025-04-30 17:31:02,LTAI,2025-04-30 20:18:34,EPWA,LOT6372 ,14098.0,1317.0,3636,80,0,1
17,48ad0e,2025-04-30 19:38:13,EPWR,2025-04-30 20:16:25,EPWA,LOT3860 ,6052.0,1141.0,1192,41,1,1
18,48ad01,2025-04-30 19:25:22,,2025-04-30 20:15:57,EPWA,LOT9KM  ,,,1941,3,0,1
19,484fde,2025-04-30 18:35:16,EHAM,2025-04-30 20:12:41,EPWA,KLM73D  ,1773.0,65.0,1105,49,0,1
20,48adae,2025-04-30 18:44:04,EDDL,2025-04-30 20:10:36,EPWA,LOT6PA  ,677.0,67.0,1094,49,0,1
21,471f63,2025-04-30 16:43:53,LLBG,2025-04-30 20:08:42,EPWA,WZZ4894 ,1840.0,118.0,1700,26,1,1
22,39bdb0,2025-04-30 18:14:30,LFPG,2025-04-30 20:07:00,EPWA,AFR21LR ,4137.0,124.0,1682,18,2,1
23,4891b4,2025-04-30 14:07:32,OMDW,2025-04-30 20:04:51,EPWA,ENT1222 ,1400.0,125.0,1686,18,0,1
24,48af01,2025-04-30 18:19:04,LSZH,2025-04-30 20:03:13,EPWA,LOT3EM  ,834.0,58.0,851,56,1,1
25,4891ab,2025-04-30 17:21:42,,2025-04-30 20:01:21,EPWA,ENT5156 ,,,1744,18,0,1
26,3c6594,2025-04-30 18:45:33,EDDM,2025-04-30 19:59:14,EPWA,DLH3CN  ,1219.0,11.0,1590,26,0,1
27,48ae82,2025-04-30 18:15:44,EBBR,2025-04-30 19:57:05,EPWA,LOT4HE  ,3409.0,241.0,1411,34,2,1
28,48af09,2025-04-30 17:53:00,LFMN,2025-04-30 19:55:03,EPWA,LOT3PW  ,890.0,49.0,1777,18,0,1
29,48ad87,2025-04-30 18:32:49,EDDF,2025-04-30 19:53:27,EPWA,LOT3CG  ,1008.0,34.0,1446,34,1,1
30,48ad0f,2025-04-30 18:04:43,LIMC,2025-04-30 19:49:46,EPWA,LOT2FE  ,591.0,66.0,1226,41,2,1
31,48ada5,2025-04-30 18:17:01,ELLX,2025-04-30 19:47:54,EPWA,LOT2YM  ,2283.0,50.0,863,56,0,1
32,48ad09,2025-04-30 17:55:30,LSGG,2025-04-30 19:46:02,EPWA,LOT416  ,1072.0,34.0,1637,26,1,1
33,48adb9,2025-04-30 18:05:08,EHAM,2025-04-30 19:43:58,EPWA,LOT2MN  ,4504.0,65.0,1584,34,0,1
34,48af0f,2025-04-30 17:38:32,EGLL,2025-04-30 19:42:14,EPWA,LOT2EJ  ,826.0,20.0,6006,202,3,2
