,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48af0e,2025-04-25 19:19:47,LTBK,2025-04-25 21:34:47,EPWA,LOT6132 ,8155.0,1148.0,2199,3,1,1
1,471f7a,2025-04-25 17:59:11,LEZL,2025-04-25 21:28:23,EPWA,WZZ993E ,1072.0,3.0,1524,49,1,1
2,471f66,2025-04-25 18:15:13,LEMD,2025-04-25 21:23:21,EPWA,WZZ506  ,10236.0,564.0,1642,41,1,1
3,4d24b4,2025-04-25 19:16:19,LIRF,2025-04-25 21:09:51,EPWA,WZZ80EX ,108.0,140.0,1712,18,0,1
4,471f70,2025-04-25 19:05:40,EGGW,2025-04-25 21:07:22,EPWA,WZZ65ZL ,908.0,23.0,1769,26,0,1
5,471f41,2025-04-25 08:54:46,EPWA,2025-04-25 20:54:22,EPWA,WZZ495  ,725.0,3.0,1507,34,1,1
6,3c66a3,2025-04-25 19:33:05,EDDF,2025-04-25 20:49:22,EPWA,DLH5UX  ,1402.0,57.0,1674,34,1,1
7,471efd,2025-04-25 19:16:34,LIME,2025-04-25 20:47:08,EPWA,WZZ9100 ,2149.0,218.0,1803,26,1,1
8,4d2007,2025-04-25 17:19:23,LPPR,2025-04-25 20:37:46,EPWA,WZZ90KR ,1945.0,174.0,1542,34,1,1
9,471fa0,2025-04-25 17:05:07,LEMG,2025-04-25 20:34:50,EPWA,WZZ17VY ,4499.0,425.0,1723,18,0,1
10,440829,2025-04-25 19:33:30,LOWW,2025-04-25 20:30:17,EPWA,AUA6AW  ,86.0,15.0,1670,26,0,1
11,4892c9,2025-04-25 14:43:23,OMDW,2025-04-25 20:27:41,EPWA,ENT4582 ,1931.0,140.0,1789,18,0,1
12,48ad87,2025-04-25 19:50:20,EPKK,2025-04-25 20:20:56,EPWA,LOT3922 ,986.0,35.0,1612,34,0,1
13,4d24ad,2025-04-25 18:45:34,LIPE,2025-04-25 20:18:51,EPWA,WZZ5474 ,5370.0,1036.0,1735,18,0,1
14,48ad19,2025-04-25 19:40:37,EPZG,2025-04-25 20:16:51,EPWA,LOT3986 ,3901.0,756.0,1631,26,0,1
15,48af08,2025-04-25 16:30:10,,2025-04-25 20:14:42,EPWA,LOT6510 ,,,1977,11,0,1
16,489788,2025-04-25 19:36:30,EPWR,2025-04-25 20:11:20,EPWA,LOT3860 ,6008.0,859.0,1124,56,0,1
17,484130,2025-04-25 18:36:20,EHAM,2025-04-25 20:07:51,EPWA,KLM73D  ,9867.0,437.0,2134,3,0,1
18,48adaf,2025-04-25 18:06:47,LFMN,2025-04-25 20:06:30,EPWA,LOT3PW  ,1420.0,26.0,1764,18,0,1
