,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,4d241a,2025-04-16 18:40:43,LEZL,2025-04-16 22:09:15,EPWA,WZZ993E ,588.0,3.0,2079,42,1,1
1,48d961,2025-04-16 21:31:45,EPWR,2025-04-16 22:04:12,EPWA,PLF106  ,671.0,14.0,2144,34,1,1
2,48da43,2025-04-16 21:40:42,,2025-04-16 22:01:18,EPWA,PLF633  ,,,2068,72,0,1
3,3c6634,2025-04-16 20:47:45,EDDF,2025-04-16 21:58:49,EPWA,DLH5UX  ,3750.0,33.0,2272,49,2,1
4,471f32,2025-04-16 19:17:30,EGGW,2025-04-16 21:14:20,EPWA,WZZ65ZL ,1570.0,182.0,2735,72,0,1
5,471db4,2025-04-16 17:46:54,LEMG,2025-04-16 21:10:50,EPWA,WZZ17VY ,7047.0,662.0,2181,42,0,1
6,471f6b,2025-04-16 18:30:53,,2025-04-16 21:08:33,EPWA,WZZ51AH ,,,2084,34,0,1
7,3c6451,2025-04-16 19:50:13,EDDM,2025-04-16 21:00:21,EPWA,DLH3CN  ,1425.0,80.0,2615,64,0,1
8,471db6,2025-04-16 17:04:34,,2025-04-16 20:57:31,EPWA,WZZ9P   ,,,1970,34,0,1
9,4d24b4,2025-04-16 19:10:30,LIRF,2025-04-16 20:55:39,EPWA,WZZ80EX ,581.0,186.0,2445,57,0,1
10,48af0f,2025-04-16 18:54:45,EGLL,2025-04-16 20:54:00,EPWA,LOT2EJ  ,648.0,73.0,2169,42,3,1
11,471f64,2025-04-16 19:05:04,LIME,2025-04-16 20:37:49,EPWA,WZZ9100 ,2218.0,310.0,2650,57,1,1
12,471f70,2025-04-16 17:37:43,LEMD,2025-04-16 20:35:10,EPWA,WZZ506  ,7210.0,221.0,2703,64,1,1
13,48ad00,2025-04-16 19:57:37,EPWR,2025-04-16 20:33:37,EPWA,LOT3860 ,647.0,21.0,1655,11,1,1
14,44082b,2025-04-16 19:35:21,LOWW,2025-04-16 20:31:38,EPWA,AUA6AW  ,2545.0,0.0,2239,49,0,1
15,4d252b,2025-04-16 18:10:23,LMML,2025-04-16 20:29:17,EPWA,WZZ5782 ,1739.0,53.0,2074,42,0,1
16,471fa0,2025-04-16 18:49:00,LIPE,2025-04-16 20:19:27,EPWA,WZZ5474 ,1884.0,282.0,2339,57,0,1
17,48ada9,2025-04-16 18:42:07,LIMC,2025-04-16 20:17:12,EPWA,LOT2FE  ,1476.0,55.0,2543,57,2,1
18,484fdf,2025-04-16 18:39:33,EHAM,2025-04-16 20:06:51,EPWA,KLM73D  ,1282.0,49.0,2389,49,0,1
19,48ad02,2025-04-16 19:23:05,EPSC,2025-04-16 20:04:01,EPWA,LOT9KM  ,14695.0,1614.0,2398,49,0,1
20,48ac81,2025-04-16 18:41:55,EDDF,2025-04-16 20:02:26,EPWA,LOT3CG  ,1366.0,41.0,1859,26,1,1
21,48ad84,2025-04-16 18:11:37,LFHC,2025-04-16 20:00:30,EPWA,LOT348  ,5184.0,1416.0,2369,49,1,1
22,48ae83,2025-04-16 18:25:00,LSZH,2025-04-16 19:56:59,EPWA,LOT3EM  ,1293.0,25.0,1849,26,1,1
23,48af19,2025-04-16 18:08:31,LFPG,2025-04-16 19:55:20,EPWA,LOT336  ,1628.0,124.0,1237,11,2,1
24,48ada7,2025-04-16 17:59:53,LFMN,2025-04-16 19:53:18,EPWA,LOT3PW  ,1526.0,64.0,1401,3,0,1
25,48af05,2025-04-16 19:00:15,LKPR,2025-04-16 19:51:19,EPWA,LOT5EN  ,29.0,31.0,2379,49,1,1
26,48ada5,2025-04-16 18:03:24,LSGG,2025-04-16 19:49:41,EPWA,LOT416  ,1632.0,210.0,2366,57,1,1
27,4892c4,2025-04-16 13:33:13,,2025-04-16 19:47:28,EPWA,ENT5824 ,,,2215,42,0,1
28,48ad19,2025-04-16 18:13:03,ELLX,2025-04-16 19:45:57,EPWA,LOT2YM  ,706.0,172.0,1696,19,0,1
29,48ae82,2025-04-16 18:12:09,EHAM,2025-04-16 19:43:50,EPWA,LOT2MN  ,2034.0,56.0,2391,57,0,1
30,48ac80,2025-04-16 18:15:31,EDDL,2025-04-16 19:42:31,EPWA,LOT6PA  ,1054.0,122.0,1979,34,0,1
31,48af10,2025-04-16 18:07:14,ENGM,2025-04-16 19:40:37,EPWA,LOT484  ,1807.0,59.0,1451,3,0,1
32,48ada1,2025-04-16 18:42:36,LHBP,2025-04-16 19:38:41,EPWA,LOT532  ,903.0,21.0,1668,19,0,1
33,400936,2025-04-16 17:37:45,EGLL,2025-04-16 19:37:05,EPWA,BAW8LV  ,995.0,149.0,1827,26,3,1
34,48ad08,2025-04-16 18:09:14,LIPZ,2025-04-16 19:35:23,EPWA,LOT312  ,405.0,28.0,1496,3,1,1
35,48af0d,2025-04-16 18:01:00,EBMB,2025-04-16 19:33:16,EPWA,LOT4HE  ,627.0,23.0,1661,19,2,1
36,471f74,2025-04-16 17:44:42,LFMN,2025-04-16 19:30:48,EPWA,WZZ16AT ,961.0,72.0,2434,57,0,1
37,39bdac,2025-04-16 17:40:24,LFPG,2025-04-16 19:29:08,EPWA,AFR21LR ,3997.0,215.0,2046,42,2,1
38,48ad0c,2025-04-16 18:09:45,EKBI,2025-04-16 19:24:54,EPWA,LOT4LK  ,1544.0,160.0,2351,49,0,1
39,48b2d0,2025-04-16 18:52:36,EPWR,2025-04-16 19:22:19,EPWA,LPR41   ,50.0,21.0,2299,57,1,1
40,48ad86,2025-04-16 17:54:09,EDDS,2025-04-16 19:16:52,EPWA,LOT7PK  ,1477.0,7.0,1764,26,0,1
41,48ad03,2025-04-16 18:08:33,EDDM,2025-04-16 19:14:50,EPWA,LOT6HT  ,1161.0,133.0,2320,57,0,1
42,48ac82,2025-04-16 17:23:53,LIRF,2025-04-16 19:11:23,EPWA,LOT304  ,2280.0,384.0,1830,26,0,1
43,44ce6f,2025-04-16 17:24:32,EBMB,2025-04-16 18:59:44,EPWA,BEL9AN  ,443.0,31.0,2258,49,2,1
44,48ae80,2025-04-16 16:24:54,,2025-04-16 18:57:13,EPWA,LOT6KC  ,,,842,11,0,1
45,489787,2025-04-16 15:37:04,EPWA,2025-04-16 18:53:14,EPWA,LOT3JK  ,1075.0,103.0,2294,49,1,1
46,48ad01,2025-04-16 18:17:07,EPWR,2025-04-16 18:48:14,EPWA,LOT9004 ,1255.0,21.0,1490,11,1,1
47,48ae85,2025-04-16 17:50:02,LOWW,2025-04-16 18:40:15,EPWA,LOT226  ,946.0,15.0,2246,49,0,1
48,4d24b1,2025-04-16 16:30:24,,2025-04-16 18:14:22,EPWA,WMT919  ,,,1423,11,0,1
49,48b12e,2025-04-16 17:36:43,,2025-04-16 17:57:50,EPWA,SPMKO   ,,,16437,110,0,2
