,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad0b,2025-04-07 21:33:05,EPWA,2025-04-07 22:54:15,LROP,LOT1KY  ,732,41,2071.0,49.0,1,2
1,48ad84,2025-04-07 21:23:35,EPWA,2025-04-07 21:56:06,EPRJ,LOT3803 ,871,26,914.0,20.0,1,1
2,48ada5,2025-04-07 21:21:43,EPWA,2025-04-07 21:49:39,EPKK,LOT3911 ,799,49,3.0,73.0,1,1
3,48ada4,2025-04-07 21:18:44,EPWA,2025-04-07 22:41:07,EETN,LOT7YE  ,1025,11,326.0,85.0,1,1
4,48ac82,2025-04-07 21:05:44,EPWA,2025-04-07 21:38:29,EPGD,LOT3827 ,790,34,9532.0,361.0,1,2
5,48ad10,2025-04-07 21:04:15,EPWA,2025-04-07 21:39:01,EPWR,LOT2KH  ,785,34,20.0,92.0,1,2
6,489789,2025-04-07 20:59:38,EPWA,2025-04-07 21:27:30,EPKT,LOT87M  ,866,18,6115.0,199.0,1,1
7,48ad81,2025-04-07 20:51:45,EPWA,2025-04-07 21:22:39,EPPO,LOT9WK  ,742,56,355.0,93.0,1,3
8,48ad0c,2025-04-07 20:47:45,EPWA,2025-04-07 21:32:04,EYVI,LOT773  ,1094,3,188.0,37.0,1,2
9,3c542a,2025-04-07 20:07:41,EPWA,2025-04-07 21:02:52,EDDP,BCS5547 ,576,11,1712.0,118.0,1,6
10,4d22be,2025-04-07 19:59:34,EPWA,2025-04-07 20:59:17,LOWW,RYR1GB  ,749,41,77.0,106.0,1,2
11,440caf,2025-04-07 19:53:00,EPWA,2025-04-07 21:46:04,LFPG,TAY2IX  ,876,11,2658.0,50.0,1,8
12,48ae86,2025-04-07 19:34:00,EPWA,2025-04-07 19:48:14,,LOT49H  ,913,3,,,1,0
13,a53013,2025-04-07 19:22:04,EPWA,2025-04-07 20:41:36,EDDK,UPS273  ,525,11,2352.0,84.0,1,2
14,461e1e,2025-04-07 19:20:31,EPWA,2025-04-07 20:48:17,EFHK,FIN8ZR  ,1263,42,1902.0,92.0,1,2
15,4d200e,2025-04-07 19:14:09,EPWA,2025-04-07 22:45:55,LPPT,WZZ32LJ ,738,49,2534.0,0.0,1,4
16,3c9654,2025-04-07 19:11:34,EPWA,2025-04-07 20:22:04,EDLP,BFD07T  ,261,11,3556.0,38.0,1,2
17,49d382,2025-04-07 19:06:44,EPWA,2025-04-07 19:56:34,LKPR,JBC586J ,397,3,2099.0,75.0,1,8
18,48af09,2025-04-07 19:03:12,EPWA,2025-04-07 21:08:04,EGLL,LOT285  ,630,3,2270.0,78.0,1,8
19,48ad0e,2025-04-07 19:00:21,EPWA,2025-04-07 20:03:07,EKCH,LOT4WM  ,887,11,2358.0,12.0,1,0
20,48adaf,2025-04-07 18:58:57,EPWA,2025-04-07 20:04:23,EDDH,LOT397  ,460,11,1562.0,69.0,1,3
21,48ada0,2025-04-07 18:57:48,EPWA,2025-04-07 20:21:38,ESSA,LOT6AD  ,887,42,2627.0,125.0,1,0
22,48978a,2025-04-07 18:56:30,EPWA,2025-04-07 20:24:33,EDDF,LOT3MA  ,480,26,6282.0,102.0,1,4
23,48ad00,2025-04-07 18:54:24,EPWA,2025-04-07 20:01:12,EDDM,LOT355  ,557,26,2091.0,64.0,1,4
24,48af11,2025-04-07 18:53:16,EPWA,2025-04-07 19:23:22,EPPO,LOT3AV  ,509,18,710.0,93.0,1,3
25,489788,2025-04-07 18:52:00,EPWA,2025-04-07 19:16:42,EPKT,LOT3887 ,1194,42,7183.0,252.0,1,1
26,48adac,2025-04-07 18:50:07,EPWA,2025-04-07 19:38:35,EDDB,LOT7AN  ,942,56,731.0,63.0,1,2
27,48ada1,2025-04-07 18:48:23,EPWA,2025-04-07 20:26:39,EBBR,LOT1KE  ,866,3,875.0,117.0,1,3
28,48ada9,2025-04-07 18:46:31,EPWA,2025-04-07 20:05:30,LROP,LOT639  ,930,56,1672.0,26.0,1,2
29,48ad80,2025-04-07 18:45:30,EPWA,2025-04-07 19:34:30,LKPR,LOT529  ,1066,11,284.0,113.0,1,8
30,4d228b,2025-04-07 18:41:45,EPWA,2025-04-07 20:26:56,EBBY,RYR8LC  ,790,11,7985.0,2171.0,1,5
31,48ada3,2025-04-07 18:39:30,EPWA,2025-04-07 20:39:17,LTFM,LOT3MT  ,1184,3,7678.0,358.0,1,2
32,471db6,2025-04-07 18:37:07,EPWA,2025-04-07 20:27:28,LIRN,WMT7GZ  ,749,49,19176.0,1068.0,1,0
33,48adb9,2025-04-07 18:34:41,EPWA,2025-04-07 20:31:16,LFPB,LOT2NC  ,722,42,5772.0,261.0,1,8
34,398577,2025-04-07 18:30:56,EPWA,2025-04-07 20:30:53,LFPG,AFR53SM ,477,11,4265.0,154.0,1,8
35,48ad87,2025-04-07 18:25:04,EPWA,2025-04-07 18:59:49,EPWR,LOT3859 ,1075,26,227.0,85.0,1,2
36,48ad0d,2025-04-07 18:22:45,EPWA,2025-04-07 20:06:49,EHAM,LOT6MB  ,935,56,3110.0,88.0,1,0
37,48af08,2025-04-07 18:21:44,EPWA,2025-04-07 18:53:56,EPGD,LOT3825 ,1470,3,8144.0,148.0,1,2
38,48ad83,2025-04-07 18:19:04,EPWA,2025-04-07 19:45:22,EDDL,LOT5NG  ,943,34,1183.0,105.0,1,4
39,48ad0b,2025-04-07 18:13:00,EPWA,2025-04-07 18:41:47,EPKK,LOT3921 ,1497,57,1121.0,65.0,1,0
40,4aca70,2025-04-07 18:09:01,EPWA,2025-04-07 19:21:50,EKCH,SAS2752 ,992,3,5166.0,43.0,1,1
41,4b19e6,2025-04-07 18:03:00,EPWA,2025-04-07 19:33:39,LSMD,SWR9BV  ,782,11,5492.0,603.0,1,6
42,489787,2025-04-07 18:00:51,EPWA,2025-04-07 18:36:28,EPZG,LOT3LX  ,506,3,10996.0,451.0,1,0
43,485207,2025-04-07 17:49:10,EPWA,2025-04-07 19:31:08,EHAM,KLM1318 ,676,18,13548.0,1108.0,1,2
44,4d2022,2025-04-07 17:47:21,EPWA,2025-04-07 19:54:51,LICZ,WMT55AC ,690,41,19834.0,1499.0,1,0
45,440824,2025-04-07 17:43:11,EPWA,2025-04-07 18:33:45,LOWW,AUA6P   ,938,49,891.0,91.0,1,2
46,48ad19,2025-04-07 17:42:09,EPWA,2025-04-07 18:21:10,,LOT3935 ,873,34,,,1,0
47,4ca8d8,2025-04-07 17:28:50,EPWA,2025-04-07 18:52:24,,RYR6809 ,1220,49,,,1,0
48,3c666b,2025-04-07 17:25:44,EPWA,2025-04-07 18:48:01,EDDF,DLH6MV  ,725,3,6016.0,57.0,1,5
49,471f64,2025-04-07 17:18:43,EPWA,2025-04-07 19:07:08,LIME,WZZ3308 ,2063,163,5111.0,104.0,1,1
50,4cae8c,2025-04-07 17:13:06,EPWA,2025-04-07 20:05:18,LEAL,RYR49UA ,1290,64,3372.0,63.0,1,1
51,4bb20a,2025-04-07 17:11:20,EPWA,2025-04-07 19:13:23,LTFM,THY9NV  ,1004,57,7046.0,327.0,1,2
52,400877,2025-04-07 17:08:51,EPWA,2025-04-07 19:12:46,EGLL,BAW851W ,477,3,1951.0,86.0,1,6
53,471f6b,2025-04-07 16:57:02,EPWA,2025-04-07 18:28:51,LIPE,WZZ58SL ,2099,232,2934.0,38.0,1,0
54,489786,2025-04-07 16:46:22,EPWA,2025-04-07 17:40:13,LHBP,LOT5CH  ,963,64,1459.0,74.0,1,7
55,4692da,2025-04-07 16:33:46,EPWA,2025-04-07 18:35:27,,AEE873  ,1019,26,,,1,0
56,48ada5,2025-04-07 16:22:17,EPWA,2025-04-07 17:34:59,EDDM,LOT3AN  ,1435,42,1699.0,11.0,1,4
57,44ce6e,2025-04-07 16:20:18,EPWA,2025-04-07 18:00:26,EBBR,BEL9PY  ,1304,72,1042.0,117.0,1,3
58,471efd,2025-04-07 16:09:30,EPWA,2025-04-07 18:15:53,EGGW,WZZ98YM ,1186,72,2970.0,7.0,1,5
59,489789,2025-04-07 15:51:14,EPWA,2025-04-07 16:45:23,LKPR,LOT2MD  ,1101,64,126.0,105.0,1,8
60,48ada7,2025-04-07 15:44:46,EPWA,2025-04-07 16:38:05,LOWW,LOT225  ,804,26,999.0,76.0,1,2
61,471f31,2025-04-07 15:43:00,EPWA,2025-04-07 17:29:35,LIRF,WZZ25DG ,579,11,3307.0,11.0,1,4
62,48ad84,2025-04-07 15:39:00,EPWA,2025-04-07 16:49:54,EDDH,LOT3JK  ,835,42,1181.0,84.0,1,3
63,48ad10,2025-04-07 15:37:35,EPWA,2025-04-07 17:14:54,ELLX,LOT2WP  ,1172,34,145.0,86.0,1,2
64,48ac82,2025-04-07 15:36:25,EPWA,2025-04-07 16:57:33,EDDF,LOT3EA  ,1191,57,6994.0,18.0,1,5
65,48ae85,2025-04-07 15:34:54,EPWA,2025-04-07 16:40:25,EKCH,LOT461  ,1552,80,4871.0,50.0,1,1
66,48ad0c,2025-04-07 15:33:14,EPWA,2025-04-07 16:20:59,EDDB,LOT389  ,1083,72,2271.0,47.0,1,3
67,3c6450,2025-04-07 15:31:46,EPWA,2025-04-07 16:43:12,EDDM,DLH3YA  ,493,34,1749.0,72.0,1,4
68,484165,2025-04-07 15:29:55,EPWA,2025-04-07 17:01:07,EHAM,KLM1316 ,799,26,2161.0,95.0,1,1
69,48ac80,2025-04-07 15:28:24,EPWA,2025-04-07 16:53:59,EDDL,LOT407  ,1207,64,1452.0,75.0,1,4
70,48ae86,2025-04-07 15:25:53,EPWA,2025-04-07 16:09:53,EYVI,LOT5EF  ,1197,42,460.0,14.0,1,2
71,39bda5,2025-04-07 15:24:02,EPWA,2025-04-07 17:24:29,LFPG,AFR24WH ,758,49,2723.0,43.0,1,8
72,48af0d,2025-04-07 15:21:46,EPWA,2025-04-07 16:46:43,LSZH,LOT7VA  ,1115,80,809.0,73.0,1,7
73,48ada8,2025-04-07 15:19:32,EPWA,2025-04-07 17:04:28,ENGM,LOT6PU  ,1421,72,1165.0,108.0,1,1
74,48ada4,2025-04-07 15:16:33,EPWA,2025-04-07 16:45:06,ESSA,LOT4CE  ,1185,42,2492.0,110.0,1,0
75,48af12,2025-04-07 15:15:03,EPWA,2025-04-07 16:56:40,EBBR,LOT3ML  ,739,26,877.0,117.0,1,3
76,48ad81,2025-04-07 15:10:24,EPWA,2025-04-07 16:54:18,LSGG,LOT5CV  ,1171,57,11990.0,507.0,1,4
77,48ad0d,2025-04-07 15:05:48,EPWA,2025-04-07 15:36:29,EPPO,LOT3947 ,925,57,528.0,78.0,1,3
78,48af0c,2025-04-07 15:04:00,EPWA,2025-04-07 16:38:42,EHAM,LOT5PX  ,880,34,2371.0,80.0,1,1
79,489788,2025-04-07 15:02:41,EPWA,2025-04-07 15:31:29,EPKK,LOT3923 ,1314,80,293.0,58.0,1,0
80,48978a,2025-04-07 14:58:08,EPWA,2025-04-07 15:33:21,EPGD,LOT81L  ,1395,57,3455.0,26.0,1,2
81,48adae,2025-04-07 14:51:02,EPWA,2025-04-07 15:25:57,EPWR,LOT8NE  ,1189,49,347.0,77.0,1,2
82,48af07,2025-04-07 14:49:36,EPWA,2025-04-07 16:48:26,LIMC,LOT3LF  ,1137,34,722.0,74.0,1,4
83,471f6a,2025-04-07 14:48:00,EPWA,2025-04-07 17:11:19,LEBL,WZZ671  ,1101,72,440.0,56.0,1,1
84,48ae06,2025-04-07 14:43:54,EPWA,2025-04-07 21:22:50,VIDP,LOT71   ,708,26,5314.0,128.0,1,1
85,48ae81,2025-04-07 14:32:37,EPWA,2025-04-07 16:24:58,LFPG,LOT335  ,1225,80,3871.0,32.0,1,8
86,471fa0,2025-04-07 14:25:46,EPWA,2025-04-07 16:49:28,LMML,WZZ9193 ,1075,64,1307.0,45.0,1,0
87,48adaf,2025-04-07 14:21:32,EPWA,2025-04-07 15:10:38,LKPR,LOT521  ,929,57,54.0,98.0,1,8
88,48ad09,2025-04-07 14:01:13,EPWA,2025-04-07 15:06:17,LDZL,LOT2MA  ,1411,57,12083.0,2171.0,1,2
89,48ad0f,2025-04-07 13:58:30,EPWA,2025-04-07 14:27:25,EPKK,LOT3919 ,1137,87,1061.0,50.0,1,0
90,48af19,2025-04-07 13:56:30,EPWA,2025-04-07 16:01:55,EGLL,LOT279  ,1640,57,1683.0,101.0,1,6
91,48ad0e,2025-04-07 13:54:19,EPWA,2025-04-07 14:45:25,LHBP,LOT6AL  ,1147,57,1951.0,74.0,1,7
92,48d981,2025-04-07 13:52:49,EPWA,2025-04-07 15:17:30,EETN,PLF101  ,1338,125,546.0,62.0,1,1
93,48ae80,2025-04-07 13:50:48,EPWA,2025-04-07 15:32:28,LIRF,LOT5KT  ,1432,64,8169.0,133.0,1,4
94,48af0e,2025-04-07 13:48:40,EPWA,2025-04-07 14:45:47,EVRA,LOT7RM  ,1671,72,4186.0,88.0,1,3
95,4b19fe,2025-04-07 13:46:39,EPWA,2025-04-07 15:13:52,LSZH,SWR7PZ  ,1038,57,1482.0,65.0,1,7
96,4a2181,2025-04-07 13:44:30,EPWA,2025-04-07 17:11:33,LLBG,LOT5FM  ,2074,87,5673.0,225.0,1,5
97,896317,2025-04-07 13:26:43,EPWA,2025-04-07 18:38:47,OMDB,UAE180  ,1513,64,8973.0,285.0,1,2
98,48ada9,2025-04-07 13:25:15,EPWA,2025-04-07 14:48:04,EETN,LOT7MN  ,1661,49,723.0,47.0,1,1
99,48ad86,2025-04-07 13:22:14,EPWA,2025-04-07 13:56:26,EPRJ,LOT2LK  ,1837,148,534.0,2.0,1,1
100,440820,2025-04-07 13:20:09,EPWA,2025-04-07 14:13:24,LOWW,AUA624  ,1136,57,1106.0,76.0,1,2
101,489787,2025-04-07 13:18:35,EPWA,2025-04-07 14:02:23,,LOT657  ,1020,103,,,1,0
102,4cafd6,2025-04-07 13:16:13,EPWA,2025-04-07 14:23:52,EKCH,SAS2762 ,1156,64,4834.0,35.0,1,1
