,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ac80,2025-04-15 21:24:41,EPWA,2025-04-15 22:39:45,EETN,LOT7YE  ,453,57,350.0,62.0,1,1
1,48ad19,2025-04-15 21:23:01,EPWA,2025-04-15 21:52:14,EPRZ,LOT3803 ,1065,42,2574.0,91.0,1,1
2,48ad0f,2025-04-15 21:15:41,EPWA,2025-04-15 22:38:24,LROP,LOT1KY  ,1178,26,1660.0,18.0,1,2
3,48ad0b,2025-04-15 21:12:53,EPWA,2025-04-15 21:44:54,EPKK,LOT3911 ,987,42,681.0,17.0,1,0
4,48ad86,2025-04-15 20:55:32,EPWA,2025-04-15 21:39:20,EYVI,LOT773  ,1046,42,415.0,52.0,1,2
5,48ad03,2025-04-15 20:53:50,EPWA,2025-04-15 21:24:34,EPKT,LOT87M  ,1024,49,4771.0,207.0,1,1
6,48ad02,2025-04-15 20:52:26,EPWA,2025-04-15 21:31:55,EPWR,LOT2KH  ,1208,34,82.0,52.0,1,2
7,48ad81,2025-04-15 20:34:57,EPWA,2025-04-15 21:11:51,EPPO,LOT9WK  ,1175,125,37.0,50.0,1,3
8,3c542b,2025-04-15 20:06:30,EPWA,2025-04-15 21:00:17,EDDP,BCS5547 ,1215,133,1232.0,86.0,1,6
9,440d91,2025-04-15 19:51:25,EPWA,2025-04-15 21:47:21,LFPG,TAY2IX  ,1166,11,3231.0,200.0,1,8
10,4bcdf0,2025-04-15 19:33:42,EPWA,2025-04-15 21:40:39,LTBJ,SXS5XN  ,933,64,15819.0,2350.0,1,3
11,48ada1,2025-04-15 19:23:21,EPWA,2025-04-15 19:59:27,EPPO,LOT3AV  ,1103,95,220.0,50.0,1,3
12,a3e08d,2025-04-15 19:12:10,EPWA,2025-04-15 20:46:59,EDDK,UPS273  ,494,103,3047.0,151.0,1,2
13,48adae,2025-04-15 19:09:17,EPWA,2025-04-15 20:33:51,EDDF,LOT3MA  ,1014,72,9609.0,529.0,1,5
14,461e21,2025-04-15 19:07:35,EPWA,2025-04-15 19:42:29,,FIN3RB  ,1229,118,,,1,0
15,48ae82,2025-04-15 18:59:26,EPWA,2025-04-15 20:13:06,ESGG,LOT49H  ,1034,64,3285.0,135.0,1,1
16,48ad0d,2025-04-15 18:57:40,EPWA,2025-04-15 20:03:32,EKCH,LOT4WM  ,863,72,10464.0,398.0,1,1
17,48adac,2025-04-15 18:47:48,EPWA,2025-04-15 19:42:31,EDDB,LOT7AN  ,623,72,3420.0,127.0,1,4
18,48af11,2025-04-15 18:45:45,EPWA,2025-04-15 20:59:36,EGLM,LOT285  ,378,57,9760.0,2063.0,1,9
19,48ad00,2025-04-15 18:40:33,EPWA,2025-04-15 19:54:14,EDDH,LOT397  ,981,110,7572.0,364.0,1,3
20,48ada7,2025-04-15 18:37:52,EPWA,2025-04-15 20:16:59,EHAM,LOT6MB  ,968,87,4998.0,110.0,1,0
21,48ada6,2025-04-15 18:36:09,EPWA,2025-04-15 19:30:52,LKPR,LOT529  ,816,80,1338.0,61.0,1,8
22,48ada2,2025-04-15 18:34:01,EPWA,2025-04-15 20:13:57,EBBR,LOT1KE  ,1006,57,1553.0,96.0,1,3
23,48adb9,2025-04-15 18:30:56,EPWA,2025-04-15 19:00:14,EPKT,LOT3887 ,1024,19,5318.0,245.0,1,1
24,48ae81,2025-04-15 18:27:24,EPWA,2025-04-15 19:48:26,LROP,LOT639  ,1001,57,1872.0,26.0,1,2
25,48ad08,2025-04-15 18:26:00,EPWA,2025-04-15 20:21:13,LFPG,LOT2NC  ,1131,64,3127.0,208.0,1,8
26,489788,2025-04-15 18:24:00,EPWA,2025-04-15 19:55:05,EDLE,LOT5NG  ,410,95,11488.0,1349.0,1,3
27,48ada4,2025-04-15 18:18:06,EPWA,2025-04-15 20:26:39,LTFM,LOT3MT  ,1256,34,6567.0,243.0,1,2
28,48ad19,2025-04-15 18:13:11,EPWA,2025-04-15 18:51:24,EPWR,LOT3859 ,1182,49,597.0,59.0,1,2
29,48ad87,2025-04-15 18:07:33,EPWA,2025-04-15 18:42:15,EPKK,LOT3921 ,1094,133,95.0,17.0,1,1
30,44081d,2025-04-15 18:05:15,EPWA,2025-04-15 18:58:42,LOWW,AUA6P   ,1028,49,1104.0,53.0,1,2
31,48ad0e,2025-04-15 18:04:00,EPWA,2025-04-15 18:24:05,,LOT3825 ,1378,49,,,1,0
32,484c24,2025-04-15 17:59:36,EPWA,2025-04-15 19:36:29,EHAM,KLM1318 ,1164,141,6653.0,117.0,1,0
33,489786,2025-04-15 17:57:30,EPWA,2025-04-15 18:33:31,EPZG,LOT3LX  ,986,110,12345.0,680.0,1,1
34,4aca72,2025-04-15 17:54:22,EPWA,2025-04-15 22:17:16,ENBR,SAS2870 ,707,87,2289.0,153.0,1,1
35,3c658e,2025-04-15 17:50:26,EPWA,2025-04-15 19:10:39,EDDF,DLH6MV  ,805,103,2053.0,117.0,1,5
36,4b1803,2025-04-15 17:48:30,EPWA,2025-04-15 19:49:48,LSZH,SWR9BV  ,897,133,2613.0,139.0,1,7
37,040142,2025-04-15 17:44:14,EPWA,2025-04-15 18:40:49,LOWW,ETH731  ,434,57,1555.0,53.0,1,2
38,48ad09,2025-04-15 17:37:51,EPWA,2025-04-15 18:24:17,EPSC,LOT3935 ,961,57,11948.0,2071.0,1,0
39,4bcdd2,2025-04-15 17:18:18,EPWA,2025-04-15 19:35:24,,SXS11J  ,823,118,,,1,0
40,461e1b,2025-04-15 17:13:41,EPWA,2025-04-15 18:34:55,EFHK,FIN8ZR  ,1043,87,671.0,62.0,1,2
41,4baa8c,2025-04-15 17:08:09,EPWA,2025-04-15 19:11:33,LTFM,THY9NV  ,1302,64,7342.0,297.0,1,2
42,400960,2025-04-15 17:05:55,EPWA,2025-04-15 19:14:42,EGLL,BAW851W ,1064,95,3539.0,264.0,1,8
43,4690e1,2025-04-15 16:50:20,EPWA,2025-04-15 18:58:01,,AEE873  ,1048,49,,,1,0
44,48ad03,2025-04-15 16:41:49,EPWA,2025-04-15 17:47:22,LHBP,LOT5CH  ,1034,57,799.0,1.0,1,7
45,471db4,2025-04-15 16:37:52,EPWA,2025-04-15 17:51:00,,WZZ3    ,1173,72,,,1,0
46,4d24b4,2025-04-15 16:15:38,EPWA,2025-04-15 17:58:29,EDTG,WZZ3415 ,1117,49,9993.0,2188.0,1,3
47,471f74,2025-04-15 16:11:42,EPWA,2025-04-15 17:55:27,LIME,WZZ3308 ,989,103,4959.0,195.0,1,1
48,44ce79,2025-04-15 16:10:01,EPWA,2025-04-15 17:52:21,,BEL9PY  ,1066,57,,,1,0
49,48415f,2025-04-15 16:03:13,EPWA,2025-04-15 17:33:59,EHAM,KLM1316 ,830,72,3521.0,186.0,1,1
