,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad02,2025-04-22 21:16:53,EPWA,2025-04-22 21:50:42,EPRJ,LOT3803 ,949,41,1128.0,50.0,1,1
1,48ada9,2025-04-22 21:10:03,EPWA,2025-04-22 22:36:10,LROP,LOT1KY  ,935,41,6978.0,193.0,1,2
2,48ad85,2025-04-22 21:08:35,EPWA,2025-04-22 22:43:47,LBSF,LOT635  ,423,18,3753.0,63.0,1,1
3,48ad0e,2025-04-22 21:06:49,EPWA,2025-04-22 21:39:42,EPKK,LOT3911 ,949,41,73.0,42.0,1,1
4,48ada0,2025-04-22 21:03:04,EPWA,2025-04-22 21:40:49,EYVI,LOT773  ,1144,49,190.0,37.0,1,2
5,48ad09,2025-04-22 20:57:01,EPWA,2025-04-22 21:30:59,EPWR,LOT2KH  ,700,34,235.0,46.0,1,2
6,489787,2025-04-22 20:53:30,EPWA,2025-04-22 21:23:27,EPKT,LOT87M  ,940,26,5507.0,184.0,1,1
7,48ad0f,2025-04-22 20:44:33,EPWA,2025-04-22 21:17:12,EPPO,LOT9WK  ,511,18,249.0,40.0,1,3
8,48af06,2025-04-22 19:50:41,EPWA,2025-04-22 22:59:52,UG22,LOT723  ,581,18,15377.0,1766.0,1,3
9,3c5431,2025-04-22 19:48:37,EPWA,2025-04-22 20:48:00,EDDP,BCS5547 ,797,3,1255.0,50.0,1,6
10,48b2d1,2025-04-22 19:33:20,EPWA,2025-04-22 20:04:56,EPRJ,LPR41   ,985,26,554.0,20.0,1,1
11,a3fce7,2025-04-22 19:12:01,EPWA,2025-04-22 20:41:00,EDDK,UPS273  ,634,11,6472.0,197.0,1,2
12,48ad03,2025-04-22 19:02:16,EPWA,2025-04-22 20:33:21,EDDH,LOT397  ,1318,18,3136.0,8.0,1,3
13,48ad10,2025-04-22 19:00:45,EPWA,2025-04-22 20:39:37,EDNX,LOT355  ,868,11,12070.0,702.0,1,3
14,489789,2025-04-22 18:58:30,EPWA,2025-04-22 20:29:44,EDDF,LOT3MA  ,706,18,6027.0,216.0,1,4
15,48ad83,2025-04-22 18:56:31,EPWA,2025-04-22 19:28:11,EPPO,LOT3AV  ,569,26,204.0,40.0,1,3
16,48adac,2025-04-22 18:54:38,EPWA,2025-04-22 19:58:12,EKCH,LOT4WM  ,849,18,2448.0,48.0,1,0
17,48af05,2025-04-22 18:50:12,EPWA,2025-04-22 20:59:51,EGLL,LOT285  ,809,3,2955.0,43.0,1,5
18,4d24b4,2025-04-22 18:47:22,EPWA,2025-04-22 22:29:45,BIKF,WZZ40WJ ,1483,18,3641.0,6.0,1,0
19,489788,2025-04-22 18:44:47,EPWA,2025-04-22 19:34:10,EDDB,LOT7AN  ,926,34,2272.0,2.0,1,3
20,48ae86,2025-04-22 18:40:52,EPWA,2025-04-22 20:08:13,LROP,LOT639  ,1323,3,5771.0,140.0,1,2
21,48ada2,2025-04-22 18:39:09,EPWA,2025-04-22 20:36:32,EBMB,LOT1KE  ,1091,11,9377.0,381.0,1,4
