,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,471f70,2025-04-20 18:53:00,LEMD,2025-04-20 21:50:10,EPWA,WZZ506  ,8226.0,373.0,2440,95,1,1
1,4d200e,2025-04-20 16:25:52,LPMA,2025-04-20 21:01:49,EPWA,WZZ26MQ ,2476.0,223.0,2295,95,0,1
2,4d245f,2025-04-20 18:17:39,LEVC,2025-04-20 20:58:16,EPWA,WZZ38KV ,735.0,10.0,2353,95,0,1
3,471f05,2025-04-20 19:21:03,LIME,2025-04-20 20:51:46,EPWA,WZZ9100 ,1974.0,279.0,2320,87,1,1
4,471db6,2025-04-20 18:53:23,EGGW,2025-04-20 20:49:52,EPWA,WZZ65ZL ,1222.0,152.0,2160,87,0,1
5,471f32,2025-04-20 18:48:33,LIRF,2025-04-20 20:40:43,EPWA,WZZ80EX ,500.0,79.0,2446,103,0,1
6,48ada9,2025-04-20 18:38:30,LFMN,2025-04-20 20:26:51,EPWA,LOT3PW  ,1460.0,3.0,2496,103,0,1
7,471f41,2025-04-20 17:59:30,LEBL,2025-04-20 20:25:02,EPWA,WZZ6366 ,1365.0,26.0,2336,103,0,1
8,4892c9,2025-04-20 08:39:33,EPWA,2025-04-20 20:23:16,EPWA,ENT72PY ,1486.0,80.0,5865,278,1,1
9,471efd,2025-04-20 18:45:45,LSZM,2025-04-20 20:19:50,EPWA,WZZ55LZ ,2030.0,42.0,2313,87,1,1
10,4d24b4,2025-04-20 17:47:47,LMML,2025-04-20 20:17:12,EPWA,WZZ5782 ,1693.0,0.0,2227,95,0,1
11,48af05,2025-04-20 17:45:11,,2025-04-20 20:15:36,EPWA,LOT6230 ,,,2146,87,0,1
12,471f64,2025-04-20 18:39:36,LIPE,2025-04-20 20:13:57,EPWA,WZZ5474 ,1489.0,198.0,2343,87,0,1
13,3c6586,2025-04-20 18:54:15,EDDF,2025-04-20 20:11:56,EPWA,DLH5UX  ,1023.0,56.0,2139,80,1,1
14,48ad19,2025-04-20 19:37:30,EPWR,2025-04-20 20:10:04,EPWA,LOT3860 ,1342.0,52.0,2327,95,1,1
15,48978a,2025-04-20 19:26:42,EPSC,2025-04-20 20:06:05,EPWA,LOT9004 ,11823.0,1675.0,2253,87,0,1
16,471db4,2025-04-20 16:37:21,LEMG,2025-04-20 20:03:47,EPWA,WZZ17VY ,5870.0,799.0,2362,95,0,1
17,484132,2025-04-20 18:34:19,EHAM,2025-04-20 20:01:42,EPWA,KLM73D  ,1783.0,56.0,2253,87,0,1
18,48ad10,2025-04-20 19:22:20,,2025-04-20 20:00:12,EPWA,LOT9KM  ,,,2369,95,0,1
19,48adae,2025-04-20 18:13:30,LSGG,2025-04-20 19:57:45,EPWA,LOT416  ,3222.0,438.0,2546,103,1,1
20,39bda0,2025-04-20 18:08:20,LFPG,2025-04-20 19:55:49,EPWA,AFR21LR ,3689.0,269.0,2123,87,2,1
21,48ae85,2025-04-20 18:01:08,LFPG,2025-04-20 19:46:58,EPWA,LOT336  ,3878.0,177.0,1668,57,2,1
22,48ac80,2025-04-20 18:16:50,ELLX,2025-04-20 19:45:08,EPWA,LOT2YM  ,2856.0,286.0,1703,64,0,1
23,3c6451,2025-04-20 18:37:14,EDDM,2025-04-20 19:42:42,EPWA,DLH3CN  ,1832.0,118.0,2413,95,0,1
24,48ada8,2025-04-20 17:42:35,LFLL,2025-04-20 19:38:04,EPWA,LOT348  ,7745.0,953.0,2325,87,2,1
25,48ac82,2025-04-20 18:03:16,EHAM,2025-04-20 19:36:26,EPWA,LOT2MN  ,4468.0,49.0,599,34,0,1
26,48ad0d,2025-04-20 17:51:48,LIMC,2025-04-20 19:34:23,EPWA,LOT2FE  ,2024.0,13.0,1496,49,2,1
27,48af10,2025-04-20 18:01:35,ENGM,2025-04-20 19:32:21,EPWA,LOT484  ,945.0,51.0,2274,87,0,1
28,48af01,2025-04-20 17:54:30,LSZH,2025-04-20 19:30:59,EPWA,LOT3EM  ,986.0,17.0,1815,64,1,1
29,400980,2025-04-20 17:34:02,EGLL,2025-04-20 19:29:15,EPWA,BAW8LV  ,769.0,188.0,2329,103,3,1
30,4892c5,2025-04-20 16:28:00,,2025-04-20 19:26:57,EPWA,ENT4878 ,,,2284,95,0,1
31,48af07,2025-04-20 17:29:23,EGLL,2025-04-20 19:24:59,EPWA,LOT2EJ  ,866.0,149.0,1757,64,3,1
32,48ad86,2025-04-20 18:03:18,EDDF,2025-04-20 19:23:11,EPWA,LOT3CG  ,912.0,41.0,2208,87,1,1
33,48ada0,2025-04-20 18:25:36,LHBP,2025-04-20 19:18:13,EPWA,LOT532  ,1811.0,32.0,3041,133,0,1
34,48ae83,2025-04-20 17:39:48,EBBR,2025-04-20 19:16:42,EPWA,LOT4HE  ,678.0,35.0,1495,49,2,1
35,44ce73,2025-04-20 17:38:02,EBMB,2025-04-20 19:14:44,EPWA,BEL9AN  ,430.0,61.0,2260,87,2,1
36,48ad09,2025-04-20 17:54:22,EDDS,2025-04-20 19:10:19,EPWA,LOT7PK  ,1408.0,0.0,1715,64,0,1
37,48ada6,2025-04-20 17:14:34,LIRF,2025-04-20 19:07:29,EPWA,LOT304  ,245.0,117.0,2132,80,0,1
