,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48adb9,2025-04-25 21:37:30,EPWA,2025-04-25 22:09:27,EPKK,LOT3911 ,685,64,55.0,42.0,1,1
1,48ae81,2025-04-25 21:36:30,EPWA,2025-04-25 22:54:53,EEHA,LOT7YE  ,1226,11,9423.0,11.0,1,2
2,48ad81,2025-04-25 21:29:48,EPWA,2025-04-25 22:53:47,LROP,LOT1KY  ,818,49,6173.0,201.0,1,2
3,48ada6,2025-04-25 21:27:02,EPWA,2025-04-25 21:54:53,EPRZ,LOT3803 ,1066,41,2722.0,60.0,1,1
4,48ad09,2025-04-25 21:24:35,EPWA,2025-04-25 21:49:42,EPKT,LOT87M  ,1465,11,5475.0,192.0,1,1
5,48ad0e,2025-04-25 21:19:47,EPWA,2025-04-25 22:04:44,LZKZ,LOT517  ,1218,34,3341.0,112.0,1,1
6,48ad83,2025-04-25 21:05:48,EPWA,2025-04-25 21:37:41,,LOT3827 ,1205,41,,,1,0
7,489788,2025-04-25 21:02:00,EPWA,2025-04-25 22:36:45,LBSF,LOT635  ,816,41,4518.0,147.0,1,1
8,48978a,2025-04-25 20:53:42,EPWA,2025-04-25 21:24:09,EPWR,LOT2KH  ,1365,18,8910.0,372.0,1,2
9,48ac80,2025-04-25 20:50:48,EPWA,2025-04-25 21:32:58,EYVI,LOT773  ,933,56,17.0,67.0,1,2
10,489786,2025-04-25 20:46:00,EPWA,2025-04-25 21:18:39,EPPO,LOT9WK  ,785,41,210.0,78.0,1,3
11,4ca4f4,2025-04-25 20:12:32,EPWA,2025-04-25 22:20:48,EGCC,RYR106B ,654,49,500.0,78.0,1,1
12,3c5432,2025-04-25 19:58:00,EPWA,2025-04-25 21:01:08,EDDP,BCS5547 ,633,34,2687.0,57.0,1,6
13,a3ca43,2025-04-25 19:20:35,EPWA,2025-04-25 20:48:13,EDDK,UPS273  ,471,18,4442.0,75.0,1,2
14,48ada9,2025-04-25 19:11:25,EPWA,2025-04-25 20:09:22,,LOT49H  ,778,49,,,1,0
15,4d200e,2025-04-25 19:03:46,EPWA,2025-04-25 22:49:23,LPPT,WZZ32LJ ,69,41,3797.0,38.0,1,4
16,48ad02,2025-04-25 19:01:31,EPWA,2025-04-25 20:30:14,EDFZ,LOT3MA  ,1163,49,8656.0,1303.0,1,3
17,48ae82,2025-04-25 19:00:15,EPWA,2025-04-25 20:18:47,EDDM,LOT355  ,1054,3,4511.0,224.0,1,4
18,48ad0b,2025-04-25 18:59:06,EPWA,2025-04-25 19:33:18,,LOT6AD  ,1059,11,,,1,0
19,48ad0f,2025-04-25 18:57:46,EPWA,2025-04-25 19:34:37,EPPO,LOT3AV  ,825,18,814.0,78.0,1,3
20,48ada8,2025-04-25 18:56:00,EPWA,2025-04-25 19:51:58,EDDB,LOT7AN  ,782,49,3379.0,40.0,1,4
21,48ada1,2025-04-25 18:54:31,EPWA,2025-04-25 20:32:40,EBBR,LOT1KE  ,768,49,1680.0,86.0,1,3
22,48af0f,2025-04-25 18:53:38,EPWA,2025-04-25 20:57:32,EGLL,LOT285  ,820,11,2852.0,2.0,1,8
23,48ad0c,2025-04-25 18:52:15,EPWA,2025-04-25 20:15:50,EDDH,LOT397  ,802,41,4328.0,6.0,1,3
24,48ada5,2025-04-25 18:50:01,EPWA,2025-04-25 19:43:38,LKPR,LOT529  ,714,26,481.0,67.0,1,8
25,4d2503,2025-04-25 18:46:05,EPWA,2025-04-25 21:54:21,LEAL,RYR49UA ,699,18,3181.0,93.0,1,1
26,48ad85,2025-04-25 18:39:01,EPWA,2025-04-25 20:02:21,LROP,LOT639  ,666,41,2303.0,155.0,1,2
27,48adac,2025-04-25 18:36:48,EPWA,2025-04-25 20:37:41,LFPG,LOT2NC  ,1096,11,2858.0,86.0,1,8
28,48ada4,2025-04-25 18:34:34,EPWA,2025-04-25 20:43:03,LTFM,LOT3MT  ,1198,3,6458.0,373.0,1,2
29,48ad01,2025-04-25 18:29:20,EPWA,2025-04-25 20:27:31,EHAM,LOT6MB  ,933,41,17181.0,1222.0,1,1
30,48ae83,2025-04-25 18:28:11,EPWA,2025-04-25 20:11:11,EDDL,LOT5NG  ,1066,3,9771.0,389.0,1,4
31,489788,2025-04-25 18:14:55,EPWA,2025-04-25 18:47:54,EPWR,LOT3859 ,1061,34,276.0,54.0,1,2
32,48ad87,2025-04-25 18:13:30,EPWA,2025-04-25 18:52:17,EPKK,LOT3921 ,458,11,294.0,35.0,1,1
33,4b19fe,2025-04-25 18:12:08,EPWA,2025-04-25 19:50:28,LSZH,SWR9BV  ,1215,26,2256.0,4.0,1,7
34,48ad19,2025-04-25 18:04:51,EPWA,2025-04-25 18:44:15,EPZG,LOT3LX  ,1087,11,11638.0,519.0,1,0
35,461e1f,2025-04-25 18:03:13,EPWA,2025-04-25 20:03:13,EFHK,FIN8931 ,978,34,4076.0,1.0,1,2
36,489789,2025-04-25 17:53:00,EPWA,2025-04-25 20:04:59,EPWA,LOT9KM  ,713,18,1005.0,56.0,1,1
37,484f7e,2025-04-25 17:47:13,EPWA,2025-04-25 19:28:14,EHHV,KLM1318 ,1168,3,10895.0,1744.0,1,2
38,46da6c,2025-04-25 17:44:04,EPWA,2025-04-25 19:56:18,LGKN,SEH4MP  ,529,26,12938.0,576.0,1,2
39,440823,2025-04-25 17:42:12,EPWA,2025-04-25 18:50:21,LOAS,AUA6P   ,1399,3,12280.0,1821.0,1,1
40,4d24b0,2025-04-25 17:36:31,EPWA,2025-04-25 19:51:33,LICZ,WMT55AC ,817,11,18854.0,1598.0,1,1
41,48d982,2025-04-25 17:34:49,EPWA,2025-04-25 19:49:36,LIRA,PLF101  ,481,26,1787.0,29.0,1,4
42,3c648a,2025-04-25 17:33:03,EPWA,2025-04-25 19:00:11,EDDF,DLH6MV  ,882,3,3796.0,10.0,1,5
43,461e15,2025-04-25 17:31:21,EPWA,2025-04-25 18:52:28,EFHK,FIN8ZR  ,935,34,2591.0,69.0,1,2
44,39e685,2025-04-25 17:27:45,EPWA,2025-04-25 19:29:10,LFPG,AFR53SM ,697,11,3563.0,5.0,1,8
45,4baa8f,2025-04-25 17:18:49,EPWA,2025-04-25 19:21:34,LTFM,THY9NV  ,822,11,6920.0,396.0,1,2
46,4892c6,2025-04-25 17:09:37,EPWA,2025-04-25 19:44:59,,ENT4333 ,827,11,,,1,0
47,48978a,2025-04-25 17:04:20,EPWA,2025-04-25 17:58:52,LHBP,LOT5CH  ,930,3,1626.0,16.0,1,7
48,4892c8,2025-04-25 16:49:37,EPWA,2025-04-25 19:22:21,LGRP,ENT47FX ,1196,19,260.0,17.0,1,1
49,3cccaa,2025-04-25 16:47:38,EPWA,2025-04-25 18:54:57,EGML,ECA4US  ,442,3,10634.0,690.0,1,5
50,4691c7,2025-04-25 16:41:08,EPWA,2025-04-25 18:44:25,LGKN,AEE873  ,649,18,13944.0,599.0,1,2
51,01025a,2025-04-25 16:37:33,EPWA,2025-04-25 19:59:55,,NMA5304 ,645,18,,,1,0
52,a27743,2025-04-25 16:21:49,EPWA,2025-04-25 18:16:18,LFPB,N258X   ,553,95,6704.0,223.0,1,11
53,406a3e,2025-04-25 16:15:36,EPWA,2025-04-25 18:50:06,EGLL,BAW851W ,704,3,8050.0,287.0,1,8
54,44ce6c,2025-04-25 16:13:40,EPWA,2025-04-25 18:00:21,EBBR,BEL9PY  ,637,3,841.0,101.0,1,3
55,4d24ad,2025-04-25 16:09:16,EPWA,2025-04-25 17:48:43,LIPE,WZZ58SL ,1098,34,1961.0,84.0,1,0
56,495148,2025-04-25 16:07:47,EPWA,2025-04-25 20:01:12,LPPT,TAP120R ,936,11,5822.0,152.0,1,4
57,39e680,2025-04-25 16:05:32,EPWA,2025-04-25 18:05:46,LFPG,AFR24WH ,505,18,2723.0,50.0,1,8
58,48ad0e,2025-04-25 15:53:37,EPWA,2025-04-25 17:00:57,,LOT2MD  ,1101,11,,,1,0
59,4d24b4,2025-04-25 15:49:21,EPWA,2025-04-25 17:41:47,LIRF,WZZ25DG ,1256,19,6237.0,87.0,1,4
60,471f70,2025-04-25 15:45:40,EPWA,2025-04-25 17:54:29,EGGW,WZZ98YM ,678,11,1303.0,46.0,1,5
61,48ae86,2025-04-25 15:44:09,EPWA,2025-04-25 16:58:28,,LOT225  ,1753,26,,,1,0
62,48ad03,2025-04-25 15:42:19,EPWA,2025-04-25 16:11:33,,LOT4AT  ,756,3,,,1,0
63,48adb9,2025-04-25 15:40:52,EPWA,2025-04-25 19:18:29,EPWA,LOT373  ,1085,3,3479.0,72.0,1,1
64,48af09,2025-04-25 15:39:08,EPWA,2025-04-25 17:24:29,EDDL,LOT407  ,638,26,7572.0,275.0,1,4
65,48ad83,2025-04-25 15:37:02,EPWA,2025-04-25 17:31:15,,LOT2WP  ,756,26,,,1,0
66,48ad10,2025-04-25 15:36:11,EPWA,2025-04-25 16:58:14,ESTT,LOT461  ,1103,11,12038.0,1436.0,1,1
67,489786,2025-04-25 15:34:38,EPWA,2025-04-25 17:01:50,EDDH,LOT3JK  ,989,3,1926.0,54.0,1,3
68,48ac82,2025-04-25 15:32:34,EPWA,2025-04-25 17:28:23,,LOT3EA  ,856,26,,,1,0
69,48ae85,2025-04-25 15:31:07,EPWA,2025-04-25 17:27:57,,LOT7VA  ,1194,19,,,1,0
70,48ada6,2025-04-25 15:27:08,EPWA,2025-04-25 16:49:59,EDMP,LOT3AN  ,813,3,11628.0,746.0,1,4
71,48ac80,2025-04-25 15:21:30,EPWA,2025-04-25 16:59:28,ENGM,LOT6PU  ,590,26,20846.0,927.0,1,0
72,48af01,2025-04-25 15:14:30,EPWA,2025-04-25 17:07:58,EHAM,LOT5PX  ,1509,34,8319.0,277.0,1,1
73,48ada9,2025-04-25 15:12:09,EPWA,2025-04-25 16:10:57,EDDB,LOT389  ,925,19,5336.0,40.0,1,4
74,3c4dc2,2025-04-25 15:09:01,EPWA,2025-04-25 16:28:21,EDPI,DLH3YA  ,1337,34,9308.0,868.0,1,2
75,48ada0,2025-04-25 15:06:00,EPWA,2025-04-25 16:45:20,LIPZ,LOT311  ,531,26,658.0,13.0,1,4
