,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad10,2025-04-19 21:16:48,EPWA,2025-04-19 22:40:30,LROP,LOT1KY  ,1131,118,6553.0,178.0,1,2
1,48ac80,2025-04-19 21:08:00,EPWA,2025-04-19 22:21:06,EETN,LOT7YE  ,1486,49,402.0,36.0,1,1
2,48ad81,2025-04-19 21:04:26,EPWA,2025-04-19 21:32:42,EPKK,LOT3911 ,1099,125,15.0,10.0,1,1
3,48ad00,2025-04-19 20:54:38,EPWA,2025-04-19 21:27:09,EPWR,LOT2KH  ,657,34,7794.0,395.0,1,2
4,48ada6,2025-04-19 20:46:39,EPWA,2025-04-19 21:27:32,EYVI,LOT773  ,959,49,494.0,7.0,1,2
5,461f9b,2025-04-19 19:33:12,EPWA,2025-04-19 20:51:40,EFHK,FIN3RB  ,1171,125,3327.0,29.0,1,2
6,48ada7,2025-04-19 19:25:43,EPWA,2025-04-19 20:41:32,EETN,LOT789  ,1003,87,329.0,36.0,1,1
7,48ad02,2025-04-19 18:57:36,EPWA,2025-04-19 20:30:49,ETOU,LOT3MA  ,1135,34,7917.0,309.0,1,4
8,48978a,2025-04-19 18:55:47,EPWA,2025-04-19 19:25:59,EPKK,LOT3921 ,924,57,189.0,10.0,1,1
9,48ad19,2025-04-19 18:50:15,EPWA,2025-04-19 20:12:00,LROP,LOT639  ,1085,34,5678.0,140.0,1,2
10,48ad0b,2025-04-19 18:48:38,EPWA,2025-04-19 20:05:47,EDDM,LOT355  ,1261,125,2239.0,95.0,1,4
11,48ada5,2025-04-19 18:38:24,EPWA,2025-04-19 20:31:19,EBBR,LOT1KE  ,1078,49,3950.0,233.0,1,3
12,4d24b4,2025-04-19 18:36:15,EPWA,2025-04-19 22:16:28,BIKF,WZZ40WJ ,1119,19,665.0,74.0,1,0
