,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ada3,2025-04-12 21:17:22,EPWA,2025-04-12 22:35:05,LROP,LOT1KY  ,1156,19,1857.0,49.0,1,2
1,48ac82,2025-04-12 21:11:30,EPWA,2025-04-12 22:33:38,EETN,LOT7YE  ,631,11,386.0,36.0,1,1
2,48ad10,2025-04-12 21:08:50,EPWA,2025-04-12 21:40:04,EPKK,LOT3911 ,945,11,41.0,12.0,1,1
3,489789,2025-04-12 21:06:02,EPWA,2025-04-12 21:51:12,EPPR,LOT3827 ,763,11,10186.0,702.0,1,2
4,48ad0e,2025-04-12 20:58:01,EPWA,2025-04-12 21:44:21,EPWR,LOT2KH  ,933,11,204.0,6.0,1,2
5,48adac,2025-04-12 20:48:00,EPWA,2025-04-12 21:32:21,EYVI,LOT773  ,585,11,259.0,7.0,1,2
6,461f30,2025-04-12 19:32:02,EPWA,2025-04-12 21:02:48,EFHK,FIN3RB  ,1348,87,1456.0,36.0,1,2
7,48ada9,2025-04-12 19:29:08,EPWA,2025-04-12 20:52:20,EETN,LOT789  ,953,11,680.0,43.0,1,1
8,44082d,2025-04-12 18:40:02,EPWA,2025-04-12 19:32:06,LOWW,AUA6P   ,794,34,977.0,0.0,1,2
9,4d252b,2025-04-12 18:38:30,EPWA,2025-04-12 22:24:23,BIKF,WZZ40WJ ,621,3,3304.0,245.0,1,0
10,48af0c,2025-04-12 18:33:18,EPWA,2025-04-12 20:35:47,EGLL,LOT285  ,776,11,2570.0,149.0,1,5
11,48ad0f,2025-04-12 18:31:38,EPWA,2025-04-12 19:50:00,LROP,LOT639  ,942,11,1999.0,64.0,1,2
12,48ad08,2025-04-12 18:28:33,EPWA,2025-04-12 19:18:04,LHBP,LOT539  ,947,3,956.0,44.0,1,7
13,48ad02,2025-04-12 18:22:50,EPWA,2025-04-12 20:16:49,EHAM,LOT6MB  ,1458,42,14559.0,544.0,1,0
14,48ad0d,2025-04-12 18:12:15,EPWA,2025-04-12 18:42:51,EPGD,LOT3825 ,1284,80,9472.0,430.0,1,2
15,48ad0b,2025-04-12 18:11:00,EPWA,2025-04-12 18:47:59,EPWR,LOT3859 ,1462,42,169.0,1.0,1,2
16,48adae,2025-04-12 18:08:15,EPWA,2025-04-12 18:38:20,EPKK,LOT3921 ,1092,49,148.0,20.0,1,1
17,4d241a,2025-04-12 17:53:35,EPWA,2025-04-12 22:17:10,EPWA,WZZ9100 ,1427,49,1764.0,26.0,1,1
18,4cafd7,2025-04-12 17:44:00,EPWA,2025-04-12 18:48:11,EKCH,SAS2752 ,977,118,18227.0,893.0,1,1
19,4bcde4,2025-04-12 17:35:40,EPWA,2025-04-12 19:36:29,,SXS11J  ,1416,72,,,1,0
20,3c6599,2025-04-12 17:33:53,EPWA,2025-04-12 19:17:24,ETOU,DLH6MV  ,419,26,4937.0,1726.0,1,4
21,4080db,2025-04-12 17:24:12,EPWA,2025-04-12 19:35:29,EGLL,BAW851W ,616,3,2168.0,134.0,1,5
22,3dd37b,2025-04-12 17:20:40,EPWA,2025-04-12 17:41:07,EPWA,DHAIL   ,14517,87,12631.0,42.0,0,2
23,461e1d,2025-04-12 17:13:01,EPWA,2025-04-12 18:41:35,EFHK,FIN8ZR  ,1388,80,738.0,52.0,1,2
24,4d2236,2025-04-12 17:09:35,EPWA,2025-04-12 18:29:06,,RYR6809 ,1444,87,,,1,0
25,471f70,2025-04-12 17:00:01,EPWA,2025-04-12 18:12:34,,WZZ3    ,1550,103,,,1,0
26,4692da,2025-04-12 16:35:00,EPWA,2025-04-12 18:35:53,,AEE873  ,1705,87,,,1,0
27,4d200e,2025-04-12 16:25:54,EPWA,2025-04-12 20:38:14,EPWA,WZZ55LZ ,782,19,2827.0,87.0,1,1
28,48ae81,2025-04-12 16:16:22,EPWA,2025-04-12 16:41:28,EPRA,LOT9001 ,1304,64,7948.0,362.0,1,1
29,48ada0,2025-04-12 16:08:30,EPWA,2025-04-12 17:33:22,EDDM,LOT3AN  ,1608,103,23123.0,2442.0,1,1
30,48978a,2025-04-12 15:54:45,EPWA,2025-04-12 17:37:56,EDFZ,LOT3EA  ,1267,87,7914.0,1714.0,1,3
31,48ada2,2025-04-12 15:48:40,EPWA,2025-04-12 16:38:10,LKPR,LOT2MD  ,639,42,207.0,0.0,1,8
32,471f6b,2025-04-12 15:39:13,EPWA,2025-04-12 17:22:22,LIRP,WZZ24UW ,1330,72,21040.0,843.0,1,0
33,471fa0,2025-04-12 15:32:16,EPWA,2025-04-12 18:14:31,LEBL,WZZ671  ,1664,95,3111.0,95.0,1,1
34,471f6a,2025-04-12 15:30:33,EPWA,2025-04-12 17:36:21,EGGW,WZZ98YM ,1465,42,1547.0,136.0,1,5
35,48ad0e,2025-04-12 15:26:46,EPWA,2025-04-12 16:40:13,EDDH,LOT3JK  ,1187,57,1148.0,44.0,1,3
36,484ee5,2025-04-12 15:24:16,EPWA,2025-04-12 17:04:07,,KLM1316 ,1510,80,,,1,0
37,48ac81,2025-04-12 15:20:42,EPWA,2025-04-12 17:25:17,,LOT7VA  ,1288,87,,,1,0
38,489789,2025-04-12 15:19:09,EPWA,2025-04-12 16:40:36,EKCH,LOT461  ,644,34,17027.0,886.0,1,1
39,48ac82,2025-04-12 15:13:38,EPWA,2025-04-12 16:52:27,ENGM,LOT6PU  ,1301,72,981.0,51.0,1,1
40,48ad02,2025-04-12 15:11:49,EPWA,2025-04-12 17:13:28,EPWA,LOT7YF  ,890,18,1526.0,3.0,1,1
41,48ada3,2025-04-12 15:10:00,EPWA,2025-04-12 16:48:27,,LOT407  ,747,18,,,1,0
42,489786,2025-04-12 15:09:11,EPWA,2025-04-12 15:40:29,EPKK,LOT3923 ,1089,3,843.0,20.0,1,0
43,39bdaf,2025-04-12 15:07:40,EPWA,2025-04-12 17:17:13,LFPG,AFR24WH ,823,42,8327.0,299.0,1,6
44,48ad10,2025-04-12 15:05:18,EPWA,2025-04-12 16:32:23,ESSA,LOT4CE  ,1396,42,2084.0,42.0,1,0
45,48ada9,2025-04-12 15:03:07,EPWA,2025-04-12 15:51:27,EDDB,LOT389  ,802,11,2447.0,13.0,1,3
46,48ad08,2025-04-12 15:01:14,EPWA,2025-04-12 15:27:46,,LOT3885 ,1241,3,,,1,0
47,48ae80,2025-04-12 14:57:08,EPWA,2025-04-12 16:42:25,EBBR,LOT3ML  ,901,11,598.0,58.0,1,3
48,489787,2025-04-12 14:55:01,EPWA,2025-04-12 15:27:40,EPPO,LOT3947 ,712,18,4614.0,195.0,1,3
49,48ad84,2025-04-12 14:53:52,EPWA,2025-04-12 16:45:55,,LOT5PX  ,1077,3,,,1,0
50,48ada7,2025-04-12 14:51:30,EPWA,2025-04-12 16:02:07,,LOT565  ,942,3,,,1,0
51,48ad0b,2025-04-12 14:49:21,EPWA,2025-04-12 15:27:22,EPWR,LOT8NE  ,847,3,389.0,1.0,1,2
52,471f32,2025-04-12 14:47:35,EPWA,2025-04-12 17:38:20,LEPA,WZZ18DT ,690,11,4027.0,144.0,1,1
53,48adac,2025-04-12 14:44:47,EPWA,2025-04-12 16:48:16,LIMC,LOT3LF  ,649,3,2360.0,2.0,1,4
54,48ac80,2025-04-12 14:43:21,EPWA,2025-04-12 15:40:54,EYVI,LOT5EF  ,1063,19,9332.0,465.0,1,1
55,48ae82,2025-04-12 14:41:33,EPWA,2025-04-12 16:46:06,LFPG,LOT335  ,1077,19,5580.0,314.0,1,8
56,471f64,2025-04-12 14:40:00,EPWA,2025-04-12 17:02:55,LMML,WZZ9193 ,578,11,2102.0,60.0,1,0
57,48ad82,2025-04-12 14:37:31,EPWA,2025-04-12 16:53:29,,LOT5CV  ,1311,80,,,1,0
58,48ad83,2025-04-12 14:21:26,EPWA,2025-04-12 15:04:14,,LOT6EN  ,1063,57,,,1,0
59,48ad00,2025-04-12 14:19:09,EPWA,2025-04-12 15:10:25,LKPR,LOT521  ,1049,26,1020.0,6.0,1,8
60,48ad19,2025-04-12 14:05:08,EPWA,2025-04-12 15:08:44,LDZL,LOT2MA  ,947,11,6640.0,1402.0,1,3
61,48ae00,2025-04-12 14:03:09,EPWA,2025-04-12 20:48:57,VABB,LOT75   ,1079,3,52.0,18.0,1,1
62,48af06,2025-04-12 13:55:30,EPWA,2025-04-12 16:03:21,EGLL,LOT279  ,1417,34,9654.0,508.0,1,6
63,48ada6,2025-04-12 13:54:13,EPWA,2025-04-12 14:44:10,LHBP,LOT6AL  ,1396,19,809.0,44.0,1,7
64,4952c1,2025-04-12 13:52:49,EPWA,2025-04-12 17:46:54,LPPT,TAP120R ,898,57,727.0,15.0,1,4
65,48ad86,2025-04-12 13:46:12,EPWA,2025-04-12 14:46:56,EVRA,LOT7RM  ,936,19,2872.0,141.0,1,2
66,471f36,2025-04-12 13:44:00,EPWA,2025-04-12 16:58:50,LEMD,WZZ3372 ,1255,72,5085.0,191.0,1,3
67,4892c8,2025-04-12 13:40:48,EPWA,2025-04-12 15:58:29,,ENT7341 ,1522,57,,,1,0
68,48af05,2025-04-12 13:34:00,EPWA,2025-04-12 14:04:29,EPKK,LOT3919 ,1046,26,57.0,42.0,1,1
69,896212,2025-04-12 13:32:00,EPWA,2025-04-12 18:39:52,OMDB,UAE180  ,1780,110,9087.0,339.0,1,2
70,48ad87,2025-04-12 13:30:06,EPWA,2025-04-12 14:01:39,EPRJ,LOT2LK  ,783,11,1313.0,58.0,1,1
71,48ad03,2025-04-12 13:28:35,EPWA,2025-04-12 15:02:23,LWSK,LOT3VY  ,1498,57,11413.0,577.0,1,2
72,48ad0d,2025-04-12 13:26:39,EPWA,2025-04-12 14:08:19,,LOT657  ,1580,103,,,1,0
73,4a2181,2025-04-12 13:25:22,EPWA,2025-04-12 16:39:59,LLSD,LOT5FM  ,1346,42,7258.0,436.0,1,4
74,4b028e,2025-04-12 13:23:06,EPWA,2025-04-12 15:04:55,LSZH,SWR7PZ  ,319,3,1621.0,25.0,1,7
75,48ada1,2025-04-12 13:21:55,EPWA,2025-04-12 14:44:28,EETN,LOT7MN  ,1120,49,316.0,74.0,1,1
76,48ada5,2025-04-12 13:15:15,EPWA,2025-04-12 14:39:54,LBSF,LOT3JB  ,2142,194,6058.0,185.0,1,1
77,48ad0f,2025-04-12 13:12:08,EPWA,2025-04-12 14:25:47,LYBE,LOT5LW  ,1011,34,886.0,41.0,1,3
78,48af19,2025-04-12 13:10:31,EPWA,2025-04-12 14:21:23,,LOT5EP  ,1348,57,,,1,0
79,48adb9,2025-04-12 13:08:33,EPWA,2025-04-12 14:32:27,LROP,LOT6HU  ,1227,19,1519.0,56.0,1,2
80,3dd37b,2025-04-12 13:08:15,EPWA,2025-04-12 13:29:37,EPWA,DHAIL   ,14777,72,15933.0,19.0,0,2
81,489788,2025-04-12 13:06:39,EPWA,2025-04-12 13:44:28,,LOT3937 ,1056,34,,,1,0
82,44081f,2025-04-12 13:04:11,EPWA,2025-04-12 13:54:28,LOWW,AUA624  ,1136,103,1197.0,22.0,1,2
83,4cacbd,2025-04-12 13:01:05,EPWA,2025-04-12 14:03:53,EKCH,SAS2762 ,666,26,1596.0,55.0,1,0
84,4d241a,2025-04-12 12:59:53,EPWA,2025-04-12 14:36:11,ENJB,WZZ3088 ,937,34,7155.0,893.0,1,1
85,48ada8,2025-04-12 12:48:22,EPWA,2025-04-12 14:02:19,,LOT585  ,1093,34,,,1,0
86,3c6584,2025-04-12 12:39:43,EPWA,2025-04-12 14:04:12,EDDF,DLH2MF  ,1736,103,2959.0,49.0,1,5
87,48ad81,2025-04-12 12:32:08,EPWA,2025-04-12 13:30:31,EYVI,LOT7HE  ,1322,87,9905.0,480.0,1,1
88,471f70,2025-04-12 12:21:50,EPWA,2025-04-12 13:32:51,EKCH,WZZ8636 ,577,26,18351.0,924.0,1,1
89,7816be,2025-04-12 12:08:30,EPWA,2025-04-12 12:56:37,LHBP,CSC9830 ,504,87,1604.0,59.0,1,7
90,3c6450,2025-04-12 12:01:07,EPWA,2025-04-12 16:10:57,LROP,DLH2LL  ,1182,64,5457.0,102.0,1,2
91,489789,2025-04-12 11:53:00,EPWA,2025-04-12 12:14:59,EPLR,LOT3965 ,1101,72,3198.0,1077.0,1,2
92,4892c0,2025-04-12 11:51:19,EPWA,2025-04-12 15:07:27,,ENT4597 ,1538,57,,,1,0
93,4d2020,2025-04-12 11:49:10,EPWA,2025-04-12 16:02:34,,WZZ147M ,804,3,,,1,0
