,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,471f70,2025-04-11 20:09:56,LIME,2025-04-11 21:53:58,EPWA,WZZ9100 ,1983.0,340.0,2330,57,1,1
1,4d241a,2025-04-11 18:20:35,LEZL,2025-04-11 21:52:53,EPWA,WZZ993E ,1654.0,171.0,4238,171,1,1
2,4d2020,2025-04-11 18:04:34,LEMG,2025-04-11 21:35:34,EPWA,WZZ17VY ,3819.0,441.0,2500,80,0,1
3,471f31,2025-04-11 17:50:50,LPPR,2025-04-11 21:22:36,EPWA,WZZ90KR ,1535.0,151.0,4629,194,1,1
4,471db4,2025-04-11 19:07:04,EGGW,2025-04-11 21:11:58,EPWA,WZZ65ZL ,1366.0,83.0,2482,80,0,1
5,471f6b,2025-04-11 18:58:52,LIRF,2025-04-11 21:02:13,EPWA,WZZ80EX ,608.0,178.0,2836,87,0,1
6,4d252b,2025-04-11 08:51:42,EPWA,2025-04-11 20:59:23,EPWA,WZZ495  ,509.0,64.0,4970,209,1,1
7,48ad03,2025-04-11 15:50:44,EPWA,2025-04-11 20:55:10,EPWA,LOT348  ,1399.0,103.0,2999,103,1,1
8,3c6637,2025-04-11 19:30:31,EDDF,2025-04-11 20:52:12,EPWA,DLH5UX  ,3908.0,27.0,2010,49,2,1
9,48ada4,2025-04-11 20:06:05,EPWR,2025-04-11 20:46:37,EPWA,LOT3860 ,707.0,24.0,1915,42,1,1
10,44081f,2025-04-11 19:39:35,LOWW,2025-04-11 20:44:14,EPWA,AUA6AW  ,169.0,15.0,4879,209,0,1
11,4d200e,2025-04-11 17:56:07,LMML,2025-04-11 20:44:11,EPWA,WZZ5782 ,1725.0,68.0,3139,118,0,1
12,484133,2025-04-11 18:56:46,EHAM,2025-04-11 20:29:43,EPWA,KLM73D  ,1295.0,42.0,5656,247,0,1
